Date,Moyen,Site,Nombre,Montant
2019-02-01,"MOBL","Gatineau, Georges",626,58265
2019-02-01,"MOBL","Gatineau, Gréber et Fournier",5811,566004
2019-02-01,"MOBL","Gatineau, Labrosse",501,42909
2019-02-01,"MOBL","Gatineau, La Vérendrye (Cannes/ Barry)",41,4253
2019-02-01,"MOBL","Gatineau, La Vérendrye (Hôpital/Paquette)",595,53264
2019-02-01,"MOBL","Gatineau, Lorrain",281,25222
2019-02-01,"MOBL","Gatineau, Maisonneuve et  Allumettières",2007,193318
2019-02-01,"MOBL","Gatineau, Maloney Est et l'Aéroport",1451,138036
2019-02-01,"MOBL","Gatineau, Maloney Est (Labrosse)",820,74516
2019-02-01,"MOBL","Gatineau, Maloney Ouest (Savane)",2517,244515
2019-02-01,"MOBL","Gatineau, Montréal Est",216,20464
2019-02-01,"MOBL","Gatineau, Saint-Louis",363,34283
2019-02-01,"MOBL","Gatineau, Saint-Raymond",841,72430
2019-02-01,"MOBL","Gatineau, Saint-Raymond et Pink",2722,260234
2019-02-01,"MOBL","Gatineau, St-Joseph",2645,237327
2019-02-01,"MOBL","Henri IV",431,68356
2019-02-01,"MOBL","Joliette, rte 158",876,80728
2019-02-01,"MOBL","Lachute, rte 158",116,10016
2019-02-01,"MOBL","Lac Jacques-Cartier, rte 175",1582,172889
2019-02-01,"MOBL","La Malbaie, rte 138",646,61971
2019-02-01,"MOBL","L'Ancienne-Lorette, Damiron",13,1082
2019-02-01,"MOBL","L'Ancienne-Lorette, Saint-Olivier",529,50962
2019-02-01,"MOBL","Laval pont Médéric-M (Mobile)",122,33886
2019-02-01,"MOBL","L'Épiphanie, rte 341",185,21141
2019-02-01,"MOBL","Les Coteaux, rte 338",584,45675
2019-02-01,"MOBL","Lévis, A-20 KM 315 CHANTIER -90",24,13001
2019-02-01,"MOBL","Lévis, Aut.73 sud",65,13259
2019-02-01,"MOBL","Longueuil, Cousineau/70 km/h",4939,435473
2019-02-01,"MOBL","Longueuil, Cousineau/90 km/h",1341,119906
2019-02-01,"MOBL","Longueuil, Fernand-Lafontaine",624,49103
