stationId,polluant,valeur,date,heure
3,"SO2",0,"2024-10-09",6
3,"O3",8,"2024-10-09",6
3,"NO2",3,"2024-10-09",6
3,"PM",7,"2024-10-09",6
6,"O3",4,"2024-10-09",6
6,"NO2",4,"2024-10-09",6
17,"O3",7,"2024-10-09",6
17,"NO2",3,"2024-10-09",6
17,"PM",7,"2024-10-09",6
28,"CO",1,"2024-10-09",6
28,"O3",3,"2024-10-09",6
28,"NO2",5,"2024-10-09",6
28,"PM",7,"2024-10-09",6
31,"SO2",0,"2024-10-09",6
31,"CO",1,"2024-10-09",6
31,"NO2",2,"2024-10-09",6
31,"PM",6,"2024-10-09",6
50,"PM",5,"2024-10-09",6
55,"CO",1,"2024-10-09",6
55,"O3",8,"2024-10-09",6
55,"NO2",2,"2024-10-09",6
55,"PM",7,"2024-10-09",6
66,"O3",10,"2024-10-09",6
66,"NO2",2,"2024-10-09",6
66,"PM",5,"2024-10-09",6
80,"SO2",1,"2024-10-09",6
80,"O3",7,"2024-10-09",6
80,"NO2",4,"2024-10-09",6
80,"PM",6,"2024-10-09",6
99,"SO2",0,"2024-10-09",6
99,"O3",8,"2024-10-09",6
99,"NO2",2,"2024-10-09",6
99,"PM",6,"2024-10-09",6
3,"SO2",0,"2024-10-09",7
3,"O3",3,"2024-10-09",7
3,"NO2",5,"2024-10-09",7
3,"PM",8,"2024-10-09",7
6,"SO2",1,"2024-10-09",7
6,"O3",3,"2024-10-09",7
80,"SO2",1,"2024-10-09",7
6,"NO2",5,"2024-10-09",7
6,"PM",8,"2024-10-09",7
17,"O3",4,"2024-10-09",7
17,"NO2",4,"2024-10-09",7
17,"PM",7,"2024-10-09",7
28,"CO",1,"2024-10-09",7
28,"O3",3,"2024-10-09",7
28,"NO2",5,"2024-10-09",7
28,"PM",8,"2024-10-09",7
31,"SO2",0,"2024-10-09",7
31,"CO",1,"2024-10-09",7
31,"NO2",3,"2024-10-09",7
31,"PM",6,"2024-10-09",7
50,"PM",6,"2024-10-09",7
55,"CO",1,"2024-10-09",7
55,"O3",6,"2024-10-09",7
55,"NO2",3,"2024-10-09",7
55,"PM",7,"2024-10-09",7
66,"O3",7,"2024-10-09",7
66,"NO2",3,"2024-10-09",7
66,"PM",6,"2024-10-09",7
66,"NO2",1,"2024-10-09",14
66,"PM",5,"2024-10-09",14
80,"SO2",1,"2024-10-09",14
80,"O3",16,"2024-10-09",14
80,"NO2",2,"2024-10-09",14
80,"PM",5,"2024-10-09",14
99,"SO2",1,"2024-10-09",14
99,"O3",18,"2024-10-09",14
99,"NO2",1,"2024-10-09",14
99,"PM",5,"2024-10-09",14
3,"SO2",1,"2024-10-09",13
3,"O3",18,"2024-10-09",13
3,"NO2",1,"2024-10-09",13
3,"PM",7,"2024-10-09",13
6,"SO2",1,"2024-10-09",13
6,"O3",15,"2024-10-09",13
6,"NO2",2,"2024-10-09",13
6,"PM",7,"2024-10-09",13
17,"O3",18,"2024-10-09",13
17,"NO2",1,"2024-10-09",13
17,"PM",6,"2024-10-09",13
28,"CO",1,"2024-10-09",13
28,"O3",15,"2024-10-09",13
28,"NO2",2,"2024-10-09",13
28,"PM",7,"2024-10-09",13
31,"CO",1,"2024-10-09",13
31,"O3",18,"2024-10-09",13
31,"NO2",1,"2024-10-09",13
31,"PM",6,"2024-10-09",13
50,"PM",6,"2024-10-09",13
55,"CO",1,"2024-10-09",13
55,"O3",18,"2024-10-09",13
55,"NO2",1,"2024-10-09",13
3,"SO2",1,"2024-10-09",14
3,"O3",17,"2024-10-09",14
3,"NO2",1,"2024-10-09",14
3,"PM",6,"2024-10-09",14
6,"SO2",1,"2024-10-09",14
6,"O3",14,"2024-10-09",14
6,"NO2",2,"2024-10-09",14
6,"PM",6,"2024-10-09",14
17,"NO2",1,"2024-10-09",14
17,"PM",6,"2024-10-09",14
28,"CO",1,"2024-10-09",14
28,"O3",13,"2024-10-09",14
28,"NO2",3,"2024-10-09",14
28,"PM",6,"2024-10-09",14
31,"SO2",1,"2024-10-09",14
31,"CO",1,"2024-10-09",14
31,"O3",16,"2024-10-09",14
31,"NO2",1,"2024-10-09",14
31,"PM",6,"2024-10-09",14
50,"PM",5,"2024-10-09",14
55,"CO",1,"2024-10-09",14
55,"O3",16,"2024-10-09",14
55,"NO2",1,"2024-10-09",14
66,"O3",17,"2024-10-09",14
3,"SO2",1,"2024-10-09",2
80,"SO2",1,"2024-10-09",2
80,"O3",14,"2024-10-09",2
80,"NO2",2,"2024-10-09",2
80,"PM",5,"2024-10-09",2
99,"SO2",1,"2024-10-09",2
99,"O3",14,"2024-10-09",2
99,"NO2",1,"2024-10-09",2
99,"PM",5,"2024-10-09",2
99,"NO2",2,"2024-10-09",0
99,"PM",4,"2024-10-09",0
3,"O3",14,"2024-10-09",2
3,"NO2",2,"2024-10-09",2
3,"PM",5,"2024-10-09",2
17,"O3",12,"2024-10-09",2
17,"NO2",2,"2024-10-09",2
17,"PM",5,"2024-10-09",2
28,"CO",1,"2024-10-09",2
28,"O3",12,"2024-10-09",2
28,"NO2",2,"2024-10-09",2
28,"PM",5,"2024-10-09",2
31,"SO2",0,"2024-10-09",2
31,"CO",1,"2024-10-09",2
31,"NO2",2,"2024-10-09",2
31,"PM",5,"2024-10-09",2
50,"PM",4,"2024-10-09",2
55,"CO",1,"2024-10-09",2
55,"O3",11,"2024-10-09",2
55,"NO2",2,"2024-10-09",2
55,"PM",5,"2024-10-09",2
66,"O3",14,"2024-10-09",2
66,"NO2",2,"2024-10-09",2
66,"PM",4,"2024-10-09",2
3,"SO2",1,"2024-10-09",0
