stationId,polluant,valeur,date,heure
80,"PM",11,"2025-01-23",4
99,"SO2",1,"2025-01-23",4
99,"O3",19,"2025-01-23",4
99,"NO2",2,"2025-01-23",4
99,"PM",9,"2025-01-23",4
103,"O3",19,"2025-01-23",4
103,"NO2",1,"2025-01-23",4
103,"PM",12,"2025-01-23",4
3,"SO2",1,"2025-01-23",11
3,"O3",16,"2025-01-23",11
3,"NO2",3,"2025-01-23",11
3,"PM",14,"2025-01-23",11
6,"SO2",1,"2025-01-23",11
6,"O3",17,"2025-01-23",11
6,"NO2",3,"2025-01-23",11
6,"PM",14,"2025-01-23",11
17,"O3",15,"2025-01-23",11
17,"NO2",4,"2025-01-23",11
17,"PM",13,"2025-01-23",11
28,"CO",1,"2025-01-23",11
28,"O3",12,"2025-01-23",11
28,"NO2",5,"2025-01-23",11
28,"PM",13,"2025-01-23",11
31,"SO2",1,"2025-01-23",11
31,"CO",1,"2025-01-23",11
31,"O3",11,"2025-01-23",11
31,"NO2",6,"2025-01-23",11
31,"PM",15,"2025-01-23",11
50,"PM",13,"2025-01-23",11
55,"O3",17,"2025-01-23",11
55,"NO2",3,"2025-01-23",11
55,"PM",12,"2025-01-23",11
66,"O3",18,"2025-01-23",11
66,"NO2",3,"2025-01-23",11
66,"PM",10,"2025-01-23",11
80,"SO2",1,"2025-01-23",11
80,"O3",16,"2025-01-23",11
80,"NO2",3,"2025-01-23",11
80,"PM",13,"2025-01-23",11
99,"SO2",1,"2025-01-23",11
99,"O3",21,"2025-01-23",11
99,"NO2",2,"2025-01-23",11
99,"PM",11,"2025-01-23",11
103,"O3",18,"2025-01-23",11
103,"NO2",2,"2025-01-23",11
103,"PM",13,"2025-01-23",11
3,"O3",16,"2025-01-23",2
3,"NO2",3,"2025-01-23",2
3,"PM",16,"2025-01-23",2
6,"SO2",1,"2025-01-23",2
6,"O3",9,"2025-01-23",2
6,"NO2",5,"2025-01-23",2
6,"PM",21,"2025-01-23",2
3,"SO2",1,"2025-01-23",3
3,"O3",18,"2025-01-23",3
3,"SO2",1,"2025-01-23",2
17,"O3",16,"2025-01-23",2
17,"NO2",3,"2025-01-23",2
17,"PM",16,"2025-01-23",2
28,"CO",1,"2025-01-23",2
28,"O3",13,"2025-01-23",2
28,"NO2",4,"2025-01-23",2
28,"PM",16,"2025-01-23",2
31,"SO2",1,"2025-01-23",2
31,"CO",1,"2025-01-23",2
31,"O3",16,"2025-01-23",2
31,"NO2",3,"2025-01-23",2
31,"PM",15,"2025-01-23",2
50,"PM",13,"2025-01-23",2
55,"O3",10,"2025-01-23",2
55,"NO2",5,"2025-01-23",2
55,"PM",17,"2025-01-23",2
66,"O3",17,"2025-01-23",2
66,"NO2",2,"2025-01-23",2
66,"PM",10,"2025-01-23",2
80,"SO2",1,"2025-01-23",2
80,"O3",16,"2025-01-23",2
80,"NO2",3,"2025-01-23",2
80,"PM",14,"2025-01-23",2
99,"SO2",1,"2025-01-23",2
99,"O3",16,"2025-01-23",2
