ï»¿Sexe,Annee,Nombre_de_nouveaux_beneficiaires_de_la_rente_de_retraite,Nombre_de_nouveaux_beneficiaires_de_la_rente_de_conjoint_survivant,Nombre_de_nouveaux_beneficiaires_de_la_rente_dorphelin,Nombre_de_nouveaux_beneficiaires_de_la_rente_dinvalidite,Nombre_de_nouveaux_beneficiaires_de_la_rente_denfant_de_personne_invalide,Nombre_de_nouveaux_beneficiaires_des_rentes_de_retraite_et_de_conjoint_survivant,Nombre_de_nouveaux_beneficiaires_des_rentes_dinvalidite_et_de_conjoint_survivant,Nombre_de_nouveaux_beneficiaires_dune_rente_du_RRQ_et_du_RPC,Nombre_de_nouveaux_beneficiaires,Nombre_de_nouveaux_beneficiaires_de_la_prestation_de_deces
H,1968,6282,,1676,s.o.,s.o.,,s.o.,,7958,2197
H,1969,11595,1,3072,s.o.,s.o.,-1,s.o.,,14667,4778
H,1970,17739,3,3692,468,310,,-1,,22211,6602
H,1971,12900,5,4238,1812,1017,,-1,,19971,7671
H,1972,9684,3,3747,2082,1037,,-1,,16552,7820
H,1973,14154,9,4241,3171,1495,,-6,,23064,9757
H,1974,13545,9,4183,3625,1569,-2,-4,,22925,9925
H,1975,14894,1256,4468,3774,1681,-218,-13,,25842,10996
H,1976,26228,850,4394,4699,1898,-214,-29,,37826,12604
H,1977,29526,770,4040,5554,2118,-279,-33,,41696,13068
H,1978,20216,767,3815,4782,1803,-281,-28,,31074,13033
H,1979,19640,873,3476,5370,1797,-296,-39,,30821,13306
H,1980,19339,1000,3594,5236,1644,-364,-32,-4,30421,14681
H,1981,19259,1051,3292,5965,1983,-400,-50,-8,31108,15188
H,1982,19882,1168,2966,6955,2043,-468,-57,-8,32497,15595
H,1983,20330,1160,2865,6867,2066,-534,-82,-16,32688,16110
H,1984,42051,1369,2861,9329,2491,-971,-108,-16,57038,16925
H,1985,34331,1483,2777,8402,2266,-897,-101,-27,48288,18159
H,1986,31955,1599,2685,7473,2063,-1033,-107,-17,44652,18904
H,1987,29890,1576,2434,7205,1782,-1086,-93,-44,41752,18717
H,1988,29625,1802,2393,6045,1442,-1216,-92,-26,40025,20011
H,1989,28943,1777,2268,5549,1232,-1244,-105,-32,38452,20117
H,1990,32615,1968,2339,5870,1295,1434,114,31,42570,21456
H,1991,31568,1951,2305,5825,1327,1499,92,37,41422,20560
H,1992,33154,2200,2231,5437,1168,1676,101,30,42443,22472
H,1993,31969,2372,2344,5841,1237,1762,120,43,41924,22668
H,1994,34317,2475,1907,6107,1283,1814,153,36,44158,22364
H,1995,40519,2369,1607,6134,1256,1901,135,29,49878,23089
H,1996,37489,2808,1721,6661,1172,2127,128,43,47639,23395
H,1997,33502,2749,1603,5777,1109,2192,152,52,42448,24477
H,1998,31233,2734,1588,5991,1084,2193,140,40,40337,24656
H,1999,31519,3047,1618,5626,1026,2375,153,53,40361,24823
H,2000,32493,3155,1579,6025,1104,2545,129,54,41736,24029
H,2001,33793,3124,1340,6167,1160,2619,137,57,42885,24228
H,2002,35560,3526,1465,5822,1087,2898,163,39,44438,24843
H,2003,37396,3502,1336,6433,1081,2909,165,41,46715,24750
H,2004,38812,3642,1356,6626,1266,3161,164,63,48440,25382
H,2005,40371,3555,1291,6112,1096,3266,141,67,49085,25164
H,2006,43853,3642,1254,6430,1246,3504,126,60,52855,24427
H,2007,45484,3778,1263,5489,1060,3681,161,50,53282,26026
H,2008,46398,3985,1225,5946,1091,3905,134,62,54668,25667
H,2009,48835,4064,1203,5588,1102,4009,164,73,56692,26155
H,2010,48523,4431,1097,5610,1049,4356,170,68,56252,26982
H,2011,49031,4388,1074,5260,930,4346,155,58,56240,26826
H,2012,48925,4758,986,5404,1033,4844,159,69,56172,27531
H,2013,46833,4771,1015,4320,944,4831,138,61,52975,27872
H,2014,68931,4896,950,3429,719,5304,113,76,73584,27794
H,2015,57275,5297,946,4752,929,5567,126,77,63583,30410
H,2016,54304,5162,926,4236,934,5339,122,78,60179,29702
H,2017,53725,5544,901,4068,946,5755,107,79,59401,29616
H,2018,50216,5845,969,3716,814,6005,95,91,55551,31387
H,2019,49838,5859,906,3188,821,6004,75,66,54599,30662
H,2020,46956,6533,914,2786,680,6536,88,68,51313,34783
F,1968,1384,2032,1490,s.o.,s.o.,-1,s.o.,,4905,88
F,1969,2632,4211,2832,s.o.,s.o.,-5,s.o.,,9670,302
F,1970,4172,5690,3304,52,248,-32,,,13434,530
F,1971,3724,6609,3761,213,880,-54,-5,,15128,700
F,1972,3355,6570,3333,292,949,-104,-12,,14383,855
F,1973,4834,8096,3905,505,1291,-188,-14,,18429,1046
F,1974,4908,8390,3798,665,1448,-325,-23,,18861,1129
F,1975,5335,8772,4169,773,1542,-391,-46,,20154,1390
F,1976,8387,10011,4133,1026,1744,-694,-69,,24538,1614
F,1977,9750,10115,3755,1174,1959,-1100,-90,,25563,1885
F,1978,8144,10408,3496,999,1624,-1151,-92,,23428,1888
F,1979,8381,10330,3311,1239,1808,-1444,-119,,23506,2170
F,1980,8864,11047,3299,1300,1548,-1694,-122,-60,24302,2507
F,1981,9246,11418,3041,1441,1876,-2115,-167,-71,24811,2624
F,1982,9726,11655,2660,1779,1958,-2471,-185,-80,25202,2912
F,1983,10397,11922,2667,1776,1933,-2762,-221,-90,25802,3035
F,1984,30982,12830,2861,2824,2460,-6041,-316,-107,45707,3409
F,1985,22787,13322,2596,2523,2259,-5566,-258,-138,37801,3757
F,1986,22709,13711,2562,2367,1874,-6020,-248,-147,37102,4062
F,1987,19458,13391,2380,2241,1697,-5833,-215,-262,33381,4098
F,1988,19509,14203,2382,1929,1334,-6118,-213,-194,33220,4628
F,1989,20825,14021,2347,1903,1182,-7252,-236,-168,32958,4836
F,1990,23584,14636,2327,2024,1261,7871,249,216,35928,5442
F,1991,27276,14188,2185,2137,1349,11923,216,206,35202,5305
F,1992,23760,14933,2269,1944,1180,7869,204,191,36204,6263
F,1993,23392,15036,2307,2349,1242,8392,268,186,35852,6670
F,1994,30354,16162,1697,2710,1210,9418,319,190,42586,6557
F,1995,35484,15062,1615,2958,1088,10177,299,191,45922,7224
F,1996,38994,15755,1601,3246,1097,10114,322,212,50469,7843
F,1997,33071,15789,1564,3227,1026,10199,309,190,44359,8241
F,1998,29897,15866,1433,3440,1049,9869,319,192,41689,8605
F,1999,31015,15931,1573,3446,985,10241,305,205,42609,9285
F,2000,32145,15184,1461,4041,1064,9973,327,192,43787,9289
F,2001,33367,15200,1388,4134,1180,10195,310,182,44946,9783
F,2002,35484,15399,1423,4216,1024,10628,330,186,46774,10349
F,2003,37323,15298,1296,4694,1138,10893,332,207,48731,10761
F,2004,39219,15600,1301,4994,1171,11389,333,214,50777,11302
F,2005,40547,14913,1285,4891,1049,11387,351,191,51138,11467
F,2006,44348,14601,1233,5169,1138,11570,396,192,54715,11664
F,2007,45896,15318,1348,4552,943,12389,373,208,55503,12657
F,2008,46802,14922,1141,4946,1067,12238,353,224,56511,12883
F,2009,48402,15161,1155,4786,1131,12714,343,234,57812,13496
F,2010,48298,15501,1149,4943,1145,12919,356,230,57991,14480
F,2011,49127,15313,1034,4592,972,13163,340,210,57745,14809
