ï»¿Annee,Maximum_des_gains_admissibles,Exemption_generale,Maximum_des_gains_cotisables,tx_cotisation_travailleurs_salaries_regime_de_base,tx_cotisation_travailleurs_salaries_regime_supplementaire,tx_cotisation_travailleurs_autonomes_regime_de_base,tx_de_cotisation_travailleurs_autonomes_regime_supplementaire,Cotisation_maximale_travailleurs_salaries,Cotisation_maximale_travailleurs_autonomes,tx_dindexation_des_rentes
1966,5000,600,4400,1.8,,3.6,,79.2,158.4,
1967,5000,600,4400,1.8,,3.6,,79.2,158.4,
1968,5100,600,4500,1.8,,3.6,,81,162,2
1969,5200,600,4600,1.8,,3.6,,82.8,165.6,2
1970,5300,600,4700,1.8,,3.6,,84.6,169.2,2
1971,5400,600,4800,1.8,,3.6,,86.4,172.8,2
1972,5500,600,4900,1.8,,3.6,,88.2,176.4,2
1973,5900,700,5200,1.8,,3.6,,93.6,187.2,3
1974,6600,700,5900,1.8,,3.6,,106.2,212.4,8.2
1975,7400,700,6700,1.8,,3.6,,120.6,241.2,10.4
1976,8300,800,7500,1.8,,3.6,,135,270,11.2
1977,9300,900,8400,1.8,,3.6,,151.2,302.4,8.2
1978,10400,1000,9400,1.8,,3.6,,169.2,338.4,7.5
1979,11700,1100,10600,1.8,,3.6,,190.8,381.6,9
1980,13100,1300,11800,1.8,,3.6,,212.4,424.8,9
1981,14700,1400,13300,1.8,,3.6,,239.4,478.8,9.9
1982,16500,1600,14900,1.8,,3.6,,268.2,536.4,12.3
1983,18500,1800,16700,1.8,,3.6,,300.6,601.2,11.2
1984,20800,2000,18800,1.8,,3.6,,338.4,676.8,6.7
1985,23400,2300,21100,1.8,,3.6,,379.8,759.6,4.4
1986,25800,2500,23300,1.8,,3.6,,419.4,838.8,4
1987,25900,2500,23400,1.9,,3.8,,444.6,889.2,4.1
1988,26500,2600,23900,2,,4,,478,956,4.4
1989,27700,2700,25000,2.1,,4.2,,525,1050,4.1
1990,28900,2800,26100,2.2,,4.4,,574.2,1148.4,4.8
1991,30500,3000,27500,2.3,,4.6,,632.5,1265,4.8
1992,32200,3200,29000,2.4,,4.8,,696,1392,5.8
1993,33400,3300,30100,2.5,,5,,752.5,1505,1.8
1994,34400,3400,31000,2.6,,5.2,,806,1612,1.9
1995,34900,3400,31500,2.7,,5.4,,850.5,1701,0
1996,35400,3500,31900,2.8,,5.6,,893.2,1786.4,2.3
1997,35800,3500,32300,3,,6,,969,1938,1.5
1998,36900,3500,33400,3.2,,6.4,,1068.8,2137.6,1.9
1999,37400,3500,33900,3.5,,7,,1186.5,2373,0.9
2000,37600,3500,34100,3.9,NA,7.8,NA,1329.9,2659.8,1.6
2001,38300,3500,34800,4.3,NA,8.6,NA,1496.4,2992.8,2.5
2002,39100,3500,35600,4.7,NA,9.4,NA,1673.2,3346.4,3
2003,39900,3500,36400,4.95,NA,9.9,NA,1801.8,3603.6,1.6
2004,40500,3500,37000,4.95,NA,9.9,NA,1831.5,3663,3.2
2005,41100,3500,37600,4.95,NA,9.9,NA,1861.2,3722.4,1.7
2006,42100,3500,38600,4.95,NA,9.9,NA,1910.7,3821.4,2.3
2007,43700,3500,40200,4.95,NA,9.9,NA,1989.9,3979.8,2.1
2008,44900,3500,41400,4.95,NA,9.9,NA,2049.3,4098.6,2
2009,46300,3500,42800,4.95,NA,9.9,NA,2118.6,4237.2,2.5
2010,47200,3500,43700,4.95,NA,9.9,NA,2163.15,4326.3,0.4
2011,48300,3500,44800,4.95,NA,9.9,NA,2217.6,4435.2,1.7
2012,50100,3500,46600,5.025,NA,10.05,NA,2341.65,4683.3,2.8
2013,51100,3500,47600,5.1,NA,10.2,NA,2427.6,4855.2,1.8
2014,52500,3500,49000,5.175,NA,10.35,NA,2535.75,5071.5,0.9
2015,53600,3500,50100,5.25,NA,10.5,NA,2630.25,5260.5,1.8
2016,54900,3500,51400,5.325,NA,10.65,NA,2737.05,5474.1,1.2
2017,55300,3500,51800,5.4,NA,10.8,NA,2797.2,5594.4,1.4
2018,55900,3500,52400,5.4,NA,10.8,NA,2829.6,5659.2,1.5
2019,57400,3500,53900,5.4,0.15,10.8,0.3,2991.45,5982.9,2.3
2020,58700,3500,55200,5.4,0.3,10.8,0.6,3146.4,6292.8,1.9
2021,61600,3500,58100,5.4,0.5,10.8,1,3427.9,6855.8,1
