Sexe,Annee,Nombre_de_travailleurs,Pourcentage_de_la_population_agee_de_18_ans_et_plus_travailleurs,Gains_reel_moyen_des_travailleurs,Nombre_de_cotisants,Pourcentage_de_la_population_agee_de_18_ans_et_plus_cotisants,Gains_reels_moyen_des_cotisants,Gains_admissibles_moyen_des_cotisants,Cotisation_moyenne
H,1966,1448318,84.9,4827,1377606,80.7,5039,3756,116.86
H,1967,1498206,86.5,5171,1429599,82.5,5383,3840,121.05
H,1968,1502745,85.4,5428,1430320,81.3,5664,3946,124.65
H,1969,1512610,84.6,5784,1454595,81.4,6000,4074,130.14
H,1970,1536841,84.6,6167,1469053,80.9,6408,4177,134.29
H,1971,1566817,84.7,6683,1496486,80.9,6956,4292,139.63
H,1972,1627461,86.1,7203,1562406,82.7,7464,4404,145.84
H,1973,1688069,87.4,7990,1618516,83.8,8269,4783,157.65
H,1974,1736082,87.8,9174,1671245,84.5,9443,5374,181.4
H,1975,1768961,87.5,10372,1708645,84.5,10646,6015,206.6
H,1976,1789784,86.9,11641,1725842,83.8,11975,6727,229.9
H,1977,1793724,86,12519,1729647,82.9,12912,7438,252.82
H,1978,1807282,85.6,13537,1736115,82.2,13960,8274,279.74
H,1979,1822785,85.1,14738,1749965,81.7,15219,9257,311.98
H,1980,1832137,84.4,16134,1750274,80.7,16739,10267,341.1
H,1981,1842397,83.8,17698,1761524,80.1,18363,11374,378.86
H,1982,1780487,80,18722,1682830,75.6,19662,12358,402.69
H,1983,1784363,79.4,19291,1682103,74.8,20291,13435,434.19
H,1984,1812642,79.9,20628,1708231,75.3,21686,14904,481.01
H,1985,1831032,79.9,21558,1717687,75,22758,16397,522.9
H,1986,1851291,79.8,22479,1731291,74.7,23782,17674,560.39
H,1987,1894172,80.7,24060,1782931,76,25309,18114,612.57
H,1988,1918376,80.7,25339,1811759,76.2,26575,18759,670.13
H,1989,1931358,80.4,26536,1822116,75.8,27846,19644,737.51
H,1990,1919960,79.3,27713,1801850,74.5,29216,20431,797.41
H,1991,1875996,77.2,28191,1742133,71.7,29999,21176,851.13
H,1992,1843819,75.5,28754,1701628,69.7,30778,22012,911.62
H,1993,1837147,74.8,29242,1688658,68.8,31427,22609,970.3
H,1994,1873759,76,29504,1707445,69.2,31945,23208,1033.89
H,1995,1893272,76.4,30160,1716255,69.2,32722,23623,1094.89
H,1996,1895350,76,30661,1714200,68.7,33348,23978,1147.16
H,1997,1922702,76.6,31347,1742421,69.4,34011,24305,1251.06
H,1998,1967658,71.1,32233.13,1813326,65.6,34873.14,24741,1433.94
H,1999,2003540,71.7,33273.9,1855619,66.4,35835.02,25290.25,1605.47
H,2000,2046768,72.5,35147.45,1898169,67.3,37810.1,25788.64,1774.34
H,2001,2059887,72.2,35906.49,1916898,67.2,38503.81,26290.9,1995.79
H,2002,2079452,72.1,36662.1,1938242,67.2,39252.84,26891.31,2234.59
H,2003,2102836,72.2,37607.11,1957856,67.2,40309.53,27491.7,2409.98
H,2004,2121489,72.1,38908.69,1975487,67.1,41697.66,28076.27,2465.4
H,2005,2129934,71.7,39846.7,1992922,67.1,42502.41,28517.91,2504.29
H,2006,2139409,71.3,40822.32,2005721,66.8,43458.4,29109.9,2562.12
H,2007,2157576,71,42183.21,2024215,66.6,44871.7,30054.42,2654.66
H,2008,2173326,70.5,43487.33,2047587,66.4,46076.85,30909.66,2737.8
H,2009,2171661,69.4,42960.68,2036572,65,45715.4,31318.36,2775.36
H,2010,2189447,68.9,44085.6,2059331,64.8,46765.74,31972.69,2838.93
H,2011,2224790,69.3,45377.38,2094721,65.2,48084.1,32834.9,2922.94
H,2012,2243167,69.2,46576.08,2117344,65.3,49236.78,33926.43,3075.26
H,2013,2251789,69,46967.88,2122996,65,49697.91,34508.33,3178.88
H,2014,2252908,68.7,47880.05,2125765,64.8,50617.83,35292.35,3305.7
H,2015,2250724,68.2,48671.31,2124469,64.4,51453.19,35886.72,3414.58
H,2016,2261598,68,49325.16,2136592,64.2,52103.57,36690.31,3547.53
H,2017,2296392,68.2,50804.09,2174097,64.6,53542.45,37368.06,3670.59
H,2018,2330242,68.3,52824.86,2211749,64.8,55540.78,38320.75,3774.34
F ,1966,625041,36.3,2556,570916,33.2,2853,2690,71.74
F ,1967,674808,38.5,2820,623461,35.6,3120,2856,79.15
F ,1968,700465,39.3,2959,649694,36.5,3269,3009,83.74
F ,1969,722580,39.9,3216,683842,37.8,3507,3168,89.77
F ,1970,757607,41.1,3563,713877,38.8,3901,3354,96.81
