ï»¿Sexe,Annees,Nombre_de_beneficiaires_de_la_rente_de_retraite,Nombre_de_beneficiaires_de_la_rente_de_conjoint_survivant,Nombre_de_beneficiaires_de_la_rente_dorphelin,Nombre_de_beneficiaires_de_la_rente_dinvalidite,Nombre_de_beneficiaires_de_la_rente_denfant_de_personne_invalide,Nombre_de_beneficiaires_de_la_rente_de_retraite_et_de_la_rente_de_conjoint_survivant ,Nombre_de_beneficiaires_de_la_rente_dinvalidite_et_de_la_rente_de_conjoint_survivant,Nombre_de_beneficiaires_dune_rente_du_RRQ_et_du_RPC,Nombre de beneficiaires
F,2008,665090,296562,8513,32599,3838,170434,1826,3195,837537
F,2009,696809,298070,8134,33416,3873,175920,1826,3268,865824
F,2010,727630,299346,7847,34156,3870,181137,1854,3310,893168
F,2011,758369,300183,7521,34318,3736,186177,1846,3330,919434
F,2012,788936,301013,7144,34626,3698,191335,1800,3402,945684
F,2013,816877,301430,6857,33946,3580,195937,1718,3433,968468
F,2014,861631,301784,6616,32606,3341,201579,1635,3487,1006251
F,2015,895762,302304,6472,32617,3280,206717,1590,3474,1035602
F,2016,927095,302818,6306,32160,3299,211409,1532,3519,1062256
F,2017,957543,302450,6181,31571,3264,215598,1457,3525,1087479
F,2018,983200,302316,6075,31276,3236,219510,1399,3511,1108705
F,2019,1009667,302303,5968,30708,3212,223691,1335,3562,1130394
F,2020,1029699,302527,5934,29797,3152,227537,1309,3533,1145796
