ï»¿NO_LAMPE,TYPE_LAMPE,NO_CIVIQUE,NOMRUEAC,TYPEAC,PARTAC
220-301-1,DEL,194,Delormier,rue,
220-250-1,DEL,,Lucien-LafertÃ©,rue,
215-84-1,DEL,,Roland,rue,
220-61-1,DEL,3107,Rosemont,cÃ´te,
220-62-1,DEL,3135,Rosemont,cÃ´te,
220-63-1,DEL,3147,Rosemont,cÃ´te,
220-302-1,DEL,,Le Noir,rue,
215-378-1,DEL,,Bellemare,rue,
215-364-1,DEL,,HÃ©mond,rue,
215-359-1,DEL,15,Bourassa,rue,
215-148-1,DEL,,Sainte-Marguerite,chemin,
215-351-1,DEL,225,Delormier,rue,
220-55-1,DEL,5560,Boulogne,rue,de
220-300-1,DEL,195,Delormier,rue,
220-295-1,DEL,105,Delormier,rue,
220-294-1,DEL,96,Delormier,rue,
220-292-1,DEL,69,Delormier,rue,
220-291-1,DEL,66,Delormier,rue,
220-229-1,DEL,8,Pratte,rue,
215-155-1,DEL,,Sainte-Marguerite,chemin,
215-154-1,DEL,,Sainte-Marguerite,chemin,
215-153-1,DEL,,Sainte-Marguerite,chemin,
215-150-1,DEL,,Sainte-Marguerite,chemin,
230-21-1,SHP,5355,Jean-XXIII,boulevard,
220-75-1,DEL,,Auvergne,rue,d'
234-1-1,DEL,7990,Notre-Dame Ouest,rue,
236-7-1,DEL,7375,Arnaud,rue,
236-6-1,DEL,180,Brisebois,rue,
236-5-1,DEL,210,Brisebois,rue,
236-4-1,DEL,240,Brisebois,rue,
236-3-1,DEL,,Brisebois,rue,
236-2-1,DEL,,Brisebois,rue,
236-1-1,DEL,,Brisebois,rue,
235-2-1,DEL,7601,Notre-Dame Ouest,rue,
234-12-1,DEL,7710,Notre-Dame Ouest,rue,
234-4-1,DEL,7905,Notre-Dame Ouest,rue,
215-78-1,DEL,2935,Carillon,rue,de
234-2-1,DEL,,Notre-Dame Ouest,rue,
215-418-1,DEL,,Jolliet,rue,
215-418-2,DEL,,Jolliet,rue,
215-329-1,DEL,,Mauricien,boulevard,
220-287-1,DEL,,Chavigny,rue,
220-286-1,DEL,,Chavigny,rue,
220-285-1,DEL,,Chavigny,rue,
220-278-1,DEL,505,Leclerc,rue,
215-147-1,DEL,,Sainte-Marguerite,chemin,
234-3-1,DEL,7935,Notre-Dame Ouest,rue,
230-33-1,SHP,,Jean-XXIII,boulevard,
231-13-1,SHP,5620,Jean-XXIII,boulevard,
231-12-1,SHP,5640,Jean-XXIII,boulevard,
231-11-1,SHP,5656,Jean-XXIII,boulevard,
231-10-1,SHP,5650,Jean-XXIII,boulevard,
231-9-1,SHP,5680,Jean-XXIII,boulevard,
231-8-1,SHP,5840,Jean-XXIII,boulevard,
231-7-1,SHP,5840,Jean-XXIII,boulevard,
231-6-1,SHP,5850,Jean-XXIII,boulevard,
231-5-1,SHP,5850,Jean-XXIII,boulevard,
231-4-1,SHP,5850,Jean-XXIII,boulevard,
231-3-1,SHP,6060,Jean-XXIII,boulevard,
215-149-1,DEL,,Sainte-Marguerite,chemin,
231-1-1,SHP,,Jean-XXIII,boulevard,
231-16-1,SHP,,Jean-XXIII,boulevard,
230-32-1,SHP,,Jean-XXIII,boulevard,
230-31-1,SHP,,Jean-XXIII,boulevard,
230-30-1,SHP,5005,Jean-XXIII,boulevard,
230-29-1,SHP,5005,Jean-XXIII,boulevard,
230-28-1,SHP,5005,Jean-XXIII,boulevard,
230-27-1,SHP,,Jean-XXIII,boulevard,
230-26-1,SHP,5115,Jean-XXIII,boulevard,
230-25-1,SHP,5225,Jean-XXIII,boulevard,
230-24-1,SHP,5225,Jean-XXIII,boulevard,
230-23-1,SHP,5305,Jean-XXIII,boulevard,
250-23-1,DEL,840,Brosseau,rue,
231-2-1,SHP,,Jean-XXIII,boulevard,
231-28-1,SHP,5110,Jean-XXIII,boulevard,
215-144-1,DEL,,Sainte-Marguerite,chemin,
215-143-1,DEL,,Sainte-Marguerite,chemin,
215-142-1,DEL,,Sainte-Marguerite,chemin,
215-141-1,DEL,,Sainte-Marguerite,chemin,
220-199-1,DEL,3390,Lyon,rue,de
220-199-2,DEL,3390,Lyon,rue,de
220-90-1,DEL,,Chambois,rue,de
215-137-1,DEL,,Sainte-Marguerite,chemin,
215-134-1,DEL,,Sainte-Marguerite,chemin,
220-96-1,DEL,,Chambois,rue,de
220-97-1,DEL,,Chambois,rue,de
215-119-1,DEL,,Marguerite-Seigneuret,rue,
231-14-1,SHP,5600,Jean-XXIII,boulevard,
231-29-1,SHP,5000,Jean-XXIII,boulevard,
231-15-1,SHP,,Jean-XXIII,boulevard,
231-27-1,SHP,5110,Jean-XXIII,boulevard,
231-26-1,SHP,5110,Jean-XXIII,boulevard,
231-25-1,SHP,5110,Jean-XXIII,boulevard,
231-24-1,SHP,5250,Jean-XXIII,boulevard,
231-23-1,SHP,5250,Jean-XXIII,boulevard,
231-22-1,SHP,5350,Jean-XXIII,boulevard,
231-21-1,SHP,5360,Jean-XXIII,boulevard,
231-20-1,SHP,5380,Jean-XXIII,boulevard,
231-19-1,SHP,5430,Jean-XXIII,boulevard,
231-18-1,SHP,5460,Jean-XXIII,boulevard,
231-17-1,SHP,5460,Jean-XXIII,boulevard,
236-17-1,DEL,7475,Casgrain,rue,
215-120-1,DEL,,Sainte-Marguerite,chemin,
215-222-1,DEL,,Richelieu,cÃ´te,
215-221-1,DEL,,Richelieu,cÃ´te,
215-219-1,DEL,228,Lucien-Beaudry,rue,
215-211-1,DEL,,Lucien-Beaudry,rue,
215-210-1,DEL,133,Sienne,rue,de
215-206-1,DEL,,Glassman,rue,
215-203-1,DEL,120,Dominicains,rue,des
215-202-1,DEL,,Xavier-Rouette,rue,
220-38-1,DEL,2650,Sidbec Nord,rue,de la
215-197-1,DEL,,Roberge,rue,
215-192-1,DEL,,Guay,rue,
215-68-1,DEL,5080,Walter-Dupont,chemin,
215-187-1,DEL,,Notre-Dame Ouest,rue,
215-74-1,DEL,,Bellefeuille,rue,
215-170-1,DEL,4205,Notre-Dame Ouest,rue,
215-168-1,DEL,4037,Notre-Dame Ouest,rue,
215-26-1,DEL,,Sidbec Nord,rue,de la
243-7-1,DEL,,Claude-BÃ©chard,rue,
243-6-1,DEL,,Mauricien,boulevard,
243-5-1,DEL,1030,Mauricien,boulevard,
242-20-1,DEL,,Bougainville,rue,
242-19-1,DEL,,Bougainville,rue,
242-18-1,DEL,380,Bougainville,rue,
242-8-1,DEL,513,Lemay,rue,
242-7-1,DEL,505,Lemay,rue,
215-188-1,DEL,,Nicol,rue,
247-1-1,DEL,,Garceau,rue,
220-14-1,DEL,,Saint-Joseph,rue,
250-18-1,DEL,6685,Marion,rue,
250-17-1,DEL,6765,Marion,rue,
215-19-1,DEL,2100,Sidbec Sud,rue,de la
250-3-1,DEL,,Marion,rue,
250-2-1,DEL,,Marion,rue,
250-1-1,DEL,,Marion,rue,
249-13-1,DEL,4201,Gene-H.-Kruger,boulevard,
249-13-2,DEL,4201,Gene-H.-Kruger,boulevard,
249-1-1,DEL,4950,Gene-H.-Kruger,boulevard,
249-1-2,DEL,4950,Gene-H.-Kruger,boulevard,
247-11-1,DEL,200,Sirois,rue,
247-12-1,DEL,220,Sirois,rue,
215-230-1,DEL,,Bellefeuille,rue,
247-14-1,DEL,,Sirois,rue,
215-234-1,DEL,,Bellefeuille,rue,
245-3-1,DEL,,Mongeau,rue,
215-270-1,DEL,,Sangamo,rue,de la
220-214-1,DEL,,MÃ©nard,rue,
80008-4-1,SHP,,Bellefeuille,rue,
80008-3-1,SHP,,Bellefeuille,rue,
80008-2-1,SHP,,Bellefeuille,rue,
80008-1-1,SHP,,Bellefeuille,rue,
215-249-1,DEL,,Lacerte,rue,
215-237-1,DEL,,Sienne,rue,de
215-236-1,DEL,,Bellefeuille,rue,
215-235-1,DEL,,Bellefeuille,rue,
240-12-1,DEL,,Quenneville,rue,
247-13-1,DEL,,Sirois,rue,
236-36-1,DEL,40,Brisebois,rue,
241-6-1,DEL,,Boulay,rue,
238-5-1,DEL,,Terrasses-du-Fleuve,rue,des
238-4-1,DEL,,Terrasses-du-Fleuve,rue,des
238-3-1,DEL,,Terrasses-du-Fleuve,rue,des
238-2-1,DEL,7906,Terrasses-du-Fleuve,rue,des
238-1-1,DEL,7916,Terrasses-du-Fleuve,rue,des
237-16-1,DEL,130,BÃ©langer,rue,
237-15-1,DEL,90,BÃ©langer,rue,
237-13-1,DEL,,HÃ©mond,rue,
237-12-1,DEL,150,BÃ©langer,rue,
237-7-1,DEL,235,BÃ©langer,rue,
236-34-1,DEL,125,Brisebois,rue,
236-33-1,DEL,155,Brisebois,rue,
236-31-1,DEL,,Bord-du-Fleuve,rue,du
236-30-1,DEL,,Bord-du-Fleuve,rue,du
236-29-1,DEL,,Bord-du-Fleuve,rue,du
236-27-1,DEL,7480,Bord-du-Fleuve,rue,du
236-26-1,DEL,7460,Bord-du-Fleuve,rue,du
236-25-1,DEL,7450,Bord-du-Fleuve,rue,du
236-24-1,DEL,7430,Bord-du-Fleuve,rue,du
215-58-1,DEL,,Carillon,rue,de
215-59-1,DEL,,Belmont,rue,de
230-20-1,SHP,5363,Jean-XXIII,boulevard,
237-8-1,DEL,,Arnaud,rue,
239-17-1,DEL,174,Jacques-Ferron,rue,
236-11-1,DEL,,Dansereau,rue,
240-11-1,DEL,,Quenneville,rue,
240-10-1,DEL,,Quenneville,rue,
239-89-1,DEL,,Le Beau,rue,
239-88-1,DEL,,Le Beau,rue,
239-87-1,DEL,,Bellevue,rue,
239-86-1,DEL,218,Bellevue,rue,
215-277-1,DEL,,Richelieu,cÃ´te,
215-32-1,DEL,,Richelieu,cÃ´te,
215-31-1,DEL,,Richelieu,cÃ´te,
215-36-1,DEL,,Gagnon,rue,
239-51-1,DEL,,Le Beau,rue,
240-13-1,DEL,,Quenneville,rue,
239-16-1,DEL,31,Jacques-Ferron,rue,
239-15-1,DEL,31,Jacques-Ferron,rue,
215-50-1,DEL,5640,Arthur-Dufresne,rue,
215-51-1,DEL,,Gagnon,rue,
227-1-1,DEL,2590,Gagnon,rue,
210-24-1,DEL,5555,PrÃ©ville,rue,
214-9-1,DEL,3580,Rouen,rue,de
213-70-1,DEL,,Bayonne,rue,de
213-69-1,DEL,,Landerneau,rue,de
213-6-1,DEL,,La Rochelle,rue,de
210-44-1,DEL,4735,LavallÃ©e,rue,
210-37-1,DEL,1000,LavallÃ©e,rue,
210-36-1,DEL,,LavallÃ©e,rue,
210-35-1,SHP,,LavallÃ©e,rue,
210-34-1,SHP,,LavallÃ©e,rue,
210-33-1,DEL,,LavallÃ©e,rue,
209-19-1,DEL,,Rosemont,cÃ´te,
210-25-1,DEL,4115,BerniÃ¨res,rue,de
214-44-1,DEL,,Bayonne,rue,de
210-23-1,DEL,5565,PrÃ©ville,rue,
210-22-1,DEL,,Rigaud,boulevard,
210-21-1,SHP,,Rigaud,boulevard,
210-14-1,DEL,4495,Rigaud,boulevard,
210-11-1,DEL,4500,Rigaud,boulevard,
210-11-2,DEL,4500,Rigaud,boulevard,
210-8-1,DEL,5630,Donais,rue,
210-1-1,SHP,5715,Donais,rue,
209-57-1,DEL,,Montlieu,rue,de
209-27-1,DEL,5385,Cherbourg,rue,de
220-312-1,DEL,,Rosemont,cÃ´te,
230-22-1,SHP,5305,Jean-XXIII,boulevard,
210-26-1,DEL,4085,BerniÃ¨res,rue,de
203-34-1,DEL,5355,Montreuil,rue,de
217-1-1,DEL,,Richer,rue,
216-21-1,DEL,3965,Rosemont,cÃ´te,
216-13-1,DEL,3714,Rosemont,cÃ´te,
214-10-1,DEL,3570,Rouen,rue,de
80090-1-1,SHP,5280,OrlÃ©ans,rue,d'
214-14-1,DEL,,Gilbert,rue,
203-30-1,DEL,,Montreuil,rue,de
203-28-1,DEL,,Pontoise,rue,de
203-27-1,DEL,,Pontoise,rue,de
203-23-1,DEL,,OrlÃ©ans,rue,d'
203-21-1,DEL,5300,OrlÃ©ans,rue,d'
203-1-1,DEL,3620,D'Auteuil,rue,
203-1-2,DEL,3620,D'Auteuil,rue,
203-17-1,DEL,3595,Beaumont,rue,de
203-16-1,DEL,3605,Beaumont,rue,de
203-15-1,DEL,3635,Beaumont,rue,de
203-6-1,DEL,5351,Beauvais,rue,de
200-11-1,DEL,,Beauvais,rue,de
209-17-1,DEL,,Rosemont,cÃ´te,
205-34-1,DEL,,LabossiÃ¨re,rue,
207-8-1,DEL,5085,Cherbourg,rue,de
206-28-1,DEL,5895,Goyer,rue,
206-27-1,DEL,5915,Goyer,rue,
206-26-1,DEL,5955,Goyer,rue,
206-25-1,DEL,5975,Goyer,rue,
206-24-1,DEL,5670,Anctil,rue,
206-21-1,DEL,6065,Goyer,rue,
206-20-1,DEL,6125,Goyer,rue,
206-15-1,DEL,6350,Goyer,rue,
206-14-1,DEL,6370,Goyer,rue,
206-13-1,DEL,6390,Goyer,rue,
209-20-1,DEL,4755,Rosemont,cÃ´te,
207-11-1,DEL,5610,Auclair,rue,
205-27-1,DEL,3665,Cherbourg,rue,de
205-26-1,DEL,3695,Cherbourg,rue,de
205-8-1,DEL,5045,Cherbourg,rue,de
205-7-1,DEL,,Cherbourg,rue,de
80086-3-1,SHP,,Montlieu,rue,de
215-117-1,DEL,,Richelieu,cÃ´te,
801301-1-1,SHP,,Routhier,rue,
80130-1-1,SHP,,Routhier,rue,
220-190-1,DEL,,Lisieux,rue,de
220-146-1,DEL,3355,Richelieu,cÃ´te,
205-88-1,DEL,,Anctil,rue,
208-40-1,DEL,5265,Marie-Guyart,rue,
209-16-1,DEL,4680,Rosemont,cÃ´te,
209-58-1,DEL,4675,Rosemont,cÃ´te,
209-14-1,DEL,4600,Rosemont,cÃ´te,
209-11-1,DEL,,Rosemont,cÃ´te,
209-10-1,DEL,,Rigaud,boulevard,
209-9-1,DEL,,Rigaud,boulevard,
209-8-1,DEL,,Rosemont,cÃ´te,
209-7-1,DEL,,Rosemont,cÃ´te,
209-6-1,DEL,,Rosemont,cÃ´te,
208-45-1,DEL,5140,Blain,rue,
208-44-1,DEL,5155,Montlieu,rue,de
207-9-1,DEL,,Auclair,rue,
208-42-1,DEL,5215,Montlieu,rue,de
207-10-1,DEL,5590,Auclair,rue,
208-33-1,DEL,5120,Blain,rue,
208-31-1,DEL,5060,Blain,rue,
207-77-1,DEL,5780,Laflamme,rue,
207-76-1,DEL,5535,Laflamme,rue,
207-75-1,DEL,5555,Laflamme,rue,
207-66-1,IND,,Gascogne,rue,de
207-65-1,DEL,5310,Gascogne,rue,de
207-47-1,DEL,,Cambrai,rue,de
207-12-1,DEL,5630,Auclair,rue,
208-43-1,DEL,5175,Montlieu,rue,de
232-3-1,DEL,6305,Corbeil,rue,
229-3-1,DEL,,Richelieu,cÃ´te,
228-10-1,DEL,,CodÃ¨re,rue,
228-8-1,DEL,,Le Royer,rue,
227-18-1,DEL,5700,Roland,rue,
