OBJECTID,TYPE,SUPERFICIE,CLASSIFICATION,GEOM,LONGUEUR
12068,Chaussée,5252.863707981563,,Polygone,
12069,Chaussée,21771.58278138125,,Polygone,
12070,Intersection,149.712817541875,,Polygone,
12071,Chaussée,458.643148705,,Polygone,
12072,Chaussée,3089.36985535,,Polygone,
12073,Chaussée,1700.6126583290625,,Polygone,
12074,Intersection,261.1961209434375,,Polygone,
12075,Chaussée,303.36183756875,,Polygone,
12076,Chaussée,1161.51562473,,Polygone,
12077,Chaussée,1177.3298793846875,,Polygone,
12078,Intersection,274.4499924684375,,Polygone,
12079,Chaussée,2390.5869690503123,,Polygone,
12080,Chaussée,1480.9325591071874,,Polygone,
12081,Chaussée,1804.053148360625,,Polygone,
12082,Chaussée,1819.947600150625,Arthère,Polygone,
12083,Intersection,557.71788915375,Arthère,Polygone,
12084,Intersection,513.1517877609375,Arthère,Polygone,
12085,Chaussée,345.5165615603125,Arthère,Polygone,
12086,Intersection,229.5585196675,,Polygone,
12087,Chaussée,438.6801893675,,Polygone,
12088,Chaussée,2043.02108763375,,Polygone,
12089,Intersection,282.4716983128125,,Polygone,
12090,Chaussée,439.05329164625,,Polygone,
12091,Chaussée,293.897580744375,,Polygone,
12092,Intersection,614.6377371940625,,Polygone,
12093,Chaussée,3540.38623660125,,Polygone,
12094,Intersection,324.1888046965625,,Polygone,
12095,Chaussée,1282.93486482,Locale,Polygone,
12096,Chaussée,786.908342825,Locale,Polygone,
12097,Chaussée,158.62955777875,Locale,Polygone,
12098,Chaussée,362.267522975,Locale,Polygone,
12099,Chaussée,425.175662925,Locale,Polygone,
12100,Chaussée,2869.1195704303127,Arthère,Polygone,
12101,Chaussée,656.301551225625,Arthère,Polygone,
12102,Chaussée,329.8024512503125,Arthère,Polygone,
12103,Chaussée,808.2370580428125,Locale,Polygone,
12104,Chaussée,525.0454139821875,Locale,Polygone,
12105,Chaussée,570.07895666625,Locale,Polygone,
12106,Chaussée,228.5030854875,Locale,Polygone,
12107,Chaussée,723.85123888625,Locale,Polygone,
12108,Chaussée,309.1749249925,Arthère,Polygone,
12109,Chaussée,968.40989636625,Arthère,Polygone,
12111,Chaussée,504.20129816,Arthère,Polygone,
12112,Chaussée,566.817063575,Arthère,Polygone,
12113,Chaussée,772.54839122,Arthère,Polygone,
12114,Chaussée,825.585290295,Arthère,Polygone,
12115,Chaussée,336.81324844,Arthère,Polygone,
12116,Chaussée,318.35520903,Arthère,Polygone,
12117,Chaussée,1161.87603725,Accès Autoroute,Polygone,
12118,Chaussée,943.88553981,Accès Autoroute,Polygone,
12119,Chaussée,158.16694888125,Arthère,Polygone,
12120,Chaussée,121.1162680125,Locale,Polygone,
12121,Chaussée,267.39826262,Arthère,Polygone,
12122,Chaussée,195.114344885,Locale,Polygone,
12123,Chaussée,126.5347444584375,Arthère,Polygone,
12124,Chaussée,183.972773775,Locale,Polygone,
12125,Chaussée,227.86971161,Locale,Polygone,
12126,Chaussée,294.565807225,Locale,Polygone,
12127,Chaussée,313.36070699,Locale,Polygone,
12128,Chaussée,399.957950435,Locale,Polygone,
12129,Chaussée,335.874014125,Locale,Polygone,
12130,Chaussée,374.817361425,Locale,Polygone,
12131,Chaussée,172.35936796,Locale,Polygone,
12132,Chaussée,397.129256355,Locale,Polygone,
12133,Chaussée,306.02564792,Locale,Polygone,
12134,Chaussée,266.3156049003125,Locale,Polygone,
12135,Chaussée,292.097766785,Locale,Polygone,
12136,Chaussée,450.876353955,Arthère,Polygone,
12137,Chaussée,458.36360201,Arthère,Polygone,
12138,Chaussée,1709.089876205,Arthère,Polygone,
12139,Chaussée,1711.3159001675,Arthère,Polygone,
12140,Chaussée,859.26778326375,Arthère,Polygone,
12141,Chaussée,891.65217269,Arthère,Polygone,
12142,Chaussée,714.522810615,Arthère,Polygone,
12143,Chaussée,1050.443540415,Arthère,Polygone,
12144,Chaussée,923.904041635,Arthère,Polygone,
12145,Chaussée,1099.01538081,Arthère,Polygone,
12146,Chaussée,1855.14391814375,Arthère,Polygone,
12147,Chaussée,701.045090919375,Arthère,Polygone,
12148,Chaussée,757.70916433875,Arthère,Polygone,
12149,Chaussée,764.167205735,Arthère,Polygone,
12150,Chaussée,759.782439805,Arthère,Polygone,
12151,Chaussée,744.082898285,Arthère,Polygone,
12152,Chaussée,748.822501875,Arthère,Polygone,
12153,Chaussée,731.04044026,Arthère,Polygone,
12154,Chaussée,752.398864485,Arthère,Polygone,
12155,Chaussée,687.08057032,Arthère,Polygone,
12156,Chaussée,683.89296395,Arthère,Polygone,
12157,Chaussée,758.774985685,Arthère,Polygone,
12158,Chaussée,759.07587616,Arthère,Polygone,
12159,Chaussée,818.773950745,Arthère,Polygone,
12160,Chaussée,859.267686265,Arthère,Polygone,
12161,Chaussée,812.23923046,Arthère,Polygone,
12162,Chaussée,526.175298525,Arthère,Polygone,
12163,Chaussée,2168.345249235,Arthère,Polygone,
12164,Chaussée,2707.435606755,Arthère,Polygone,
12165,Chaussée,6637.02731807625,Locale,Polygone,
12166,Chaussée,3944.37431863625,Arthère,Polygone,
12167,Chaussée,2420.729242975,Arthère,Polygone,
12168,Chaussée,3184.67998087625,Arthère,Polygone,
12169,Chaussée,3145.86062349875,Arthère,Polygone,
12170,Chaussée,1954.538472975,Arthère,Polygone,
12171,Chaussée,2223.3559486,Arthère,Polygone,
12172,Chaussée,16836.3491917775,Locale,Polygone,
12173,Chaussée,2433.646723955,Arthère,Polygone,
12174,Chaussée,3148.57131919,Arthère,Polygone,
12175,Chaussée,3179.70817173875,Arthère,Polygone,
12176,Chaussée,1996.41334157,Arthère,Polygone,
12177,Chaussée,2287.14533894,Arthère,Polygone,
12178,Chaussée,1648.782966945,Arthère,Polygone,
12179,Chaussée,1612.173267765,Arthère,Polygone,
12180,Chaussée,392.5449131475,Arthère,Polygone,
12181,Chaussée,391.2948977,Arthère,Polygone,
12182,Chaussée,2637.5091167,Arthère,Polygone,
12183,Chaussée,2741.0538173875,Arthère,Polygone,
12184,Chaussée,2307.49501946,Arthère,Polygone,
12185,Chaussée,2310.2181631625,Arthère,Polygone,
