NOM_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,SOUS_TYPE_CLIENT_PARTENAIRE,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE,RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,LATITUDE,LONGITUDE
Coopérative de solidarité d'information des Basques,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,57,Rang 3 Est,Trois-Pistoles,1,Bas-Saint-Laurent,Québec,Canada,G0L 4K0,48.109237727017138,-69.111991801172252
Diffusion communautaire de La Mitis inc.,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,1806,rue Isidore-Lechasseur,Mont-Joli,1,Bas-Saint-Laurent,Québec,Canada,G5H 2Z4,48.58201556932103,-68.182348306505801
Journal Épik de Cacouna,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,628,rue du Patrimoine,Cacouna,1,Bas-Saint-Laurent,Québec,Canada,G0L 1G0,47.911566029788133,-69.504481076304614
Journal L'Action de l'Est - Coopérative de solidarité,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,148,avenue Belzile,Rimouski,1,Bas-Saint-Laurent,Québec,Canada,G5L 3E4,48.453485160282256,-68.52311623531584
La Radio communautaire du Comté,Média,Reconnu et soutenu,Médias communautaires,Radio communautaire hertzienne,Radio hertzienne,Médias et multimédia,323,montée Industrielle-et-Commerciale,Rimouski,1,Bas-Saint-Laurent,Québec,Canada,G5M 1A7,48.459794458440193,-68.50056809761233
Le Trait d'Union de Saint-Bruno,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,4,rue du Couvent,Saint-Bruno-de-Kamouraska,1,Bas-Saint-Laurent,Québec,Canada,G0L 2M0,47.456790439047751,-69.75380518591038
Les Éditions du Berger Blanc,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,,CP 113,Rimouski,1,Bas-Saint-Laurent,Québec,Canada,G5L 7B7,48.355263365936061,-68.433488344561979
Télévision communautaire de la Vallée de la Matapédia inc.,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,81,rue des Forges,Amqui,1,Bas-Saint-Laurent,Québec,Canada,G5J 3A7,48.463611008111172,-67.431680716993284
Télévision communautaire du Kamouraska incorporée,Média,Reconnu et soutenu,Médias communautaires,Télévision communautaire conventionnelle,Télévision conventionnelle,Médias et multimédia,518,rue Saint-Elzéar,Saint-Pascal,1,Bas-Saint-Laurent,Québec,Canada,G0L 3Y0,47.524732982749953,-69.809504862828405
Journal La Vie d'ici,Média,Reconnu et soutenu,Médias communautaires,Presse écrite communautaire,Presse écrite,Médias et multimédia,4681,route Saint-Léonard,Shipshaw,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7P 1J4,48.472996794632351,-71.284306571722354
