OID_;NO_TERRI;DendroLiDA;TYPE
0;02664;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02664/;UA
1;01171;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_01171/;UA
2;01272;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_01272/;UA
3;02371;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02371/;UA
4;02471;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02471/;UA
5;02571;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02571/;UA
6;02651;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02651/;UA
7;02661;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02661/;UA
8;02662;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02662/;UA
9;02663;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02663/;UA
10;02665;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02665/;UA
11;02666;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02666/;UA
12;02751;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_02751/;UA
13;03153;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_03153/;UA
14;03171;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_03171/;UA
15;03351;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_03351/;UA
16;03571;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_03571/;UA
17;04151;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_04151/;UA
18;04251;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_04251/;UA
19;04351;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_04351/;UA
20;04352;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_04352/;UA
21;06271;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_06271/;UA
22;06471;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_06471/;UA
23;07152;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_07152/;UA
24;07351;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_07351/;UA
25;07352;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_07352/;UA
26;07451;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_07451/;UA
27;08152;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08152/;UA
28;08251;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08251/;UA
29;08351;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08351/;UA
30;08451;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08451/;UA
31;08462;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08462/;UA
32;08651;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08651/;UA
33;08666;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08666/;UA
34;08751;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08751/;UA
35;08762;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08762/;UA
36;08763;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08763/;UA
37;09351;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_09351/;UA
38;09352;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_09352/;UA
39;09471;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_09471/;UA
40;096001;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/TFR/TRF_096001/;TFR
41;09751;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_09751/;UA
42;11161;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_11161/;UA
43;11262;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_11262/;UA
44;11263;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_11263/;UA
45;A011;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/Agence/A011/;AGENCE
46;A021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/Agence/A021/;AGENCE
47;A022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/Agence/A022/;AGENCE
48;A031;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/Agence/A031/;AGENCE
49;A041;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/Agence/A041/;AGENCE
50;A081;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/Agence/A081/;AGENCE
51;A091;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/Agence/A091/;AGENCE
52;A111;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/Agence/A111/;AGENCE
53;08764;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08764/;UA
54;08663;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08663/;UA
55;08664;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08664/;UA
56;08665;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08665/;UA
57;08562;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08562/;UA
58;08652;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08652/;UA
59;A082;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/Agence/A082/;AGENCE
60;08551;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Cartes_dendrometriques_LiDAR/UA/UA_08551/;UA
