ï»¿ID,TYPE,REVETEMENT_SOL,MUNICIPALITE,GEOM,DATE_CREATION,DATE_MODIFICATION,LONGITUDE,LATITUDE
406,Volleyball,Sable,Repentigny,Point,2013-01-01,2016-09-01T14:54:07,-73.47222,45.76939
408,Baseball,Gazon,Repentigny,Point,2013-01-01,2021-08-16T13:22:30,-73.47569,45.72774
412,Baseball,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:15:43,-73.47718,45.75508
425,Basketball,Asphalte,Repentigny,Point,2013-01-01,2016-09-01T15:15:59,-73.47198,45.76898
433,Dekhockey,Surface dure,Repentigny,Point,2013-01-01,2016-09-14T10:13:23,-73.47958,45.75567
435,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2016-09-01T15:23:56,-73.47775,45.7612
441,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2016-09-01T15:23:56,-73.41693,45.78128
443,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2016-09-01T15:23:56,-73.42898,45.77362
444,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2016-09-01T15:23:56,-73.43704,45.75755
445,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2016-09-01T15:23:56,-73.51367,45.75617
446,Tennis,Surface dure,Repentigny,Point,2013-01-01,2016-09-01T15:17:05,-73.47437,45.7276
447,Tennis,Surface dure,Repentigny,Point,2013-01-01,2016-09-01T15:17:05,-73.46654,45.74075
460,PÃ©tanque,Gravelette,Repentigny,Point,2013-01-01,2016-09-01T14:53:03,-73.42529,45.7647
461,PÃ©tanque,Gravelette,Repentigny,Point,2013-01-01,2016-09-01T14:53:05,-73.42522,45.76452
462,PÃ©tanque,Gravelette,Repentigny,Point,2013-01-01,2016-09-01T14:53:06,-73.42517,45.76436
466,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.47591,45.72689
474,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.45845,45.77065
487,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.51416,45.75641
488,PÃ©tanque,Gravelette,Repentigny,Point,2013-01-01,2016-09-01T14:53:11,-73.44743,45.7371
489,Football,SynthÃ©tique,Repentigny,Point,2013-01-01,2016-09-01T15:25:00,-73.41041,45.78995
431,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2016-09-01T15:23:56,-73.47182,45.72242
807,Basketball,Asphalte,Repentigny,Point,2014-03-28T10:24:24,2016-09-01T15:15:59,-73.44975,45.74539
440,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2016-09-01T15:23:56,-73.43732,45.7788
432,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2016-09-01T15:23:56,-73.46819,45.74148
808,PÃ©tanque,Gravelette,Repentigny,Point,2014-03-28T10:42:40,2016-09-01T14:53:08,-73.47774,45.76121
436,Patinoire extÃ©rieure,Glace,Repentigny,Point,2013-01-01,2016-09-01T15:23:56,-73.47134,45.76913
414,Baseball,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:15:43,-73.46004,45.76837
2035,Tennis,Terre battue,Repentigny,Point,2014-11-03T15:04:15,2016-09-01T15:50:10,-73.41139,45.78909
2036,Tennis,Terre battue,Repentigny,Point,2014-11-03T15:06:05,2016-09-01T15:50:12,-73.41142,45.78951
454,Tennis,Surface dure,Repentigny,Point,2013-01-01,2016-09-01T15:17:05,-73.43787,45.7572
815,Baseball,Gazon,Repentigny,Point,2014-09-17T11:20:51,2016-09-01T15:15:43,-73.45969,45.76807
839,Soccer,Gazon,Repentigny,Point,2014-09-18T10:16:59,2016-09-01T15:16:43,-73.40846,45.78865
838,Soccer,Gazon,Repentigny,Point,2014-09-18T10:16:55,2016-09-01T15:16:43,-73.40866,45.78856
837,Soccer,Gazon,Repentigny,Point,2014-09-18T10:16:49,2016-09-01T15:16:43,-73.40886,45.78848
836,Soccer,Gazon,Repentigny,Point,2014-09-18T10:16:26,2016-09-01T15:16:43,-73.40907,45.7884
835,Soccer,Gazon,Repentigny,Point,2014-09-18T10:16:21,2016-09-01T15:16:43,-73.40927,45.78831
834,Soccer,Gazon,Repentigny,Point,2014-09-18T10:16:13,2016-09-01T15:16:43,-73.40947,45.78823
826,Soccer,Gazon,Repentigny,Point,2014-09-18T10:04:00,2016-09-01T15:16:43,-73.40967,45.78846
827,Soccer,Gazon,Repentigny,Point,2014-09-18T10:14:52,2016-09-01T15:16:43,-73.40948,45.78854
828,Soccer,Gazon,Repentigny,Point,2014-09-18T10:15:39,2016-09-01T15:16:43,-73.40927,45.78862
829,Soccer,Gazon,Repentigny,Point,2014-09-18T10:15:45,2016-09-01T15:16:43,-73.40907,45.78871
830,Soccer,Gazon,Repentigny,Point,2014-09-18T10:15:50,2016-09-01T15:16:43,-73.40887,45.78879
831,Soccer,Gazon,Repentigny,Point,2014-09-18T10:15:56,2016-09-01T15:16:43,-73.40867,45.78888
472,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.46543,45.76216
456,Football,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:14,-73.4202,45.78827
430,Basketball,Asphalte,Repentigny,Point,2013-01-01,2016-09-01T15:15:59,-73.51367,45.75617
478,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.43688,45.77931
429,Basketball,Asphalte,Repentigny,Point,2013-01-01,2016-09-01T15:15:59,-73.43671,45.76264
453,Tennis,Surface dure,Repentigny,Point,2013-01-01,2016-09-01T15:17:05,-73.43683,45.76207
482,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.43715,45.76133
469,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.47999,45.76147
470,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.47916,45.76105
476,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.45011,45.74574
803,Dekhockey,Surface dure,Repentigny,Point,2013-06-05T14:30:10,2016-09-14T10:13:30,-73.47886,45.75536
434,Dekhockey,Surface dure,Repentigny,Point,2013-01-01,2016-09-14T10:13:28,-73.48011,45.75594
804,Basketball,Asphalte,Repentigny,Point,2014-03-28T10:12:31,2016-09-01T15:15:59,-73.47805,45.71495
475,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.44323,45.74909
481,Soccer,Gazon,Repentigny,Point,2013-01-01,2016-09-01T15:16:43,-73.41909,45.77433
