NUMÉRO,DATE D'APPROBATION,NOM DU FOURNISSEUR,SERVICE,DESCRIPTION,NUMÉRO ENTENTE-CADRE,MONTANT
1508932,2022-01-01,Royal Photo Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,N/A,"2 623,64"
1509194,2022-01-01,Conceptions Snotech Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Équipement de sport et terrain de jeux,N/A,"16 876,70"
1509679,2022-01-05,Labrador,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Eau potable - Mesure d'urgence,N/A,"3 885,00"
1509710,2022-01-05,CPU Service Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,N/A,"309,19"
1509898,2022-01-06,Confidentiel déchiquetage de documents inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service mensuel de destruction de documents confidentiels_bc ouvert 2022,1339456,"306,98"
1536791,2022-01-06,Corporation de développement communautaire de Côte-des-Neiges,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contribution financière pour la table de quartier dans le cadre de l'initiative montréalaise_GDD 1228159006,N/A,"16 725,00"
1536793,2022-01-06,Conseil communautaire Notre-Dame-de Grâce inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contribution financière pour la table de quartier dans le cadre de l'initiative montréalaise_GDD 1228159006,N/A,"16 725,00"
1508236,2022-01-06,Les Industries Poly Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Numérisation de documents,1322302,"13 406,91"
1509898,2022-01-06,Confidentiel Déchiquetage De Documents Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Destruction de documents,1339456,"251,76"
1509958,2022-01-06,Globex Courrier Express International Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Postal, messagerie",N/A,"209,97"
1452900,2022-01-07,Carr Mclean Limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Articles, accessoires et équipement de bureau",N/A,"1 267,17"
1452911,2022-01-07,Uline Canada Corp,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement d'emballage et d'entreposage,N/A,"2 834,66"
1457615,2022-01-07,9028-6733 Québec Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Matériel artistique,N/A,"839,90"
1508544,2022-01-07,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Outils à batterie,N/A,"5 266,29"
1510101,2022-01-07,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Produits de papier,1048199,"341,11"
1510102,2022-01-07,Réseau Indépendant Des Diffuseurs D'Événements Artistiques Unis ,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Formation en développement organisationnel et technique,N/A,"1 259,85"
1510103,2022-01-07,Ni Produits Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Matériel pour loisir, jeu",N/A,"215,23"
1510105,2022-01-07,Librairie Renaud-Bray Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Matériel pour loisir, jeu",N/A,"2 988,09"
1469958,2022-01-10,Piano Esmonde White,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Équipement de scène,N/A,"1 054,07"
1454571,2022-01-10,"Paquette & Associés, Huissiers de Justice S.E.N.C.R.L.",Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Huissier de justice,N/A,"981,24"
1510893,2022-01-11,Enviroservices Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Analyse et essai en laboratoire,1408088,"22 047,37"
1510661,2022-01-11,C.P.U. Design Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,N/A,"372,18"
1510818,2022-01-11,Édifice 5160 Décarie Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Frais de stationnement,N/A,"16 803,25"
1510965,2022-01-12,Regard Sécurité,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires vestimentaires,1255847,"200,00"
1511413,2022-01-13,Les traductions Terry Knowles inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service de traduction_bc ouvert 2022,N/A,"3 149,62"
1511460,2022-01-13,Peintures M.F. Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Bon de commande ouvert 2022 pour la peinture et accessoires_unités Graffitis,N/A,"1 049,87"
1511284,2022-01-13,Walter Technologies Pour Surfaces,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Absorbant,N/A,"2 047,26"
1511289,2022-01-13,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Produits d'entretien ménager,N/A,"264,82"
1511389,2022-01-13,Ferronnerie Bronx,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Outils manuels,N/A,"265,09"
1511408,2022-01-13,Les Industries Poly Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Reprographie,1322302,"16 359,14"
1511410,2022-01-13,Medias Transcontinental S.E.N.C,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Placement média d'appel d'offres,N/A,"2 099,75"
1511412,2022-01-13,Mediaqmi Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Placement média d'appel d'offres,N/A,"3 149,62"
1511413,2022-01-13,Les Traductions Terry Knowles Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Rédaction, révision",N/A,"3 149,62"
1511415,2022-01-13,Acklands - Grainger Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Formation en santé et sécurité,N/A,"636,39"
1511416,2022-01-13,Mp Reproductions Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Articles, accessoires et équipement de bureau",N/A,"944,89"
1511417,2022-01-13,"Bédard, Lucie",Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Frais - Dépenses de fonction,N/A,"846,44"
1511427,2022-01-13,Aiguisage Pigeon Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Outils manuels,N/A,"665,62"
1511460,2022-01-13,Peintures M.F. Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires de peinture,N/A,"2 099,74"
1511490,2022-01-13,Addison Électronique Montréal,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Fil et câble électrique,N/A,"148,91"
1504380,2022-01-13,Entretien Mana Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Entretien d'immeuble,N/A,"309,16"
1511543,2022-01-13,Creusage Rl,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Location - Véhicule lourd, machinerie lourde et camion avec équipement spécialisé",N/A,"15 748,12"
