ID_SEANCE,INSTANCE,DATE,TYPE_ASSEMBLEE,TYPE_QUESTION,NOMBRE_QUESTIONS,FRANCAIS,ANGLAIS,BILINGUE,AUTRE_LANGUE,FEMME,HOMME,AUTRE_GENRE,PAS_REPONDRE_GENRE,0_14,15_24,25_34,35_44,45_54,55_64,65_74,75_PLUS,PAS_REPONDRE_AGE,AUTOCHTONE,MIN_VISIBLE,MIN_ETHNIQUE,LGBTQ,NAIS_EXT_CAN,HANDICAP,AUCUN_GROUPE,PAS_REPONDRE_GROUPE,PRIMAIRE,SECONDAIRE,COLLEGIAL,UNI_1,UNI_2,UNI_3,AUCUN_SCOL,PAS_REPONDRE_SCOL,AHU,ANJ,CDN,LAC,LAS,PMR,LSO,IBI,MHM,MTN,OUT,PRF,RDP,RPP,VSL,STL,VER,VIM,VSE,NON_RES_ARROND,PAS_REPONDRE_ARROND ,BU,BEA,CSL,DDO,DOR,HAM,KIR,VMR,MTL,ME,MO,PC,SADB,SEN,WES,NON_RES_VILLE_LIEE,PAS_REPONDRE_VILLE_LIEE,ARCHIVE_MIN_VISIBLE_ET_ETHNIQUE,ARCHIVE_PAS_REPONDRE_MIN,ARCHIVE_HANDICAP_NON
CM_2021-01-25_R,Conseil municipal,2021-01-25,Régulière,Question soumise,99,72,27,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
CM_2021-01-25_R,Conseil municipal,2021-01-25,Régulière,Question répondue,60,44,16,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
CA_2021-01-28_R,Conseil d'agglomération,2021-01-28,Régulière,Question soumise,7,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
CA_2021-01-28_R,Conseil d'agglomération,2021-01-28,Régulière,Question répondue,7,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
CM_2021-02-22_R,Conseil municipal,2021-02-22,Régulière,Question soumise,84,53,31,0,0,41,41,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,5,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,22,1,1,4,2,0,8,1,7,7,0,8,3,1,2,2,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,24,0
CM_2021-02-22_R,Conseil municipal,2021-02-22,Régulière,Question répondue,54,34,20,0,0,25,28,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,14,0,1,3,2,0,5,1,5,5,0,3,1,0,1,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,16,0
CA_2021-02-25_R,Conseil d'agglomération,2021-02-25,Régulière,Question soumise,10,6,4,0,0,6,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
CA_2021-02-25_R,Conseil d'agglomération,2021-02-25,Régulière,Question répondue,10,6,4,0,0,6,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
CA_2021-03-19_E,Conseil d'agglomération,2021-03-19,Extraordinaire,Question soumise,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
CA_2021-03-19_E,Conseil d'agglomération,2021-03-19,Extraordinaire,Question répondue,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
