ANNEE_FINANCIERE,SUB_ID,ORG_ID,ORG_NOM,ORG_TYPE,BEN_NOM,BEN_TYPE,SUB_TYPE,TITRE_VERSON_ORIGINALW,TITRE_VERSION_DOUBLEE,LANGUE_VERSION_ORIGINALE,LANGUE_VERSION_DOUBLEE,PREMIER_MARCHE,FORMAT,CATEGORIE,ANIMATION,DESTINE_AUX_ENFANTS,DUREE_DE_L_OEUVRE_DOUBLEE,NBR_EPISODES,NO_PREMIER_EPISODE,NO_DERNIER_EPISODE
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Giant Lobster Hunters I,Chasseurs de langoustes géantes I,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Malignant,Malignant - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,111,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Cry Macho,Cry Macho - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,105,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Everybody's talking about Jamie,Everybody's talking about Jamie - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,164,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,"Card Counter, The","Compteur de cartes, Le",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,112,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Animal Kingdom V,Animal Kingdom V - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,FAUX,45,13,501,513
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,House of Gucci,"saga Gucci, La",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,157,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Out of Death,Out of Death - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,96,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Las Leyes de la Frontera,"Law of the border, The",Espagnol,Anglais,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,127,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Belfast,Belfast - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,99,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Too Large,Trop gros,Anglais,Français,Télévision,Émission Unique,Documentaire,FAUX,FAUX,60,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Family Law I,"famille fait la loi, La I",Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,FAUX,60,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,"Histoires bizarres du professeur Zarbi, Les II","Bizarre Stories of Professeur Zarbi, The II",Français,Anglais,Télévision,Minisérie (2 à 6 épisodes),Fiction-Animation,VRAI,FAUX,22,5,201,205
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,"Contractor, The","Contractor, The - V.F.",Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,103,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,"Cursed, The","damnés, Les",Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,111,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Hasta que nos volvamos a encontrar,Without Saying Goodbye,Espagnol,Anglais,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,96,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Mountain Men X,"montagnards, Les X",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,90,10,1,10
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,When Big Things Go Wrong I,Quand rien ne va plus I,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,60,6,101,106
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Border Security Australias FL XIV,Douanes sous haute surveillance XIV,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,30,20,1,20
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,See No Evil VII,Crimes sur le vif VII,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,11,20
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,"Christmas Contest, The","Christmas Contest, The - V.F.",Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,84,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Everything Everywhere All At Once,"Tout partout, tout à la fois",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,138,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,After Yang,After Yang - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,96,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,"Batman, The","Batman, The - V.F.",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,177,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,The 355,The 355 - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,123,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Scream 5,Scream 5 - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,115,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,"Black Phone, The","Black Phone, The - V.F.",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,104,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,C'Mon C'Mon,Nos âmes d'enfants,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,109,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Cyrano,Cyrano - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,125,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Black Conflux,Black Conflux - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,100,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Dale Gas I,Dale Gas I - V.A.,Espagnol,Anglais,Télévision,Série (7 épisodes et plus),Fiction,FAUX,FAUX,34,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Granizo,Granizo - V.A.,Espagnol,Anglais,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,118,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Operation Fortune,Operation Fortune: Ruse de guerre,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,114,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,"Bad Guys, The","Bad Guys, Les",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction-Animation,VRAI,VRAI,111,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Downton Abbey 2- A new Era,Downton Abbey 2 : Une nouvelle ère,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,125,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Fantastic Beasts 3 : The Secrets of Dumbledore,"animaux fantastiques 3 : Les secrets de Dumbledore, Les",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,142,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Morbius,Morbius - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,109,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Children Ruin Everything I,Children Ruin Everything I - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,FAUX,30,8,101,108
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Dino Ranch I,Dino Ranch I - V.F. (119A - 126B),Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction-Animation,VRAI,VRAI,11,16,119,126
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Moonshine I,Moonshine I - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,FAUX,60,8,101,108
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Transplant II,Transplanté II,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,FAUX,60,13,201,213
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,"Curse of Oak Island, The VIII","malediction dOak Island, La VIII",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,15,19,33
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Great Escapes with Morgan Freeman I,"grandes évasion avec Morgan Freeman, Les I",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,8,101,108
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La belle équipe IV Inc.,Entreprise,Crédit d'impôt,Canot Cocasse IV,Magic Canoe IV,Français,Anglais,Télévision,Série (7 épisodes et plus),Fiction-Animation,VRAI,VRAI,22,13,401,413
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La belle équipe IV Inc.,Entreprise,Crédit d'impôt,Canot Cocasse V,Magic Canoe V,Français,Anglais,Télévision,Série (7 épisodes et plus),Fiction-Animation,VRAI,VRAI,22,13,501,513
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Rumble (2021),Steve bête de combat,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction-Animation,VRAI,FAUX,109,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Muminpappans bravader - En ung Äventyr,"Exploits of Moominpappa, The",Autre,Anglais,Télévision,Moyen Métrage (31 à 74 minutes),Fiction-Animation,VRAI,FAUX,74,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Dune,Dune - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,156,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Dog,Dog - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,102,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Blacklight,Blacklight - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,108,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,American Siege,American Siege - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,90,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Mayday XXII,Mayday XXII - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,1,10
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,All My Puny Sorrows,All My Puny Sorrows - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,103,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Christmas CEO,Christmas CEO - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,88,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,"Green Knight, The","Green Knight, The - V.F.",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,130,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Top Gun 2,Top Gun: Maverick,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,131,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,X,X - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,114,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Book of Love,Book of Love - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,106,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,My Son,My Son - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,96,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,"Outfit, The","tailleur, Le",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,105,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Cities of the Underworld IV,Dans le secret des villes IV,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,8,401,408
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Food Truck Rehab,Camions-restos en péril,Anglais,Français,Télévision,Moyen Métrage (31 à 74 minutes),Documentaire,FAUX,FAUX,60,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Great Southern Truckers I,Routiers de la Nouvelle-Zélande I,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,60,6,101,106
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Voyagers,Voyagers - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,108,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Heartland XIV,Heartland XIV - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,FAUX,60,10,1401,1410
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,And Just Like That- The Documentary,And Just Like That  Le documentaire,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Documentaire,FAUX,FAUX,90,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Celebrity IOU II,Hollywood rénove II,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,7,208,214
