"No structure","IDE_STRCT","Groupe","Statut","Type structure","Charg. conception","Affichage sur place","Responsablilté de gestion","Centre de services","Role VM Inspection","Année de construction","Nom route","Nom obstacle","ICG","Catégorie ICG","Date Insp. Générale Fermee","Superficie du tablier","Superficie du mur","Longitude","Latitude","X","Y","lien_vers_rapport"
"81-05021",202363,,"Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grà¢ce","Inspections annuelle et générale par la Ville Montréal",1966,"avenue Van Horne ","autoroute 15 ",99.99,4,"2020-07-02",712,,-73.6422395349099,45.4895222075334,293681.8836,5038854.099,"Non disponible"
"81-05022",202365,,"Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grà¢ce","Inspections annuelle et générale par la Ville Montréal",1966,"rue Vézina ","Autoroute 15 Sud",99.96,4,"2020-07-02",749,,-73.647894,45.491972,293240.405,5039127.143,"Non disponible"
"81-05023",202529,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","18-CL625","Aucun affichage","Ville de Montréal - MTQ","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1972,"Rue Bleury","Autoroute 720 Ouest",100,4,"2018-10-16",554,,-73.561375,45.5036835,300003.8413,5040419.839,"Non disponible"
"81-05024",202525,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1972,"avenue de l'Hôtel-de-Ville ","Autoroute 720 Ouest",99.98,4,"2021-11-16",1257,,-73.5565835,45.5091685,300378.7032,5041029.115,"Non disponible"
"81-05026",202526,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","99-Inconnu","Tonnage réduit","Ville de Montréal - MTQ","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1972,"Boulevard Saint-Laurent ","Autoroute 720 Ouest",99.82,4,"2020-07-08",1069,,-73.558232,45.507303,300249.7431,5040821.893,"Non disponible"
"81-05027",202527,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","99-Inconnu","Tonnage réduit","Ville de Montréal - MTQ","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1972,"Rue Saint-Urbain ","Autoroute 720 Ouest",100,4,"2020-07-08",1152,,-73.559293,45.506218,300166.7474,5040701.377,"Non disponible"
"81-05029A",6080101,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1895,"Rue Berri ",,82.84,4,"2021-08-26",,405,-73.5511460001387,45.5111849356557,300803.7188,5041252.918,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05029A_inspection_generale_web.pdf"
"81-05029B",6036123,,"Actif Ville de Montréal","Ponceau voà»té en béton armé","99-Inconnu","Charges légales","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1895,"Rue Notre-Dame Est ","Rue Berri ",55.46,3,"2021-08-26",,,-73.5517335,45.5114465,300757.8334,5041282.015,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05029B_inspection_generale_web.pdf"
"81-05029C",6080102,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1895,"Rue Berri ",,96.73,4,"2021-08-26",,248,-73.5522470868133,45.5115008773037,300717.7085,5041288.084,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05029C_inspection_generale_web.pdf"
"81-05030",202000,,"Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1960,"rue Sauvé Ouest Dir. Ouest","Autoroute 15 Nord",100,4,"2020-10-28",1703,,-73.6673567584197,45.5314574089469,291728.3132,5043518.167,"Non disponible"
"81-05031",202002,,"Actif Ville de Montréal","Pont à  poutres en acier","17-QS660","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1960,"rue Dudemaine ","Autoroute 15 Nord",100,4,"2019-10-15",661,,-73.695865,45.532386,289501.88,5043626.399,"Non disponible"
"81-05032",202001,,"Actif Ville de Montréal","Pont à  poutres en acier","17-QS660","Aucun affichage","Ville de Montréal - MTQ","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1960,"Boulevard Henri-Bourassa Ouest ","Autoroute 15 Nord",100,4,"2020-10-28",2291,,-73.6830466416507,45.5308473024237,290502.6735,5043453.039,"Non disponible"
"81-05033A",6006705,"P.S. Armand-Bombardier / CN","Actif Ville de Montréal","Mur",,,"Ville de Montréal","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1985,"Boulevard Armand-Bombardier ",,100,4,"2020-10-20",,133,-73.5833263414182,45.6264153460032,298302.6142,5054060.783,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05033A_inspection_generale_web.pdf"
"81-05033B",6006860,"P.S. Armand-Bombardier / CN","Actif Ville de Montréal","Pont à  poutres en béton armé","16-MS250","Aucun affichage","Ville de Montréal","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1985,"boulevard Armand-Bombardier ","Canadien National rail 1",100,4,"2020-10-19",7206,,-73.5840783655638,45.6271177473031,298244.0569,5054138.904,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05033B_inspection_generale_web.pdf"
"81-05033C",6006744,"P.S. Armand-Bombardier / CN","Actif Ville de Montréal","Mur",,,"Ville de Montréal","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1985,"Boulevard Armand-Bombardier ",,100,4,"2020-10-22",,192,-73.586424,45.628666,298061.3435,5054311.161,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05033C_inspection_generale_web.pdf"
"81-05033D",6006746,"P.S. Armand-Bombardier / CN","Actif Ville de Montréal","Mur",,,"Ville de Montréal","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1985,"Boulevard Armand-Bombardier Dir. Nord",,100,4,"2020-10-19",,192,-73.5861654062299,45.6288087833148,298081.5236,5054327.007,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05033D_inspection_generale_web.pdf"
"81-05033E",6006747,"P.S. Armand-Bombardier / CN","Actif Ville de Montréal","Mur",,,"Ville de Montréal","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1985,"Boulevard Armand-Bombardier ",,100,4,"2020-10-19",,133,-73.5830650894466,45.626601126186,298323.0068,5054081.408,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05033E_inspection_generale_web.pdf"
"81-05044",202134,,"Actif Ville de Montréal","Pont à  poutres en acier","13-H20-S16","Charges légales","Ville de Montréal - MTQ","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",1966,"rue Sherbrooke Est ","Autoroute 25 Sud",99.94,4,"2021-09-27",2726,,-73.536972,45.593228,301915.4012,5050369.876,"Non disponible"
"81-05045",201967,,"Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",1966,"Avenue Souligny Est","Autoroute 25 Nord",100,4,"2021-09-27",2461,,-73.5237544941555,45.5893315105917,302946.5183,5049936.46,"Non disponible"
"81-05046",201968,,"Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Charges légales","Ville de Montréal - MTQ","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",1966,"avenue Souligny Ouest","Autoroute 25 Sud",74,3,"2019-08-01",2387,,-73.5248085237797,45.5896344578559,302864.2864,5049970.152,"Non disponible"
"81-05049",207679,,"Actif Ville de Montréal","Pont à  poutres en acier","17-QS660","Aucun affichage","Ville de Montréal - MTQ","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1938,"Route 138","Rivière des Prairies",81.01,4,"2018-10-31",11835,,-73.4836126641176,45.7028581963874,306076.0673,5062552.91,"Non disponible"
"81-05050",6030317,,"Actif Ville de Montréal","Pont à  béquilles, béton armé","18-CL625","Aucun affichage","Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",1920,"Rue Crawford","Canal de l'Aqueduc",97.92,4,"2019-07-29",304,,-73.596232529543,45.4405843675959,297271.4981,5033410.312,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05050_inspection_generale_web.pdf"
"81-05051",6036497,,"Actif Ville de Montréal","Pont à  poutres-caissons en acier","18-CL625","Aucun affichage","Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",1922,"Pont Claude-Brunet","Canal de l'Aqueduc",99.79,4,"2019-07-30",383,,-73.593382,45.443736,297494.9086,5033760.288,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05051_inspection_generale_web.pdf"
"81-05052",6013352,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","13-H20-S16","Aucun affichage","Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",1979,"rue de l'à Église ","Canal de l'Aqueduc",61.19,3,"2019-02-27",734,,-73.5805305,45.463394,298502.4446,5035943.785,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05052_inspection_generale_web.pdf"
"81-05053",6036159,,"Actif Ville de Montréal","Pont à  tablier infér., béton armé","18-CL625","Aucun affichage","Ville de Montréal","21 - Arrondissement Le Sud-Ouest","Inspections annuelle et générale par la Ville Montréal",1932,"Rue Jolicoeur","Canal de l'Aqueduc",99.63,4,"2021-07-26",1059,,-73.580555,45.4570025,298499.8169,5035233.501,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05053_inspection_generale_web.pdf"
"81-05055",6030320,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","17-QS660","Aucun affichage","Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",1926,"Rue Stephens ","Canal de l'Aqueduc",99.39,4,"2021-07-26",952,,-73.590493,45.4467735,297721.2893,5034097.585,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05055_inspection_generale_web.pdf"
"81-05056",6030323,,"Actif Ville de Montréal","Pont à  poutres en béton armé","98-Autre","Aucun affichage","Ville de Montréal","21 - Arrondissement Le Sud-Ouest","Inspections annuelle et générale par la Ville Montréal",1926,"Rue Woodland ","Canal de l'Aqueduc",99.05,4,"2021-08-27",982,,-73.5831675,45.4531605,298295.0523,5034806.75,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05056_inspection_generale_web.pdf"
"81-05057",6013355,,"Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",1974,"rue Galt ","Canal de l'Aqueduc",71.48,3,"2019-02-27",755,,-73.5804705,45.4624965,298507.0368,5035844.041,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05057_inspection_generale_web.pdf"
"81-05063",6013362,,"Actif Ville de Montréal","Pont à  poutres en béton armé","4-12 Tonnes","Aucun affichage","Ville de Montréal","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1945,"Accès à   l'île Haynes","Coulée Grou",94.82,4,"2019-02-26",114,,-73.5026235868042,45.698572546969,304595.688,5062076.5,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05063_inspection_generale_web.pdf"
"81-05066",6013201,,"Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal","27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grà¢ce","Inspections annuelle et générale par la Ville Montréal",1959,"rue Jean-Talon Ouest ","Canadien National rail 1",30,2,"2017-11-23",362,,-73.6325955,45.5133775,294440.0831,5041503.859,"https://depot.ville.montreal.qc.ca/pontsettunnels/2017/81-05066_inspection_generale_web.pdf"
"81-05067",6017701,,"Actif Ville de Montréal","Pont à  tablier supérieur, en acier","17-QS660","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1997,"rue Notre-Dame Est ","rue Saint-Hubert ",98.62,4,"2021-09-21",5964,,-73.5507205,45.513381,300837.1193,5041496.947,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05067_inspection_generale_web.pdf"
"81-05068A",6011242,"P.S. Rachel / CP, Est de Montgomery","Actif Ville de Montréal","Pont à  poutres en acier","16-MS250","Aucun affichage","Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1932,"rue Rachel Est ","Canadien Pacifique rail 1",94.87,4,"2020-11-17",1355,,-73.5615393146163,45.5404165099829,299994.1293,5044502.02,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05068A_inspection_generale_web.pdf"
"81-05068C",6009818,"P.S. Rachel / CP, Est de Montgomery","Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1932,"rue Rachel Est ",,98.73,4,"2020-11-17",,124,-73.561393,45.5406895,300005.5789,5044532.349,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05068C_inspection_generale_web.pdf"
"81-05069",6017733,,"Actif Ville de Montréal","Pont à  poutres-caissons en béton armé","17-QS660","Tonnage réduit","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1951,"Rue Sainte-Catherine Est ","Canadien Pacifique rail 1",71.04,3,"2018-09-05",5432,,-73.543813,45.533811,301378.0531,5043767.034,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05069_inspection_generale_web.pdf"
"81-05070",6036162,,"Actif Ville de Montréal","Pont à  poutres en acier","17-QS660","Aucun affichage","Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1922,"Rue Sherbrooke Est ","Canadien Pacifique rail 1",72.61,3,"2020-12-02",2716,,-73.559246,45.5398655,300173.179,5044440.651,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05070_inspection_generale_web.pdf"
"81-05072",207708,,"Actif Ville de Montréal","Pont à  tablier supér., béton armé","18-CL625","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1929,"Route 335","Rivière des Prairies",100,4,"2021-10-13",10004,,-73.6753948913277,45.5572850819218,291106.7529,5046389.769,"Non disponible"
"81-05073A",6013340,"P.O. Ponts de la rue du Pont / Accès à  l'île-de-la-Visitatio","Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1993,"rue du Pont ","Rivières des prairies",50.49,3,"2018-07-05",43,,-73.662048,45.5749505,292152.7222,5048350.767,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05073A_inspection_generale_web.pdf"
"81-05073B",6017841,"P.O. Ponts de la rue du Pont / Accès à  l'île-de-la-Visitatio","Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1993,"rue du Pont ","Rivières des prairies",47,3,"2018-07-05",37,,-73.6619145,45.5749255,292163.1358,5048347.968,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05073B_inspection_generale_web.pdf"
"81-05073C",6017868,"P.O. Ponts de la rue du Pont / Accès à  l'île-de-la-Visitatio","Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1993,"rue du Pont","Rivières des prairies",50.26,3,"2018-07-05",32,,-73.661794,45.5749025,292172.5352,5048345.393,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05073C_inspection_generale_web.pdf"
"81-05073D",6017895,"P.O. Ponts de la rue du Pont / Accès à  l'île-de-la-Visitatio","Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1993,"rue du Pont ","Rivières des prairies",30.41,2,"2018-07-05",33,,-73.6615425,45.5748555,292192.1534,5048340.13,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05073D_inspection_generale_web.pdf"
"81-05073E",6017922,"P.O. Ponts de la rue du Pont / Accès à  l'île-de-la-Visitatio","Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1993,"rue du Pont ","Rivières des prairies",37.36,2,"2018-07-05",32,,-73.661326,45.574814,292209.0412,5048335.484,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05073E_inspection_generale_web.pdf"
"81-05074",6033507,,"Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1965,"Boulevard Henri-Bourassa Est Dir. Est","Accès au boul. Métropolitain Est, dir, Ouest",99.78,4,"2021-10-01",408,,-73.5206365,45.6595115,303191.8125,5057735.696,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05074_inspection_generale_web.pdf"
"81-05075",202004,,"Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1965,"boulevard Henri-Bourassa Est (direction Est) ","Autoroute 40 est",100,4,"2021-10-01",1618,,-73.5185657506361,45.6600854721948,303353.1993,5057799.444,"Non disponible"
"81-05076",202005,,"Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1965,"Boulevard Henri-Bourassa Est (direction ouest)","Autoroute 40 Est",100,4,"2021-10-01",1805,,-73.518278015676,45.6612608639072,303375.6518,5057930.064,"Non disponible"
"81-05082",6036165,,"Actif Ville de Montréal","Ponceau rectang. en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1961,"Rue Mill ","Décharge du canal Lachine",75,4,"2019-04-23",,,-73.5516697406477,45.4909119590174,300761.3473,5038999.999,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05082_inspection_generale_web.pdf"
"81-05083",202006,,"Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1965,"Virage en U, voie service A-40","Autoroute 40 Ouest",100,4,"2019-04-25",888,,-73.5193941400117,45.6715094037888,303288.9516,5059069.043,"Non disponible"
"81-05084A",6007862,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service","Actif Ville de Montréal","Mur",,,"Ville de Montréal - MTQ","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1957,"Boulevard Crémazie Ouest, dir Est, côté Sud ",,37.32,2,"2021-11-03",,329,-73.6459765036587,45.5343563350136,293398.8404,5043837.069,"Non disponible"
"81-05084B",6009820,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service","Actif Ville de Montréal","Mur",,,"Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1957,"Boulevard Crémazie Ouest, dir. Ouest ",,38.27,2,"2021-11-10",,311,-73.646722,45.534161,293340.5755,5043815.467,"Non disponible"
"81-05084C",202085,,"Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1960,"Avenue Querbes ","Autoroute 40 Ouest",75,4,"2021-10-14",488,,-73.6458595999673,45.5349580243335,293408.0924,5043903.919,"Non disponible"
"81-05084D",6009824,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service","Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspection annuelle par la Ville de Montréal",1960,"Canadien Pacifique rail 1","autoroute 40 ",,,,1237,,-73.6459318883159,45.5351479049773,293402.4849,5043925.031,"Non disponible"
"81-05084E",202090,,"Actif Ville de Montréal","Pont à  dalle évidée en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1960,"boulevard Crémazie Ouest ","Autoroute 40 Ouest",100,4,"2021-10-14",488,,-73.6455451728145,45.5352513330191,293432.7088,5043936.47,"Non disponible"
"81-05084F",6009835,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service","Actif Ville de Montréal","Mur",,,"Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",1957,"boulevard Crémazie Ouest ",,30,2,"2021-11-10",,281,-73.645598,45.535929,293428.7195,5044011.787,"Non disponible"
"81-05084G",6009838,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service","Actif Ville de Montréal","Mur",,,"Ville de Montréal - MTQ","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1957,"Boulevard Crémazie Ouest, dir. Est, côté Sud-Est",,37.57,2,"2021-11-03",,345,-73.6450057222195,45.535848009579,293474.9605,5044002.703,"Non disponible"
"81-05085",6033798,,"Actif Ville de Montréal","Pont à  poutres-caissons en acier","14-H25-S20","Tonnage réduit","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"Passerelle du Cosmos ","Chenal Le Moyne",97.65,4,"2020-10-30",2067,,-73.529320120875,45.5130371551466,302509.1541,5041457.902,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05085_inspection_generale_web.pdf"
"81-05086",6015662,,"Actif Ville de Montréal","Pont à  poutres-caissons en acier","98-Autre","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"Pont de la Concorde","Fleuve St-Laurent",70.69,3,"2016-11-11",19700,,-73.539160185313,45.5060860241553,301739.9515,5040685.746,"https://depot.ville.montreal.qc.ca/pontsettunnels/2016/81-05086_inspection_generale_web.pdf"
"81-05087",6036168,,"Actif Ville de Montréal","Pont à  poutres en acier","17-QS660","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"Avenue Pierre-Dupuy ","Chenal Le Moyne",72.44,3,"2017-07-10",6007,,-73.5308767372859,45.5081176690602,302387.3221,5040911.242,"https://depot.ville.montreal.qc.ca/pontsettunnels/2017/81-05087_inspection_generale_web.pdf"
"81-05088",6015669,,"Actif Ville de Montréal","Pont à  poutres-caissons en acier","99-Inconnu","Pont fermé","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"Pont reliant La Ronde et l'île Notre-Dame","Chenal Le Moyne",61.64,3,"2019-06-10",2482,,-73.5302795889444,45.5218827915037,302434.5594,5042440.952,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05088_inspection_generale_web.pdf"
"81-05094",6015744,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","13-H20-S16","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"chemin des Floralies ","Terrain vague",49.73,3,"2019-05-08",235,,-73.5287862975201,45.5047977200776,302550.5347,5040542.234,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05094_inspection_generale_web.pdf"
"81-05095",6050722,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","13-H20-S16","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"Chemin des Floralies","Canal Ouest",65.31,3,"2020-09-23",255,,-73.5282105,45.5051085,302595.5418,5040576.755,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05095_inspection_generale_web.pdf"
"81-05096",6034541,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","98-Autre","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"Passage piétons à l'Est du canal Ouest","Canal Nord",62.29,3,"2020-09-23",314,,-73.5287068413332,45.505640071042,302556.7772,5040635.842,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05096_inspection_generale_web.pdf"
"81-05097",6034562,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","98-Autre","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"Passage piétons à  l'Ouest de l'avenue Pierre-Dupuy","Canal Nord",54.81,3,"2020-09-23",435,,-73.5285948755684,45.5064489875689,302565.5585,5040725.735,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05097_inspection_generale_web.pdf"
"81-05098",6048971,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","98-Autre","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"Passage piétons à  l'Ouest de Pierre-Dupuy","Canal Sud",61.76,3,"2020-09-23",714,,-73.5270951073365,45.5062202476436,302682.7438,5040700.274,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05098_inspection_generale_web.pdf"
"81-05099",6017384,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","98-Autre","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"Passage piétons à l'Est du canal Ouest","Canal Sud",63.37,3,"2020-10-01",326,,-73.5271531020241,45.5055949265868,302678.1885,5040630.783,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05099_inspection_generale_web.pdf"
