No structure,IDE_STRCT,Groupe,Statut,Type structure,Charg. conception,Affichage,Responsablilté de gestion,Centre de services,Role VM Inspection,Année de construction,Nom route,Nom obstacle,ICG,Catégorie ICG,Date Insp. Générale Fermee,Superficie du tablier,Superficie du mur,Longitude,Latitude,X,Y
81-01202,202135,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1974,boulevard Roi-René,Autoroute 40 Ouest,100,4,2015/09/23 00:00:00,2225,,-73.5585193058141,45.6137735913469,300235.9215,5052654.158
81-01204,202114,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,14 - Arrondissement Saint-Léonard,Inspections annuelle et générale par la Ville Montréal,1964,rue du Champ-d'Eau,autoroute 40,100,4,2017/10/12 00:00:00,1766,,-73.5729381134944,45.5974827814502,299109.713,5050844.642
81-01206,202116,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,14 - Arrondissement Saint-Léonard,Inspections annuelle et générale par la Ville Montréal,1964,boulevard Lacordaire,Autoroute 40 Est,100,4,2018/10/03 00:00:00,1932,,-73.5889346930771,45.5823437475105,297859.87,5049163.467
81-01207,202117,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,14 - Arrondissement Saint-Léonard,Inspections annuelle et générale par la Ville Montréal,1964,Boulevard Viau,Autoroute 40 Ouest,100,4,2016/04/19 00:00:00,1928,,-73.5943406950718,45.5763166896196,297437.2182,5048494.151
81-02204,202265,,Actif Ville de Montréal,Portique en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,1963,Rue Jean-Milot,Route 138,100,4,2016/06/01 00:00:00,560,,-73.6500423665922,45.4312596996325,293059.892,5032380.516
81-02207,202262,,Actif Ville de Montréal,"Port. béton armé, ss remblai",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,1963,Avenue Lafleur,Raccordement R-138 / Rue Airlie,100,4,2018/08/06 00:00:00,791,,-73.6499687333823,45.4246968937205,293064.2936,5031651.187
81-03108,6034529,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien National,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1969,Chemin de fer Canadien National,Avenue Sainte-Croix,100,4,2016/05/30 00:00:00,795,,-73.6700313195876,45.5103539006988,291514.4462,5041173.355
81-03120C,6041613,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1977,"CN, Ouest de l'aut. 15",Boulevard Henri-Bourassa Ouest Dir. Est,100,4,2016/07/27 00:00:00,1125,,-73.6866810065598,45.5287648848228,290218.264,5043222.272
81-03124,6033743,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Ville Montréal - Canadien National,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1971,Chemin de fer de Canadien National,Boulevard Lebeau,100,4,2018/11/13 00:00:00,525,,-73.6666535869001,45.5281547885555,291782.4738,5043151.029
81-03218,202266,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",18-CL625,Aucun affichage,Ville de Montréal - MTQ,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1966,1re avenue,autoroute 20 Ouest,100,4,2018/08/06 00:00:00,562,,-73.6636914730483,45.4444450581248,291994.8965,5033847.877
81-03236,202232,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1977,rue Halpern,route Transcanadienne,100,4,2017/11/15 00:00:00,1901,,-73.7515691925307,45.4906075970818,285136.5376,5038995.662
81-03242,202554,,Actif Ville de Montréal,Pont à dalle pleine en béton précont.,14-H25-S20,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1975,Boulevard Henri-Bourassa Ouest Dir. Est,Autoroute 13 Nord,100,4,2016/05/27 00:00:00,1281,,-73.7497132759362,45.4987153589471,285284.4027,5039896.227
81-03249,202043,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,2002,Boulevard de l'Acadie Nord,Autoroute 40 Ouest,100,4,2016/09/20 00:00:00,175,,-73.648512018212,45.5314124993847,293200.2047,5043510.28
81-03251,202055,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,2003,Boulevard de l'Acadie Sud,Autoroute 40 Ouest,100,4,2016/09/22 00:00:00,189,,-73.6490152066981,45.5302267732385,293160.6577,5043378.582
81-03404,6061801,,Actif Ville de Montréal,Ponceau rectang. en béton armé,98-Autre,Aucun affichage,Ville Montréal - Canadien National,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1959,CN,Rue des Érables,100,4,2018/06/21 00:00:00,,,-73.6499831059643,45.4471462344668,293067.8217,5034145.965
81-05002,202349,,Actif Ville de Montréal,"Pont à pout. béton préc., coul. place",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,chemin de la Côte-Saint-Antoine,Autoroute 15 Sud,100,4,2017/09/28 00:00:00,1136,,-73.6145072384398,45.4749222363425,295847.2592,5037228.139
81-05003,202361,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,chemin de la Côte-Sainte-Catherine,Autoroute 15 Sud,100,4,2017/09/28 00:00:00,956,,-73.6374159099488,45.4873584809376,294058.5098,5038612.987
81-05005,202358,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,boulevard Édouard-Montpetit,Autoroute 15,100,4,2017/09/28 00:00:00,810,,-73.6343935,45.4859945,294294.5111,5038461.008
81-05006,202376,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,rue Ferrier,Autoroute 15 Nord,100,4,2018/10/09 00:00:00,1049,,-73.6579395,45.4974055,292456.4222,5039732.464
81-05007,202357,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",17-QS660,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Avenue Isabella,Autoroute 15 Sud,100,4,2015/09/28 00:00:00,682,,-73.6323775769444,45.4850929655419,294451.93,5038360.559
81-05008,202371,,Actif Ville de Montréal,Pont à poutres en acier,14-H25-S20,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Rue Jean-Talon Ouest,Autoroute 15 Nord,100,4,2015/09/28 00:00:00,1394,,-73.6531683738023,45.4943592322695,292828.6586,5039393.209
81-05009,202373,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,rue Des Jockeys,Autoroute 15 Nord,100,4,2018/09/18 00:00:00,616,,-73.6536265,45.4946965,292792.924,5039430.758
81-05001,202362,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Passerelle pour piétons,Autoroute 15,100,4,2018/09/18 00:00:00,148,,-73.6391455,45.488114,293923.457,5038697.181
81-05011,202274,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Boulevard De Maisonneuve Ouest,Autoroute 15 Nord,100,4,2018/10/09 00:00:00,1151,,-73.6074595421702,45.4717310996042,296397.8087,5036872.747
81-05004,202354,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Chemin de la Côte-Saint-Luc,Autoroute 15,100,4,2018/09/18 00:00:00,799,,-73.6226945053566,45.4807370349279,295208.125,5037875.282
81-05015,202364,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,avenue Plamondon,Autoroute 15,100,4,2017/09/28 00:00:00,669,,-73.6453798060285,45.4909186770291,293436.706,5039009.728
81-05016,202356,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,chemin Queen-Mary,Autoroute 15,100,4,2017/09/28 00:00:00,1327,,-73.629124134612,45.4836407712294,294705.9951,5038198.762
81-05019,202343,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,rue Sherbrooke Ouest,Autoroute 15,100,4,2015/10/01 00:00:00,1362,,-73.6107240824977,45.4732020520753,296142.7816,5037036.561
81-05020,202355,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Rue Snowdon,Autoroute 15 Sud,100,4,2015/10/01 00:00:00,616,,-73.6268457865497,45.4826142671939,294883.92,5038084.403
81-05021,202363,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,avenue Van Horne,Autoroute 15,100,4,2017/09/28 00:00:00,712,,-73.6422395349099,45.4895222075334,293681.8836,5038854.099
81-05022,202365,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,rue Vézina,Autoroute 15,100,4,2017/09/28 00:00:00,749,,-73.647894,45.491972,293240.405,5039127.143
81-05024,202525,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1972,Avenue de l'Hôtel-de-Ville,Autoroute 720 Ouest,100,4,2018/10/16 00:00:00,1257,,-73.5565835,45.5091685,300378.7032,5041029.115
81-05027,202527,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1972,Rue Saint-Urbain,Autoroute 720 Ouest,100,4,2017/10/16 00:00:00,1152,,-73.559293,45.506218,300166.7474,5040701.377
81-05030,202000,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1960,rue Sauvé Ouest Dir. Ouest,Autoroute 15 Nord,100,4,2016/05/26 00:00:00,1703,,-73.6673567584197,45.5314574089469,291728.3132,5043518.167
81-05031,202002,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1960,rue Dudemaine,Autoroute 15 Nord,100,4,2015/08/25 00:00:00,653,,-73.695865,45.532386,289501.88,5043626.399
81-05032,202001,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1960,boulevard Henri-Bourassa Ouest,Autoroute 15 Nord,100,4,2016/05/26 00:00:00,2291,,-73.6830466416507,45.5308473024237,290502.6735,5043453.039
