IDE_STRCT,No structure,Nom route,Nom obstacle,Groupe,Centre de services,Type structure,Année de construction,Superficie du tablier,Superficie du mur,Charg conception,Affichage sur place,Statut,Responsablilté de gestion,Role VM Inspection,ICG,Catégorie ICG,Date Insp Générale Fermee,X,Y,latitude,longitude
202116,81-01206,Boulevard Lacordaire,Autoroute 40,,14 - Arrondissement Saint-Léonard,Pont à dalle évidée en béton armé,1964,1932,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015-09-23,"297859,869999007","5049163,45714221","45,5823436499654","-73,5889346930771"
202117,81-01207,Boulevard Viau,Autoroute 40,,14 - Arrondissement Saint-Léonard,Pont à dalle évidée en béton armé,1964,1928,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016-04-19,"297437,218192734","5048494,14017844","45,5763165920745","-73,5943406950718"
202025,81-01208,Rue Larrey,Autoroute 25,,09 - Arrondissement Anjou,"Pont à pout. béton précont., préfabr.",1999,1035,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,97",4,2015-09-23,"297924,18692558","5052601,37691662","45,6132796178137","-73,5881589308785"
6035822,81-01301,Boul. des Galeries d'Anjou,La coulée verte du ruisseau De Montigny,,09 - Arrondissement Anjou,Ponceau voûté en béton armé,2001,,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"297459,15944734","5052126,92054719","45,6090055854528","-73,5941141790717"
6035831,81-01351,Rue Pascal-Gagnon,Ruisseau De Montigny,,09 - Arrondissement Anjou,Ponceau rectang. en béton armé,1997,,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"297049,083552666","5052557,73300835","45,6128776897873","-73,5993784473739"
6006460,81-01502,avenue des Halles,,,09 - Arrondissement Anjou,Mur,1991,,75,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2015-08-05,"299396,331070772","5050819,26312043","45,5972566976571","-73,5692639647644"
6006620,81-01503,avenue des Halles,,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Mur,1983,,147,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2015-08-05,"299424,769044513","5050788,72143613","45,5969820956124","-73,5688991121396"
6011741,81-01506,Voie de desserte autoroute 40 direction Est,,,09 - Arrondissement Anjou,Mur,1999,,3767,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,99",4,2015-10-14,"300286,061539055","5052714,22929789","45,6143144472493","-73,5578769814759"
6011743,81-01508,Voie de desserte autoroute 40 direction Est,,,09 - Arrondissement Anjou,Mur,1999,,3646,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,99",4,2015-10-14,"299801,769169503","5051905,02926774","45,6070297449392","-73,5640782034046"
6064781,81-01509,"Côté Ouest de la rue Curatteau, de Lecourt à de Lavaltrie.",,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Mur,1999,,647,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"303981,848733303","5049593,12499477","45,5862440677303","-73,5104849722039"
6064782,81-01510,"Côté Est de la rue De Boucherville, Au Sud de Pl. Curatteau",,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Mur,1999,,632,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"301750,496048966","5050467,12424988","45,5941023632022","-73,5390862028922"
