IDE_STRCT,No structure,Nom route,Nom obstacle,Groupe,Centre de services,Type structure,Année de construction,Superficie du tablier,Superficie du mur,Charg conception,Affichage sur place,Statut,Responsablilté de gestion,Role VM Inspection,ICG,Catégorie ICG,Date Insp Générale Fermee,X,Y,latitude,longitude
202527,81-05027,Rue St-Urbain,Autoroute 720,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1972,1152,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"300164,523861939","5040702,66443996","45,5062295642064","-73,559321467817"
6080101,81-05029A,Rue Berri,,,20 - Arrondissement Ville-Marie,Mur,1895,,180,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"300803,718891364","5041252,90771764","45,5111848381105","-73,5511460001387"
6036123,81-05029B,Rue Notre-Dame Est,Rue Berri,,20 - Arrondissement Ville-Marie,Ponceau voûté en béton armé,1895,,,99-Inconnu,Charges légales,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"300757,508019958","5041280,77507447","45,5114353337754","-73,5517376548209"
6080102,81-05029C,Rue Berri,,,20 - Arrondissement Ville-Marie,Mur,1895,,110,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"300717,708574984","5041288,07389717","45,5115007797585","-73,5522470868133"
202000,81-05030,Boulevard de la Côte-Vertu,Autoroute 15,,24 - Arrondissement Ahuntsic-Cartierville,Pont à poutres en acier,1960,1703,,18-CL625,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016-05-26,"291728,313258278","5043518,15630782","45,5314573114017","-73,6673567584197"
202002,81-05031,Rue Dudemaine,Autoroute 15,,24 - Arrondissement Ahuntsic-Cartierville,Pont à poutres en acier,1960,653,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015-08-25,"289500,570499266","5043626,80868293","45,5323896554087","-73,6958817792122"
202001,81-05032,Boulevard Henri-Bourassa Ouest,Autoroute 15,,15 - Arrondissement Saint-Laurent,Pont à poutres en acier,1960,2291,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016-05-26,"290502,673496938","5043453,02878521","45,5308472048785","-73,6830466416507"
6006705,81-05033A,boulevard Armand-Bombardier,,P.S. Armand-Bombardier / CN,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Mur,1985,,118,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"95,25",4,2015-11-26,"298302,614261307","5054060,77290371","45,626415248458","-73,5833263414182"
6006860,81-05033B,boulevard Armand-Bombardier,CN,P.S. Armand-Bombardier / CN,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Pont à poutres en béton armé,1985,7206,,16-MS250,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"73,29",3,2015-12-09,"298244,05692995","5054138,89403648","45,627117649758","-73,5840783655638"
6006744,81-05033C,boulevard Armand-Bombardier,,P.S. Armand-Bombardier / CN,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Mur,1985,,197,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"94,32",4,2015-11-11,"298061,20591293","5054310,37140113","45,6286588913188","-73,5864257536612"
6006746,81-05033D,boulevard Armand-Bombardier,,P.S. Armand-Bombardier / CN,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Mur,1985,,197,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"95,33",4,2015-11-26,"298081,523633935","5054326,99664465","45,6288086857696","-73,5861654062299"
6006747,81-05033E,boulevard Armand-Bombardier,,P.S. Armand-Bombardier / CN,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Mur,1985,,118,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"90,83",4,2015-11-26,"298323,00682364","5054081,39805149","45,6266010286408","-73,5830650894466"
202134,81-05044,Route 138,Autoroute 25,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Pont à poutres en acier,1966,2726,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,99",4,2015-09-23,"301915,750570935","5050371,00351969","45,5932381465381","-73,5369675297567"
201967,81-05045,Avenue Souligny Est,Autoroute 25,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Pont à dalle évidée en béton armé,1966,2461,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015-09-30,"302953,342528498","5049957,47052895","45,5895205862803","-73,5236671133725"
201968,81-05046,Avenue Souligny Ouest,Autoroute 25,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Pont à dalle évidée en béton armé,1966,2447,,99-Inconnu,Charges légales,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016-04-21,"302871,869367311","5049987,00328357","45,5897861095452","-73,5247114054188"
6030317,81-05050,Rue Crawford,Canal de l'Aqueduc,,12 - Arrondissement Verdun,"Pont à béquilles, béton armé",1920,286,,18-CL625,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"97,41",4,2016-07-11,"297271,49809499","5033410,30154316","45,4405842700507","-73,596232529543"
6036497,81-05051,Pont Claude-Brunet,Canal de l'Aqueduc,,12 - Arrondissement Verdun,Pont à poutres-caissons en acier,1922,374,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,95",4,2016-07-12,"297497,116842875","5033761,20773402","45,4437442977874","-73,5933537856142"
6013352,81-05052,rue de l'Église,Canal de l'Aqueduc,,12 - Arrondissement Verdun,"Pont à pout. béton précont., préfabr.",1979,763,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"69,49",3,2016-06-28,"298499,168073808","5035944,22212393","45,4633979024209","-73,5805724046268"
6036159,81-05053,Pont Jolicoeur,Canal de l'Aqueduc,,21 - Arrondissement Le Sud-Ouest,"Pont à tablier infér., béton armé",1932,879,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"298504,935106276","5035234,8852766","45,4570149944987","-73,5804895758449"
6030320,81-05055,Rue Stephens,Canal de l'Aqueduc,,12 - Arrondissement Verdun,"Pont à pout. béton précont., préfabr.",1926,952,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"297722,474576681","5034098,113791","45,4467782685066","-73,5904778557666"
6030323,81-05056,Rue Woodland,Canal de l'Aqueduc,,21 - Arrondissement Le Sud-Ouest,Pont à poutres en béton armé,1938,922,,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"298289,878262855","5034806,75899293","45,4531605308936","-73,5832336521616"
6013355,81-05057,rue Galt,Canal de l'Aqueduc,,12 - Arrondissement Verdun,Pont à poutres en acier,1974,791,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"98,7",4,2016-06-21,"298507,282711192","5035843,03800972","45,4624874718519","-73,5804673428598"
6013362,81-05063,Accès à  l'île Haynes,Coulée Grou,,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Pont à poutres en béton armé,1945,117,,4-12 Tonnes,Aucun affichage,Actif Ville de Montréal,Autre,Inspections annuelle et générale par la Ville Montréal,"99,97",4,2016-08-15,"304595,687999825","5062076,48930724","45,6985724494238","-73,5026235868042"
6013201,81-05066,rue Jean-Talon Ouest,Canadien National,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Pont à poutres en acier,1959,363,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"294437,536718261","5041499,86982961","45,5133415624819","-73,632628006924"
6017701,81-05067,rue Notre-Dame Est,rue Saint-Hubert,,20 - Arrondissement Ville-Marie,"Pont à tablier supérieur, en acier",1997,6456,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,87",4,2015-10-21,"300834,428571316","5041489,40476031","45,5133131112746","-73,5507548783582"
6011242,81-05068A,rue Rachel Est,Canadien Pacifique,"P.S. Rachel / CP, Est de Montgomery",25 - Arrondissement Rosemont-La Petite-Patrie,Pont à poutres en acier,1932,1355,,16-MS250,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"300001,501368907","5044451,90680972","45,5399656193487","-73,5614444247432"
6009818,81-05068C,rue Rachel Est,,"P.S. Rachel / CP, Est de Montgomery",25 - Arrondissement Rosemont-La Petite-Patrie,Mur,1932,,124,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016-10-04,"300007,164596187","5044540,82943598","45,5407658166712","-73,5613727781056"
6017733,81-05069,Rue Ste-Catherine Est,Canadien pacifique,,20 - Arrondissement Ville-Marie,Pont à poutres-caissons en béton armé,1951,5432,,17-QS660,Tonnage réduit,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"73,14",3,2015-11-02,"301376,067615324","5043763,00714921","45,5337747538555","-73,543838393461"
6036162,81-05070,Rue Sherbrooke Est,"CP, à l'Est de Wurtele",,25 - Arrondissement Rosemont-La Petite-Patrie,Pont à poutres en acier,1922,2670,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"300175,440143669","5044445,65498982","45,5399105394732","-73,5592170935948"
202468,81-05071B,Boulevard Angrignon,Autoroute 20,,21 - Arrondissement Le Sud-Ouest,"Pont à pout. béton précont., préfabr.",1966,2311,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016-08-16,"294921,749856737","5034805,59299462","45,4531105434509","-73,6262959662775"
6018002,81-05071C,Rue Notre-Dame Ouest,Virage en U et accès au boul. Angrignon,"P.S. Notre-Dame, Angrignon / Aut. 20, CN, CP et canal Lachin",21 - Arrondissement Le Sud-Ouest,Pont à dalle évidée en béton armé,1966,6321,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"73,02",3,2016-08-09,"294976,81596418","5034754,54870316","45,4526519982585","-73,6255909141623"
6017244,81-05071E,rue Notre-Dame Ouest,,"P.S. Notre-Dame, Angrignon / Aut. 20, CN, CP et canal Lachin",21 - Arrondissement Le Sud-Ouest,Mur,1966,,101,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"295124,109125092","5034874,84094746","45,4537365015774","-73,6237101195333"
6013340,81-05073A,rue du Pont,Rivières des prairies,P.O. Ponts de la rue du Pont / Accès à l'Île-de-la-Visitatio,24 - Arrondissement Ahuntsic-Cartierville,Pont à poutres en acier,1993,42,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"292152,768749947","5048350,88278162","45,5749515380866","-73,6620474067937"
6017841,81-05073B,rue du Pont,Rivières des prairies,P.O. Ponts de la rue du Pont / Accès à l'Île-de-la-Visitatio,24 - Arrondissement Ahuntsic-Cartierville,Pont à poutres en acier,1993,37,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"292162,712580561","5048347,69579816","45,5749230413757","-73,6619199158228"
6017868,81-05073C,rue du Pont,Rivières des prairies,P.O. Ponts de la rue du Pont / Accès à l'Île-de-la-Visitatio,24 - Arrondissement Ahuntsic-Cartierville,Pont à poutres en acier,1993,36,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"292172,675111294","5048345,50880802","45,5749035430821","-73,6617922112185"
6017895,81-05073D,rue du Pont,Rivières des prairies,P.O. Ponts de la rue du Pont / Accès à l'Île-de-la-Visitatio,24 - Arrondissement Ahuntsic-Cartierville,Pont à poutres en acier,1993,35,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"292191,562778135","5048339,15354232","45,5748466991072","-73,6615500430907"
6017922,81-05073E,rue du Pont,Rivières des prairies,P.O. Ponts de la rue du Pont / Accès à l'Île-de-la-Visitatio,24 - Arrondissement Ahuntsic-Cartierville,Pont à poutres en acier,1993,36,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"292209,487851715","5048334,81696369","45,5748080019151","-73,6613202609628"
6033507,81-05074,"Boul. Henri-Bourassa Est, dir. Est","Accès au boul. Métropolitain Est, dir. Ouest",,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Pont à poutres en acier,1965,557,,18-CL625,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"303190,969575452","5057736,45108602","45,6595182910352","-73,520647319873"
202004,81-05075,Boulevard Henri-Bourassa Est (direction ouest),Autoroute 40,,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Pont à poutres en acier,1965,1618,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"303353,199337561","5057799,43340459","45,6600853746496","-73,5185657506361"
202005,81-05076,Boulevard Henri-Bourassa Est (direction est),Autoroute 40,,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Pont à poutres en acier,1965,1805,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,"303375,651888301","5057930,05373014","45,661260766362","-73,518278015676"
6036165,81-05082,Rue Mill,Décharge du canal Lachine,,20 - Arrondissement Ville-Marie,Ponceau rectang. en béton armé,1961,,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,75,4,2016-10-26,"300763,998254388","5039003,93177503","45,4909473573972","-73,5516358584718"
202006,81-05083,Virage en U voie service A-40,Autoroute 40,,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Pont à dalle évidée en béton armé,1965,937,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016-04-19,"303288,951600589","5059069,03218904","45,6715093062436","-73,5193941400117"
6007862,81-05084A,boulevard Crémazie Ouest,,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Mur,1957,,329,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"76,42",4,2015-11-09,"293398,840433386","5043837,05845725","45,5343562374684","-73,6459765036587"
6009820,81-05084B,boulevard Crémazie Ouest,,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",24 - Arrondissement Ahuntsic-Cartierville,Mur,1957,,311,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"78,79",4,2015-10-27,"293350,859615286","5043838,95544189","45,5343725205144","-73,6465908757855"
202085,81-05084C,Rue Querbes,Autoroute 40 Direction Est,,24 - Arrondissement Ahuntsic-Cartierville,Pont à dalle évidée en béton armé,1960,488,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015-10-27,"293408,092412008","5043903,90826154","45,5349579267883","-73,6458595999673"
6009824,81-05084D,Canadien Pacifique,autoroute 40,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",24 - Arrondissement Ahuntsic-Cartierville,Pont à dalle évidée en béton armé,1960,1237,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Autre,Inspections annuelle et générale par la Ville Montréal,"99,44",4,2015-10-27,"293402,484914262","5043925,02016903","45,5351478074322","-73,6459318883159"
202090,81-05084E,Rue du Parc,Aut. 40 Direction Est,,24 - Arrondissement Ahuntsic-Cartierville,Pont à dalle évidée en béton armé,1960,489,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015-10-27,"293432,708853427","5043936,45941407","45,535251235474","-73,6455451728145"
6009835,81-05084F,boulevard Crémazie Ouest,,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",24 - Arrondissement Ahuntsic-Cartierville,Mur,1957,,281,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,75,4,2015-10-27,"293427,110510621","5044011,58944394","45,535927190402","-73,6456185978013"
6009838,81-05084G,boulevard Crémazie Ouest,,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Mur,1957,,345,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"82,88",4,2015-11-09,"293474,960502487","5044002,69250981","45,5358479120339","-73,6450057222195"
6033798,81-05085,Passerelle Du Cosmos,Fleuve Saint-Laurent,,20 - Arrondissement Ville-Marie,Pont à poutres-caissons en acier,1965,2060,,14-H25-S20,Tonnage réduit,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"302520,314841361","5041454,90945032","45,5130102574993","-73,5291772634145"
6015662,81-05086,Pont de la Concorde,Fleuve St-Laurent,,20 - Arrondissement Ville-Marie,Pont à poutres-caissons en acier,1965,19700,,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"301787,162743099","5040709,36697142","45,5062987726798","-73,5385561572888"
6036168,81-05087,Pont des Îles,Chenal Le Moyne,,20 - Arrondissement Ville-Marie,Pont à poutres en acier,1965,6008,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"302384,120307121","5040911,28299613","45,508118021416","-73,5309177131022"
6015669,81-05088,Pont reliant La Ronde et l'Île Notre-Dame,Fleuve Saint- Laurent,,20 - Arrondissement Ville-Marie,Pont à poutres-caissons en acier,1965,2482,,99-Inconnu,Pont fermé,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"62,72",3,2016-11-11,"302444,607871241","5042435,62978091","45,5218349258571","-73,5301509352597"
6015685,81-05092,voie Non-nommée,Canal Nord,,20 - Arrondissement Ville-Marie,Pont à poutres en béton armé,1965,430,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"67,07",3,2016-11-15,"302656,7521918","5040405,0341012","45,5035634698659","-73,5274264391605"
6015744,81-05094,chemin des Floralies,Terrain vague,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,254,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"53,81",3,2016-11-23,"302551,296339363","5040543,04627367","45,5048050303915","-73,5287765556532"
6050722,81-05095,Chemin des Floralies,Canal Ouest,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,274,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"302593,91116536","5040575,26058674","45,505095044586","-73,5282313606755"
6034541,81-05096,Passage piétons À l'Est du canal Ouest,Canal Nord,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,314,,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"61,01",3,2016-12-07,"302557,033247198","5040635,96814459","45,5056411994114","-73,5287035656523"
6034562,81-05097,Passage piétons  à  l'Ouest de l'avenue Pierre-Dupuy,Canal Nord,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,435,,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"52,91",3,2016-12-07,"302562,732823053","5040726,89008643","45,5064593719333","-73,5286310421229"
6048971,81-05098,P.A.  À l'Ouest de l'ave Pierre-Dupuy / Canal Sud,Canal Sud,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,714,,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"302686,298639406","5040701,57481854","45,5062319598148","-73,5270496209098"
6017384,81-05099,Passage piétons À l'Est du canal Ouest,Canal Sud,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,326,,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"63,61",3,2016-12-09,"302675,991497224","5040631,74552021","45,5056035748219","-73,52718122184"
6015747,81-05100,chemin des Floralies,Canal Ouest,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,6,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"302702,776385206","5040566,2249488","45,5050140738768","-73,5268381719147"
6034625,81-05101,"Chemin des Floralies, à l'Est de l'ave Pierre-Dupuy",Canal Nord,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,317,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"54,35",3,2016-10-18,"302610,352880397","5040966,12168296","45,5086122299288","-73,528022700827"
6017387,81-05102,chemin des Floralies,Canal Nord,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,490,,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"58,15",3,2016-10-18,"302659,649439896","5041149,2120057","45,5102599064122","-73,5273926117479"
6033802,81-05103,À l'extrémité Est du canal Sud,Canal Sud,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,381,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"302753,663434815","5041255,48945073","45,5112165173864","-73,5261898464976"
6057306,81-05104,À l'Est du ch. des Floralies,Canal Sud,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,728,,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"302770,505821429","5041086,12216786","45,5096925290636","-73,5259735898209"
6056224,81-05105,"Ch. des Floralies, à l'Est de l'ave Pierre-Dupuy",Canal Sud,,20 - Arrondissement Ville-Marie,"Pont à pout. béton précont., préfabr.",1965,316,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,82",4,2016-10-18,"302733,948033755","5040949,76237408","45,508465399062","-73,5264408840547"
6015780,81-05106B,rue Wellington,Canal Lachine,P.O. Wellington / Canal Lachine,21 - Arrondissement Le Sud-Ouest,Pont à poutres-caissons en acier,1995,1883,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,99",4,2015-11-23,"300315,443521863","5038928,28135263","45,4902638829502","-73,5573738906973"
6015786,81-05106C,rue Wellington,,P.O. Wellington / Canal Lachine,21 - Arrondissement Le Sud-Ouest,Mur,1995,,212,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"300271,312248966","5039029,13730519","45,4911711447323","-73,5579394214168"
6013205,81-05110A,avenue Pierre-Dupuy,circuit Gilles-Villeneuve,,20 - Arrondissement Ville-Marie,Pont à dalle pleine en béton armé,1965,149,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"302495,320934855","5040876,82267132","45,5078083092087","-73,5294944386372"
6013455,81-05110B,avenue Pierre-Dupuy,circuit Gilles-Villeneuve,,20 - Arrondissement Ville-Marie,Pont à dalle pleine en béton armé,1965,170,,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"302498,915650313","5040897,83047706","45,5079973581659","-73,5294485333631"
6013214,81-05111,Chemin Macdonald,chemin Macdonald Nord,,20 - Arrondissement Ville-Marie,Pont à poutres-caissons en acier,1965,833,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"94,58",4,2015-10-16,"302252,125067319","5040913,74861618","45,5081397384066","-73,5326069616464"
6048977,81-05112,Avenue Pierre-Dupuy,"Ch. Macdonald, direction Ouest",,20 - Arrondissement Ville-Marie,Pont à poutres en acier,1965,7173,,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"70,78",3,2015-09-30,"302159,792311282","5040899,79003002","45,5080137897669","-73,5337885340259"
6041688,81-05123A,"Boul. Angrignon, côté Ouest",,,18 - Arrondissement LaSalle,Mur,1990,,150,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"295052,642417876","5034583,07703569","45,4511100739772","-73,6246180655139"
6036510,81-05123B,boulevard Angrignon,Rue Saint-Patrick,,18 - Arrondissement LaSalle,"Pont à pout. béton précont., préfabr.",1990,4915,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"295012,677083863","5034692,85915274","45,4520973887042","-73,6251311977781"
6057309,81-05123C,"Boul. Angrignon, côté Est",,,18 - Arrondissement LaSalle,Mur,1990,,135,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"295101,865603332","5034594,16247825","45,4512105110576","-73,6239889767425"
6017100,81-05125A,Chemin de fer CP,chemin Upper-Lachine dir. Est,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Pont à dalle évidée en béton armé,1966,273,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien Pacifique,Inspections annuelle et générale par la Ville Montréal,"99,1",4,2016-07-05,"296514,814558404","5036924,57061406","45,4721988223515","-73,6059639768533"
6015806,81-05125B,Chemin de fer CP,chemin Upper-Lachine dir. Est,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Pont à dalle évidée en béton armé,1966,770,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien Pacifique,Inspections annuelle et générale par la Ville Montréal,"98,53",4,2016-07-05,"296515,075903062","5036938,57034353","45,4723248015074","-73,6059608704388"
