NO,SRCGNR_NO,TYPPLL_CODE,DOM_INTERV,DTHR_ENREGISTRE,PROVENANCE,CDSREGPST_CODE_LIEU_PLN
19910413,24,ND AIR,A,1991-06-06,T,
19910414,24,ND AIR,A,1991-06-06,T,H8N
19910415,24,ND AIR,A,1991-06-06,T,
19910416,24,ND AIR,A,1991-06-07,T,
19910417,24,ND AIR,A,1991-06-07,T,H2S
19910418,24,ND AIR,A,1991-06-07,T,
19910419,24,ND AIR,A,1991-06-07,T,
19910420,24,ND AIR,A,1991-06-07,T,
19910421,24,ND AIR,A,1991-06-07,T,
19910422,24,ND AIR,A,1991-06-07,T,
19910423,24,ND AIR,A,1991-06-10,T,H3L
19910424,24,ND AIR,A,1991-06-10,T,
19910425,24,ND AIR,A,1991-06-10,T,H1A
19910426,24,ND AIR,A,1991-06-10,T,H2X
19910427,24,ND AIR,A,1991-06-10,T,H1A
19910428,24,ND AIR,A,1991-06-10,T,H1A
19910429,24,ND AIR,A,1991-06-10,T,
19910430,24,ND AIR,A,1991-06-10,T,
19910431,24,ND AIR,A,1991-06-10,T,
19910432,24,ND AIR,A,1991-06-10,T,H3A
19910433,24,ND AIR,A,1991-06-10,T,
19910434,24,ND AIR,A,1991-06-10,T,H4B
19910435,24,ND AIR,A,1991-06-10,T,
19910436,24,ND AIR,A,1991-06-10,T,
19910437,24,ND AIR,A,1991-06-11,T,
19910438,24,ND AIR,A,1991-06-11,T,H8R
19910439,24,ND AIR,A,1991-06-11,T,H3H
19910440,24,ND AIR,A,1991-06-11,T,
19910272,24,ND AIR,A,1991-05-02,T,
19910279,7,PART,A,1991-05-06,T,H4A
19910280,24,ND AIR,A,1991-05-07,T,H4E
19910281,24,ND AIR,A,1991-05-07,T,H1S
19910282,24,ND AIR,A,1991-05-07,T,H1M
19910283,24,ND AIR,A,1991-05-07,T,H1M
19910284,24,ND AIR,A,1991-05-07,T,H1M
19910285,24,ND AIR,A,1991-05-07,T,H1M
19910286,24,ND AIR,A,1991-05-08,T,
19910287,24,ND AIR,A,1991-05-06,T,
19910288,24,ND AIR,A,1991-05-09,T,
19910289,24,ND AIR,A,1991-05-09,T,H2X
19910290,24,ND AIR,A,1991-05-09,T,H2X
19910292,24,ND AIR,A,1991-05-13,T,H1T
19910293,24,ND AIR,A,1991-05-13,T,
19910294,24,ND AIR,A,1991-05-13,T,H4E
19910295,24,ND AIR,A,1991-05-14,T,H2S
19910296,24,ND AIR,A,1991-05-09,T,
19910297,24,ND AIR,A,1991-05-14,T,
19910298,24,ND AIR,A,1991-05-14,T,H2M
19910299,24,ND AIR,A,1991-05-14,T,
19910300,24,ND AIR,A,1991-05-15,T,H2R
19910301,24,ND AIR,A,1991-05-15,T,
19910302,24,ND AIR,A,1991-05-15,T,H3C
19910303,24,ND AIR,A,1991-05-15,T,
19910304,24,ND AIR,A,1991-05-15,T,
19910305,24,ND AIR,A,1991-05-15,T,
19910306,24,ND AIR,A,1991-05-15,T,
19910307,24,ND AIR,A,1991-05-15,T,H1P
19910308,24,ND AIR,A,1991-05-16,T,
19910309,24,ND AIR,A,1991-05-16,T,
19910310,24,ND AIR,A,1991-05-16,T,
19910311,24,ND AIR,A,1991-05-16,T,H3G
19910312,24,ND AIR,A,1991-05-16,T,
19910313,24,ND AIR,A,1991-05-16,T,H4C
19910314,24,ND AIR,A,1991-05-16,T,H1C
19910315,24,ND AIR,A,1991-05-16,T,
19910316,24,ND AIR,A,1991-05-17,T,H8S
19910317,24,ND AIR,A,1991-05-17,T,
19910318,24,ND AIR,A,1991-05-21,T,H2X
19910319,24,ND AIR,A,1991-05-21,T,H1L
19910320,24,ND AIR,A,1991-05-21,T,
19910321,24,ND AIR,A,1991-05-21,T,
19910322,24,ND AIR,A,1991-05-20,T,H2G
19910323,24,ND AIR,A,1991-05-22,T,
19910324,24,ND AIR,A,1991-05-22,T,
19910325,24,ND AIR,A,1991-05-22,T,
19910326,24,ND AIR,A,1991-05-18,T,H2Z
19910327,24,ND AIR,A,1991-05-18,T,
