ï»¿Type;Sous-type;Region;No_Region;Nom_du_lieu;Adresse
Lieu de valorisation de sols contamines avec acte statutaire;;Capitale-Nationale ;03;Carriere St-Placide sud;"Lot de cadastre 4822706
Baie Saint-Paul (Quebec)"
Lieu de valorisation de sols contamines avec acte statutaire;;Capitale-Nationale ;03;Englobe - Carriere Charlesbourg;"201, boulevard Louis-XIV
Quebec (Quebec)  G2K1W6 "
Lieu de valorisation de sols contamines avec acte statutaire;;Estrie ;05;Englobe - LVMA Mine Jeffrey - Lieu de Valorisation de Materiaux Amiantes;"111, boulevard Saint Luc
Val-des-Sources (Quebec)  J1T3M9 "
Lieu de valorisation de sols contamines avec acte statutaire;;Estrie ;05;Englobe - Mine Jeffrey - Valorisation sols AB et BC nickel;"111, boulevard Saint Luc
Val-des-Sources (Quebec)  J1T2V1 "
Lieu de valorisation de sols contamines avec acte statutaire;;Montreal ;06;CEME Valo;"10000, boulevard Metropolitain Est
Montreal-Est (Quebec)  H1B4W3 "
Lieu de valorisation de sols contamines avec acte statutaire;;Montreal ;06;Carriere Lafarge Montreal-Est;"9990, boulevard Metropolitain Est
Montreal-Est (Quebec)  H4T1K2 "
Lieu de valorisation de sols contamines avec acte statutaire;;Montreal ;06;Complexe environnemental de Saint-Michel;"2235, rue Michel-Jurdant
Montreal (Quebec)  H1Z4N1 "
Lieu de valorisation de sols contamines avec acte statutaire;;Outaouais ;07;Bioparc;"99, chemin Industriel Nord
Litchfield (Quebec)  J0X1K0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Outaouais ;07;Carriere Lirette;"284, chemin Tour du Lac
Lac Simon (Quebec)  J0V1E0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Outaouais ;07;Uteau;"211, Quebec 301
Portage-du-Fort (Quebec)  J0X2T0 "
Lieu de valorisation de sols contamines avec acte statutaire;;Cote-Nord ;09;Carriere de Manic II;"Coordonnees geographiques 49.297293  -68.371991
TNO de Riviere-aux-Outardes"
Lieu de valorisation de sols contamines avec acte statutaire;;Cote-Nord ;09;Englobe - Carriere Lac Daigle;"bloc 66 lot 4843785 (cp 667)
Lac-Walker (Quebec)  G4R4K9 "
