TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0002",22622,"Aucune influence","Mod̩r̩e",3.7,12.4,14.1,18.1,25.5,19.1,44.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0003",11584,"Aucune influence","Mod̩r̩e",3.1,11.5,11.9,15.7,20.7,17.4,40.5,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0004",275,"Aucune influence","Mod̩r̩e",2.5,7.4,8.3,10.4,14.9,13.2,35.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0011",11123,"Aucune influence","Mod̩r̩e",3.2,12,12,15.8,20.7,17.6,40.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0012",8080,"Aucune influence","Mod̩r̩e",3.3,12.5,12.5,16.7,22.1,18.3,41.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0013",7376,"Aucune influence","Mod̩r̩e",3.3,12.9,13.1,17,22.7,18.8,43.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0014",1087,"Aucune influence","Mod̩r̩e",3.2,14.2,14.4,19.6,26.1,21.7,49.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0016",1042,"Aucune influence","Mod̩r̩e",3.3,14.3,14.8,20.2,26.6,22,50.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0020",1007,"Aucune influence","Mod̩r̩e",3.3,14.5,14.9,20.3,26.7,22.1,50.5,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0028",865,"Aucune influence","Mod̩r̩e",3.4,14.8,15.1,21.2,27.2,22.8,51.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0029",719,"Aucune influence","Mod̩r̩e",3.4,14.9,15.1,21.6,27.3,22.8,50.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0030",696,"Aucune influence","Mod̩r̩e",3.5,15,15.2,21.5,27,22.9,49.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0031",598,"Aucune influence","Mod̩r̩e",3.4,14.3,14.5,20.1,26.5,21.8,46.9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0032",562,"Aucune influence","Mod̩r̩e",3.5,14.4,14.5,20.5,26.5,21.6,44.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0033",420,"Aucune influence","Limit̩e",3.4,13.8,14.4,20.2,25.9,21.1,41.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0041",6048,"Aucune influence","Mod̩r̩e",3.4,12.6,12.8,16.5,22.2,18.3,42,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0042",5066,"Aucune influence","Mod̩r̩e",3.5,13,13.4,17.5,23.1,18.8,44,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0043",263,"Aucune influence","Limit̩e",3.5,13.4,14.5,19.8,24.9,20.1,35.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0046",4749,"Aucune influence","Mod̩r̩e",3.5,12.8,13.2,17.2,23,18.7,44.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0054",4523,"Aucune influence","Mod̩r̩e",3.4,12.6,12.6,16.9,22.5,18.4,43.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0055",2122,"Aucune influence","Mod̩r̩e",3.6,13.9,13.9,18.9,23.8,19.2,40.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0056",767,"Aucune influence","Mod̩r̩e",3.6,14.9,15.2,21,27.4,23.4,49,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0057",376,"Aucune influence","Mod̩r̩e",3.7,16.2,16.4,22.9,29.1,24.8,51.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0058",366,"Aucune influence","Mod̩r̩e",3.7,16.4,16.5,23.1,29.1,24.9,52.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0064",291,"Aucune influence","Limit̩e",3.6,15.8,16.6,22.3,28.6,24.7,52.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0077",1100,"Aucune influence","Mod̩r̩e",3.7,12.1,13,17.2,21.7,16.9,37.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0081",894,"Aucune influence","Mod̩r̩e",3.7,11.4,12.5,16.5,21,16.1,32.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
