TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0002",22622,"Aucune influence","Mod̩r̩e",3.5,11,11.6,14.6,20.5,16.4,37.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0003",11584,"Aucune influence","Mod̩r̩e",3,9.8,9.9,12.7,17.6,14.7,41.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0004",275,"Aucune influence","Mod̩r̩e",2.5,7,7.2,9.2,15.5,13.8,39.9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0011",11123,"Aucune influence","Mod̩r̩e",3,9.7,10,12.6,17.8,14.6,41.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0012",8080,"Aucune influence","Mod̩r̩e",3.1,10.1,10.5,13.4,17.9,15.1,41.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0013",7376,"Aucune influence","Mod̩r̩e",3.2,10.5,10.8,13.8,18.2,15.3,40.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0014",1087,"Aucune influence","Mod̩r̩e",3.1,10.3,11.5,14.5,19.8,15.3,39.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0016",1042,"Aucune influence","Mod̩r̩e",3.1,10.4,11.6,14.7,19.9,15.3,38.9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0020",1007,"Aucune influence","Mod̩r̩e",3.2,10.4,11.7,14.6,19.9,15.4,38.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0028",865,"Aucune influence","Mod̩r̩e",3.2,10.7,11.8,14.5,19.7,15.6,34.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0029",719,"Aucune influence","Mod̩r̩e",3.3,10.4,11.4,14.4,19.5,14.6,31.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0030",696,"Aucune influence","Mod̩r̩e",3.3,10.4,11.2,14.3,19,14.2,30.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0031",598,"Aucune influence","Mod̩r̩e",3.3,10.1,10.5,13.9,17.9,14,26.5,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0032",562,"Aucune influence","Mod̩r̩e",3.3,9.8,10.6,13.8,17.7,13.5,21.3,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0033",420,"Aucune influence","Limit̩e",3.3,9.6,10.3,13.4,17,13.2,19.6,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0041",6048,"Aucune influence","Mod̩r̩e",3.2,10,10.6,13.5,18.2,14.9,39.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0042",5066,"Aucune influence","Mod̩r̩e",3.3,10.3,10.7,13.8,18.7,15.4,38.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0043",263,"Aucune influence","Limit̩e",3.3,9.3,9.9,12.4,14.4,11.7,11.7,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0046",4749,"Aucune influence","Mod̩r̩e",3.3,10.3,10.9,14,18.7,15.5,39.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0054",4523,"Aucune influence","Mod̩r̩e",3.3,10.1,10.4,13.7,18.5,15.2,39.5,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0055",2122,"Aucune influence","Mod̩r̩e",3.5,10.6,10.3,13.4,17.2,13.2,23.9,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0056",767,"Aucune influence","Mod̩r̩e",3.4,10.9,10.7,15.3,19.8,15,27.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0057",376,"Aucune influence","Mod̩r̩e",3.5,12.2,12,16.2,22.1,16.5,32.5,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0058",366,"Aucune influence","Mod̩r̩e",3.5,12.3,12,16.3,22.1,16.7,32.7,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0064",291,"Aucune influence","Limit̩e",3.4,12.2,11.7,16.3,22.1,17.3,33.5,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0077",1100,"Aucune influence","Mod̩r̩e",3.5,9.7,9.8,13,15.2,12.1,20.6,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable"
"ABI0081",894,"Aucune influence","Mod̩r̩e",3.5,9.2,9.4,12.3,13.8,10.8,16.3,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable"
"ABI0082",681,"Aucune influence","Mod̩r̩e",3.5,9.8,10,12.3,14.3,11.2,17.3,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable"
"ABI0084",472,"Aucune influence","Mod̩r̩e",3.5,10.5,10.3,12.1,14.3,11.3,15.9,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0092",2380,"Aucune influence","Mod̩r̩e",3.1,9.8,10.7,14,19.1,15.4,45.9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0093",773,"Aucune influence","Mod̩r̩e",3.6,8.7,8.9,11.8,14.2,11,14.7,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable"
"ABI0094",339,"Aucune influence","Mod̩r̩e",3.6,9.1,9.3,11.7,14,11.6,12.5,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable"
"ABI0102",1606,"Aucune influence","Mod̩r̩e",2.9,10.4,12,15.6,21.8,17.1,51.9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0104",1380,"Aucune influence","Mod̩r̩e",2.7,10.4,11.4,15.4,22.4,17.6,53.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0106",1190,"Aucune influence","Mod̩r̩e",2.7,10.8,11.7,16.1,23.1,18.6,56.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0108",959,"Aucune influence","Mod̩r̩e",2.6,10.5,11,15.8,23.2,19.7,58,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0110",668,"Aucune influence","Mod̩r̩e",2.6,12.2,12.5,18.5,27.5,23.8,70.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0112",551,"Aucune influence","Limit̩e",2.6,13.5,13.8,20.4,29.8,25.9,75.9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0117",2949,"Aucune influence","Mod̩r̩e",2.8,8.6,9.2,11.8,16.5,13.9,40.5,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0118",2067,"Aucune influence","Mod̩r̩e",2.9,8.7,9.8,12.1,17.3,14.6,38.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0119",1790,"Aucune influence","Mod̩r̩e",3,9,10.4,11.9,17.7,14.8,37.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0120",1118,"Aucune influence","Mod̩r̩e",2.9,8.3,9.5,12.4,17.7,13.8,38.9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0121",546,"Aucune influence","Limit̩e",3.2,10.1,12.4,12.9,19.4,15.4,35.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0126",500,"Aucune influence","Limit̩e",2.5,5.7,5.9,7.7,11,9.5,23.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0129",425,"Aucune influence","Mod̩r̩e",2.9,9.3,10.3,13,17.4,14.7,36.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0131",267,"Aucune influence","Mod̩r̩e",2.7,9,9.3,12.1,15.8,13.5,37.5,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0135",361,"Aucune influence","Limit̩e",2.5,7.5,7.6,10.1,16.4,13.6,43.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0140",9929,"Aucune influence","Mod̩r̩e",4,11.7,12.9,15,23.2,15.7,29.5,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0141",9218,"Aucune influence","Mod̩r̩e",4.1,12,13,15.2,23.1,15.8,28.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable"
"ABI0142",873,"Aucune influence","Mod̩r̩e",3,9.4,10.5,12.4,18.3,15.2,35.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0144",817,"Aucune influence","Limit̩e",3,9.5,10.6,12.5,18.4,15.3,35.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0146",628,"Aucune influence","Limit̩e",3,9.8,11.3,13.1,18.6,15.6,34.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0149",8246,"Aucune influence","Mod̩r̩e",4.2,12.1,12.9,15.2,22.9,15.6,24.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0151",7950,"Aucune influence","Mod̩r̩e",4.2,12,12.8,15.3,23.1,15.7,24.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0153",7800,"Aucune influence","Mod̩r̩e",4.2,12.1,12.9,15.2,22.9,15.7,24.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0155",7653,"Aucune influence","Mod̩r̩e",4.3,12,12.8,15.3,23.2,15.6,24.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0156",7211,"Aucune influence","Mod̩r̩e",4.3,12.1,12.8,15.3,23,15.4,24.5,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0160",7038,"Aucune influence","Mod̩r̩e",4.3,12,12.9,15.3,22.8,15.4,24.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0162",6971,"Aucune influence","Mod̩r̩e",4.3,12.1,12.9,15.3,22.7,15.5,24.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0163",6899,"Aucune influence","Mod̩r̩e",4.3,12,12.9,15.3,22.7,15.5,24.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0164",431,"Aucune influence","Limit̩e",3.5,10.7,11.9,13.6,22.1,17.2,19.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable"
"ABI0167",6446,"Aucune influence","Mod̩r̩e",4.4,12,13,15.2,22.7,15.2,25,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0168",1015,"Aucune influence","Mod̩r̩e",3.7,12,13.2,15.2,23.1,17.3,11.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Absence de consensus"
"ABI0170",912,"Aucune influence","Mod̩r̩e",3.8,12.1,13.4,15.4,23.3,17.2,11.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Absence de consensus"
"ABI0172",830,"Aucune influence","Mod̩r̩e",3.8,11.9,13.4,15.5,23.5,16.9,10.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0174",676,"Aucune influence","Mod̩r̩e",3.9,12.2,13.6,15.9,23.4,16.8,10.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0175",485,"Aucune influence","Mod̩r̩e",4,12.5,13.8,15.7,21.2,15.2,6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0180",5400,"Aucune influence","Mod̩r̩e",4.4,11.6,12.8,15,21.9,14.5,25.8,"Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0182",5169,"Aucune influence","Mod̩r̩e",4.4,11.6,12.7,15,21.8,14.5,26,"Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0184",4916,"Aucune influence","Mod̩r̩e",4.4,11.6,12.5,15.3,21.8,14.5,26.8,"Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0185",4750,"Aucune influence","Mod̩r̩e",4.4,11.6,12.5,15.2,21.9,14.5,27.5,"Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0186",4135,"Aucune influence","Mod̩r̩e",4.4,11.6,11.7,15.1,20.9,14.4,20.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0187",4084,"Aucune influence","Mod̩r̩e",4.4,11.6,11.8,15,20.7,14.2,17.9,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0188",3843,"Aucune influence","Mod̩r̩e",4.3,11.4,11.9,15.2,20.7,14.4,16.8,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0189",332,"Aucune influence","Limit̩e",3.5,11,12.8,15.2,25,17.9,39.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0192",3183,"Aucune influence","Mod̩r̩e",5,11.6,12.7,13.3,19.6,13.8,7.5,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0193",3182,"Aucune influence","Mod̩r̩e",5,11.6,12.7,13.2,19.5,13.8,7.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0194",3149,"Aucune influence","Mod̩r̩e",5,11.6,12.6,13.1,19.6,13.8,7,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0195",3054,"Aucune influence","Mod̩r̩e",5,11.5,12.7,12.8,18.7,13,2.2,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0197",2936,"Aucune influence","Mod̩r̩e",4.9,11.5,12.7,13.3,19.5,13.6,3.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
