TRONCON,BV_PRIMAIRE,QUANTILE,REFERENCE,H30_RCP4,H30_RCP8,H50_RCP4,H50_RCP8,H80_RCP4,H80_RCP8
"ABI0002","Rivi̬re Harricana",10,57.71,49.41,47.48,46.91,42.96,44.77,35.25
"ABI0002","Rivi̬re Harricana",25,80.99,69.5,67.3,65.44,61.02,62.75,50.46
"ABI0002","Rivi̬re Harricana",50,118.34,102.57,99.36,95.9,90.21,92.58,74.38
"ABI0002","Rivi̬re Harricana",75,171.95,149.26,144.99,142.31,132.1,136.3,110.45
"ABI0002","Rivi̬re Harricana",90,241.11,209.21,204.03,198.88,183.72,192.16,157.84
"ABI0003","Rivi̬re Turgeon",10,21.44,18.38,17.99,17.41,16.15,17.09,13.45
"ABI0003","Rivi̬re Turgeon",25,30.31,26.17,25.6,24.97,22.95,24.15,19.3
"ABI0003","Rivi̬re Turgeon",50,44.51,38.77,37.7,36.78,34.1,35.56,28.56
"ABI0003","Rivi̬re Turgeon",75,65.2,56.92,55.08,54.53,50.45,52.26,42.44
"ABI0003","Rivi̬re Turgeon",90,91.86,80.76,77.75,77.01,71.2,73.86,60.47
"ABI0004","Rivi̬re Martigny",10,0.5,0.44,0.44,0.44,0.41,0.42,0.37
"ABI0004","Rivi̬re Martigny",25,0.7,0.63,0.62,0.61,0.58,0.6,0.52
"ABI0004","Rivi̬re Martigny",50,1.03,0.93,0.91,0.9,0.86,0.88,0.76
"ABI0004","Rivi̬re Martigny",75,1.51,1.36,1.34,1.32,1.26,1.29,1.12
"ABI0004","Rivi̬re Martigny",90,2.12,1.91,1.87,1.86,1.77,1.81,1.59
"ABI0011","Rivi̬re Turgeon",10,20.62,17.5,17.1,17,15.54,16.33,12.84
"ABI0011","Rivi̬re Turgeon",25,28.93,24.92,24.28,23.87,22.02,22.92,18.18
"ABI0011","Rivi̬re Turgeon",50,42.32,36.24,35.86,35.16,32.41,33.41,27.06
"ABI0011","Rivi̬re Turgeon",75,61.97,53.35,52.46,51.28,47.38,49.24,40.08
"ABI0011","Rivi̬re Turgeon",90,87.43,75.6,74.19,72.7,67.39,69.53,57.68
"ABI0012","Rivi̬re Turgeon",10,15.68,13.35,12.91,12.73,11.77,12.2,9.58
"ABI0012","Rivi̬re Turgeon",25,22.12,18.91,18.34,18.02,16.67,17.35,13.66
"ABI0012","Rivi̬re Turgeon",50,32.65,27.97,27.29,26.93,24.7,25.77,20.32
"ABI0012","Rivi̬re Turgeon",75,47.58,40.8,39.87,39.59,36.44,37.56,30.33
"ABI0012","Rivi̬re Turgeon",90,67,57.74,56.79,56.15,51.76,53,43.7
"ABI0013","Rivi̬re Turgeon",10,14.5,12.33,12.1,11.66,10.76,11.32,8.64
"ABI0013","Rivi̬re Turgeon",25,20.62,17.47,17.29,16.67,15.39,16.15,12.33
"ABI0013","Rivi̬re Turgeon",50,30.54,25.94,25.7,24.92,22.9,23.97,18.59
"ABI0013","Rivi̬re Turgeon",75,44.89,38.26,37.6,36.87,34.23,35.09,27.88
"ABI0013","Rivi̬re Turgeon",90,63.87,54.42,53.15,52.34,48.56,50.92,40.53
"ABI0014","",10,2.39,1.98,1.91,1.84,1.65,1.76,1.26
"ABI0014","",25,3.38,2.81,2.7,2.63,2.37,2.53,1.84
"ABI0014","",50,5,4.18,4.01,3.95,3.57,3.78,2.78
"ABI0014","",75,7.32,6.19,5.97,5.9,5.35,5.63,4.25
"ABI0014","",90,10.38,8.84,8.56,8.43,7.68,8.1,6.23
"ABI0016","",10,2.33,1.93,1.85,1.81,1.62,1.7,1.21
"ABI0016","",25,3.3,2.73,2.63,2.58,2.3,2.44,1.76
"ABI0016","",50,4.85,4.04,3.91,3.81,3.42,3.66,2.67
"ABI0016","",75,7.14,6.04,5.81,5.68,5.15,5.48,4.1
"ABI0016","",90,10.19,8.63,8.38,8.15,7.35,7.86,6.04
"ABI0020","",10,2.25,1.83,1.8,1.76,1.55,1.64,1.17
"ABI0020","",25,3.19,2.61,2.57,2.49,2.2,2.36,1.69
"ABI0020","",50,4.7,3.9,3.81,3.7,3.27,3.55,2.57
"ABI0020","",75,6.96,5.8,5.64,5.5,4.94,5.28,3.93
"ABI0020","",90,9.87,8.32,8.08,7.94,7.15,7.64,5.76
"ABI0028","",10,1.98,1.59,1.55,1.48,1.3,1.41,0.96
"ABI0028","",25,2.79,2.24,2.2,2.1,1.86,2.01,1.39
"ABI0028","",50,4.08,3.3,3.23,3.13,2.75,3,2.11
"ABI0028","",75,5.99,4.93,4.77,4.68,4.11,4.47,3.23
"ABI0028","",90,8.41,7,6.81,6.58,5.93,6.35,4.76
"ABI0029","",10,1.68,1.36,1.3,1.28,1.1,1.18,0.81
"ABI0029","",25,2.37,1.92,1.85,1.8,1.58,1.69,1.17
"ABI0029","",50,3.5,2.83,2.76,2.69,2.37,2.54,1.8
"ABI0029","",75,5.14,4.18,4.1,4.03,3.56,3.78,2.76
"ABI0029","",90,7.22,5.93,5.8,5.75,5.12,5.43,4.06
"ABI0030","",10,1.62,1.3,1.25,1.2,1.06,1.12,0.77
"ABI0030","",25,2.31,1.87,1.79,1.75,1.53,1.62,1.12
"ABI0030","",50,3.39,2.77,2.68,2.59,2.31,2.43,1.71
"ABI0030","",75,4.97,4.09,3.97,3.86,3.44,3.67,2.65
"ABI0030","",90,7.05,5.76,5.65,5.51,4.87,5.25,3.9
"ABI0031","",10,1.17,0.87,0.86,0.81,0.68,0.74,0.45
"ABI0031","",25,1.65,1.24,1.22,1.16,0.98,1.07,0.66
"ABI0031","",50,2.43,1.86,1.83,1.74,1.48,1.62,1.03
"ABI0031","",75,3.56,2.77,2.72,2.61,2.25,2.44,1.63
"ABI0031","",90,5.04,4.01,3.89,3.73,3.29,3.5,2.45
"ABI0032","",10,1.09,0.81,0.78,0.74,0.61,0.67,0.39
"ABI0032","",25,1.55,1.16,1.12,1.06,0.89,0.97,0.59
"ABI0032","",50,2.28,1.74,1.67,1.6,1.35,1.48,0.92
"ABI0032","",75,3.37,2.63,2.52,2.4,2.09,2.26,1.47
"ABI0032","",90,4.75,3.8,3.63,3.48,3.07,3.28,2.28
"ABI0033","",10,0.68,0.48,0.46,0.43,0.35,0.38,0.21
"ABI0033","",25,0.96,0.69,0.66,0.62,0.5,0.57,0.31
"ABI0033","",50,1.42,1.04,0.99,0.94,0.77,0.86,0.5
"ABI0033","",75,2.1,1.57,1.52,1.43,1.19,1.32,0.81
"ABI0033","",90,2.96,2.24,2.18,2.06,1.76,1.96,1.25
"ABI0041","Rivi̬re Turgeon",10,11.83,9.96,9.93,9.52,8.93,9.21,7.19
"ABI0041","Rivi̬re Turgeon",25,16.68,14.13,13.96,13.54,12.59,12.87,10.23
"ABI0041","Rivi̬re Turgeon",50,24.42,20.65,20.48,19.89,18.56,19.09,15.27
"ABI0041","Rivi̬re Turgeon",75,35.65,30.51,29.97,29.12,27.33,28.38,22.64
"ABI0041","Rivi̬re Turgeon",90,50.27,43.23,42.34,41.58,38.93,40.34,32.36
"ABI0042","Rivi̬re Turgeon",10,10.28,8.62,8.44,8.25,7.45,7.82,6.01
"ABI0042","Rivi̬re Turgeon",25,14.61,12.36,12,11.74,10.74,11.2,8.73
"ABI0042","Rivi̬re Turgeon",50,21.47,18.46,17.78,17.44,15.95,16.67,13.06
"ABI0042","Rivi̬re Turgeon",75,31.28,27.18,26.19,25.52,23.96,24.58,19.48
"ABI0042","Rivi̬re Turgeon",90,44.77,38.63,37.35,36.53,34.25,34.73,28.53
"ABI0043","",10,0.38,0.26,0.25,0.22,0.18,0.2,0.1
"ABI0043","",25,0.54,0.38,0.36,0.33,0.26,0.3,0.15
"ABI0043","",50,0.8,0.57,0.54,0.51,0.41,0.46,0.24
"ABI0043","",75,1.16,0.86,0.82,0.77,0.64,0.71,0.41
"ABI0043","",90,1.64,1.25,1.18,1.11,0.96,1.04,0.66
"ABI0046","Rivi̬re Turgeon",10,9.9,8.36,8.29,8.04,7.22,7.61,5.88
"ABI0046","Rivi̬re Turgeon",25,14,11.86,11.7,11.34,10.39,10.89,8.42
"ABI0046","Rivi̬re Turgeon",50,20.39,17.4,16.96,16.67,15.37,16.05,12.54
"ABI0046","Rivi̬re Turgeon",75,30.06,25.93,25.18,24.6,22.72,23.85,18.63
"ABI0046","Rivi̬re Turgeon",90,41.94,36.13,35.66,34.71,32.34,33.36,26.76
"ABI0054","Rivi̬re Turgeon",10,9.34,7.93,7.76,7.63,6.93,7.15,5.66
"ABI0054","Rivi̬re Turgeon",25,13.16,11.22,11.02,10.79,9.8,10.22,8.06
"ABI0054","Rivi̬re Turgeon",50,19.18,16.38,16.1,15.7,14.49,15.14,11.85
"ABI0054","Rivi̬re Turgeon",75,27.83,24.14,23.35,23.03,21.35,22.29,17.68
"ABI0054","Rivi̬re Turgeon",90,39.71,34.51,33.5,32.74,30.48,31.95,25.67
"ABI0055","",10,3.86,3.01,2.92,2.81,2.43,2.63,1.82
"ABI0055","",25,5.49,4.33,4.16,4.03,3.54,3.81,2.65
"ABI0055","",50,8.1,6.4,6.25,6.01,5.33,5.71,4.03
"ABI0055","",75,11.91,9.51,9.34,8.92,8.1,8.57,6.17
"ABI0055","",90,16.83,13.48,13.15,12.9,11.67,12.26,9.05
"ABI0056","",10,1.69,1.3,1.27,1.18,1.04,1.11,0.71
"ABI0056","",25,2.38,1.86,1.8,1.72,1.5,1.59,1.03
"ABI0056","",50,3.51,2.77,2.68,2.58,2.25,2.4,1.6
"ABI0056","",75,5.16,4.14,4.03,3.84,3.39,3.6,2.52
"ABI0056","",90,7.33,5.9,5.76,5.53,4.99,5.27,3.82
"ABI0057","",10,1.04,0.83,0.81,0.78,0.69,0.73,0.49
"ABI0057","",25,1.47,1.18,1.16,1.12,0.99,1.05,0.72
"ABI0057","",50,2.15,1.77,1.73,1.66,1.48,1.56,1.1
"ABI0057","",75,3.16,2.64,2.56,2.46,2.22,2.35,1.71
"ABI0057","",90,4.47,3.76,3.63,3.51,3.2,3.35,2.51
"ABI0058","",10,1,0.81,0.79,0.76,0.68,0.72,0.49
"ABI0058","",25,1.42,1.16,1.13,1.08,0.97,1.03,0.71
"ABI0058","",50,2.1,1.72,1.68,1.61,1.46,1.55,1.09
"ABI0058","",75,3.09,2.57,2.51,2.41,2.18,2.32,1.69
"ABI0058","",90,4.35,3.65,3.56,3.44,3.13,3.3,2.5
"ABI0064","",10,0.73,0.58,0.57,0.53,0.47,0.5,0.33
"ABI0064","",25,1.03,0.82,0.8,0.76,0.68,0.72,0.48
"ABI0064","",50,1.51,1.22,1.19,1.14,1.01,1.07,0.74
"ABI0064","",75,2.23,1.81,1.78,1.69,1.53,1.62,1.15
"ABI0064","",90,3.18,2.63,2.56,2.41,2.24,2.34,1.75
"ABI0077","",10,1.72,1.31,1.26,1.2,1.07,1.14,0.8
"ABI0077","",25,2.44,1.89,1.8,1.73,1.53,1.64,1.16
"ABI0077","",50,3.56,2.81,2.68,2.59,2.3,2.45,1.76
"ABI0077","",75,5.2,4.16,3.93,3.83,3.45,3.61,2.69
"ABI0077","",90,7.31,5.91,5.59,5.39,4.96,5.24,3.88
"ABI0081","",10,1.32,1.01,0.96,0.9,0.79,0.85,0.59
"ABI0081","",25,1.88,1.45,1.37,1.29,1.14,1.21,0.86
"ABI0081","",50,2.75,2.15,2.03,1.93,1.71,1.83,1.3
"ABI0081","",75,4.04,3.21,3.01,2.89,2.54,2.75,2
"ABI0081","",90,5.7,4.59,4.32,4.13,3.71,3.96,2.95
"ABI0082","",10,0.97,0.72,0.68,0.64,0.55,0.59,0.4
"ABI0082","",25,1.38,1.03,0.97,0.91,0.79,0.86,0.58
"ABI0082","",50,2.01,1.53,1.43,1.36,1.18,1.28,0.89
"ABI0082","",75,2.97,2.29,2.14,2.06,1.8,1.94,1.37
"ABI0082","",90,4.23,3.29,3.08,2.96,2.62,2.8,2.06
"ABI0084","",10,0.63,0.43,0.4,0.36,0.3,0.34,0.21
"ABI0084","",25,0.89,0.61,0.57,0.52,0.44,0.49,0.31
"ABI0084","",50,1.31,0.92,0.85,0.79,0.68,0.75,0.48
"ABI0084","",75,1.89,1.37,1.29,1.2,1.04,1.13,0.75
"ABI0084","",90,2.66,1.96,1.84,1.74,1.54,1.64,1.13
"ABI0092","Rivi̬re Turgeon",10,5.19,4.71,4.57,4.52,4.24,4.32,3.65
"ABI0092","Rivi̬re Turgeon",25,7.29,6.6,6.44,6.36,5.95,6.09,5.19
"ABI0092","Rivi̬re Turgeon",50,10.62,9.64,9.28,9.31,8.65,8.85,7.6
"ABI0092","Rivi̬re Turgeon",75,15.44,14.08,13.58,13.54,12.78,13.02,11.07
"ABI0092","Rivi̬re Turgeon",90,21.47,19.52,18.88,18.96,17.82,18.07,15.57
"ABI0093","",10,1.3,1.1,1.06,1.04,0.94,1,0.77
"ABI0093","",25,1.84,1.56,1.51,1.47,1.35,1.42,1.1
"ABI0093","",50,2.7,2.28,2.22,2.16,2,2.1,1.65
"ABI0093","",75,3.92,3.34,3.22,3.16,2.94,3.09,2.42
"ABI0093","",90,5.44,4.64,4.51,4.45,4.13,4.28,3.42
"ABI0094","",10,0.58,0.49,0.48,0.46,0.43,0.45,0.35
"ABI0094","",25,0.81,0.69,0.67,0.65,0.6,0.63,0.49
"ABI0094","",50,1.2,1.01,0.99,0.96,0.89,0.93,0.73
"ABI0094","",75,1.73,1.48,1.43,1.4,1.31,1.37,1.09
"ABI0094","",90,2.47,2.09,2.05,2.01,1.86,1.95,1.56
"ABI0102","Rivi̬re Turgeon",10,3.89,3.5,3.46,3.45,3.22,3.37,2.84
"ABI0102","Rivi̬re Turgeon",25,5.42,4.9,4.86,4.8,4.54,4.66,4.01
"ABI0102","Rivi̬re Turgeon",50,7.87,7.16,7.05,7.05,6.67,6.77,5.92
"ABI0102","Rivi̬re Turgeon",75,11.47,10.38,10.31,10.27,9.8,9.97,8.67
"ABI0102","Rivi̬re Turgeon",90,16.09,14.7,14.4,14.37,13.63,13.8,12.26
"ABI0104","Rivi̬re Turgeon",10,3.49,3.23,3.18,3.15,3,3.07,2.71
"ABI0104","Rivi̬re Turgeon",25,4.89,4.53,4.43,4.43,4.22,4.28,3.77
"ABI0104","Rivi̬re Turgeon",50,7.12,6.57,6.43,6.45,6.17,6.24,5.52
"ABI0104","Rivi̬re Turgeon",75,10.4,9.7,9.49,9.47,8.96,9.08,8.12
"ABI0104","Rivi̬re Turgeon",90,14.55,13.55,13.17,13.16,12.5,12.82,11.49
"ABI0106","Rivi̬re Turgeon",10,3.06,2.85,2.79,2.78,2.61,2.68,2.38
"ABI0106","Rivi̬re Turgeon",25,4.3,4,3.9,3.89,3.69,3.77,3.31
"ABI0106","Rivi̬re Turgeon",50,6.23,5.77,5.65,5.61,5.36,5.5,4.81
"ABI0106","Rivi̬re Turgeon",75,9.02,8.49,8.26,8.23,7.83,8,6.98
"ABI0106","Rivi̬re Turgeon",90,12.75,11.87,11.59,11.6,11.03,11.3,9.94
"ABI0108","Rivi̬re Turgeon",10,2.58,2.48,2.41,2.45,2.3,2.35,2.11
"ABI0108","Rivi̬re Turgeon",25,3.6,3.46,3.34,3.41,3.27,3.3,2.93
"ABI0108","Rivi̬re Turgeon",50,5.19,5,4.86,4.96,4.67,4.76,4.27
"ABI0108","Rivi̬re Turgeon",75,7.51,7.25,7.06,7.15,6.87,6.91,6.23
"ABI0108","Rivi̬re Turgeon",90,10.55,10.23,9.88,10.08,9.62,9.61,8.78
"ABI0110","Rivi̬re Turgeon",10,1.95,1.88,1.86,1.81,1.76,1.78,1.57
"ABI0110","Rivi̬re Turgeon",25,2.7,2.62,2.57,2.54,2.43,2.46,2.19
"ABI0110","Rivi̬re Turgeon",50,3.87,3.77,3.68,3.64,3.5,3.54,3.18
"ABI0110","Rivi̬re Turgeon",75,5.64,5.48,5.36,5.36,5.09,5.16,4.64
"ABI0110","Rivi̬re Turgeon",90,7.81,7.67,7.4,7.46,7.08,7.2,6.44
"ABI0112","Rivi̬re Turgeon",10,1.68,1.61,1.58,1.57,1.49,1.52,1.33
"ABI0112","Rivi̬re Turgeon",25,2.33,2.24,2.19,2.2,2.07,2.12,1.88
"ABI0112","Rivi̬re Turgeon",50,3.37,3.26,3.18,3.18,3.02,3.09,2.73
"ABI0112","Rivi̬re Turgeon",75,4.85,4.73,4.56,4.59,4.45,4.44,3.96
"ABI0112","Rivi̬re Turgeon",90,6.71,6.58,6.35,6.39,6.16,6.22,5.48
"ABI0117","Rivi̬re Wawagosic",10,4.63,4.02,3.91,3.87,3.61,3.74,3.11
"ABI0117","Rivi̬re Wawagosic",25,6.55,5.69,5.57,5.47,5.14,5.28,4.4
"ABI0117","Rivi̬re Wawagosic",50,9.66,8.34,8.19,8.13,7.56,7.78,6.49
"ABI0117","Rivi̬re Wawagosic",75,14.03,12.29,12.02,11.88,11.15,11.42,9.58
"ABI0117","Rivi̬re Wawagosic",90,19.8,17.36,16.8,16.78,15.63,16.17,13.52
"ABI0118","Rivi̬re Wawagosic",10,3.29,2.8,2.7,2.66,2.44,2.56,2.08
"ABI0118","Rivi̬re Wawagosic",25,4.58,3.91,3.79,3.72,3.42,3.61,2.94
"ABI0118","Rivi̬re Wawagosic",50,6.69,5.77,5.57,5.46,5.03,5.29,4.35
"ABI0118","Rivi̬re Wawagosic",75,9.74,8.51,8.16,8.08,7.44,7.67,6.43
"ABI0118","Rivi̬re Wawagosic",90,13.7,11.83,11.5,11.15,10.51,10.85,9.1
"ABI0119","Rivi̬re Wawagosic",10,2.88,2.43,2.37,2.32,2.12,2.23,1.79
"ABI0119","Rivi̬re Wawagosic",25,4.04,3.41,3.29,3.24,2.97,3.13,2.5
"ABI0119","Rivi̬re Wawagosic",50,5.85,4.97,4.83,4.75,4.32,4.54,3.67
"ABI0119","Rivi̬re Wawagosic",75,8.52,7.27,7.08,6.93,6.39,6.68,5.45
"ABI0119","Rivi̬re Wawagosic",90,12.01,10.17,9.96,9.76,9.1,9.48,7.73
"ABI0120","Rivi̬re Wawagosic",10,1.91,1.66,1.63,1.6,1.46,1.53,1.28
"ABI0120","Rivi̬re Wawagosic",25,2.68,2.34,2.28,2.26,2.09,2.14,1.81
"ABI0120","Rivi̬re Wawagosic",50,3.89,3.41,3.32,3.28,3.05,3.14,2.65
"ABI0120","Rivi̬re Wawagosic",75,5.65,4.94,4.84,4.77,4.46,4.57,3.91
"ABI0120","Rivi̬re Wawagosic",90,7.89,6.96,6.69,6.6,6.19,6.42,5.46
"ABI0121","Rivi̬re Wawagosic",10,0.8,0.6,0.56,0.54,0.45,0.49,0.33
"ABI0121","Rivi̬re Wawagosic",25,1.12,0.85,0.8,0.76,0.65,0.7,0.48
"ABI0121","Rivi̬re Wawagosic",50,1.63,1.25,1.18,1.13,0.98,1.06,0.72
"ABI0121","Rivi̬re Wawagosic",75,2.37,1.84,1.73,1.66,1.46,1.57,1.11
"ABI0121","Rivi̬re Wawagosic",90,3.34,2.59,2.47,2.39,2.11,2.25,1.65
"ABI0126","Rivi̬re de la Perdrix",10,0.89,0.87,0.86,0.86,0.84,0.85,0.81
"ABI0126","Rivi̬re de la Perdrix",25,1.23,1.19,1.19,1.18,1.16,1.19,1.12
"ABI0126","Rivi̬re de la Perdrix",50,1.77,1.7,1.7,1.69,1.67,1.7,1.61
"ABI0126","Rivi̬re de la Perdrix",75,2.57,2.48,2.47,2.45,2.42,2.44,2.35
"ABI0126","Rivi̬re de la Perdrix",90,3.64,3.49,3.48,3.48,3.43,3.44,3.28
"ABI0129","Rivi̬re M̩nard",10,0.6,0.49,0.47,0.47,0.43,0.45,0.36
"ABI0129","Rivi̬re M̩nard",25,0.85,0.7,0.68,0.66,0.6,0.63,0.52
"ABI0129","Rivi̬re M̩nard",50,1.25,1.04,1.01,0.97,0.89,0.93,0.77
"ABI0129","Rivi̬re M̩nard",75,1.82,1.51,1.47,1.43,1.31,1.37,1.14
"ABI0129","Rivi̬re M̩nard",90,2.56,2.15,2.08,2.02,1.86,1.96,1.62
"ABI0131","Rivi̬re M̩nard",10,0.42,0.38,0.36,0.36,0.34,0.35,0.3
"ABI0131","Rivi̬re M̩nard",25,0.59,0.52,0.51,0.5,0.47,0.49,0.43
"ABI0131","Rivi̬re M̩nard",50,0.87,0.76,0.74,0.74,0.7,0.72,0.63
"ABI0131","Rivi̬re M̩nard",75,1.28,1.12,1.11,1.09,1.02,1.06,0.93
"ABI0131","Rivi̬re M̩nard",90,1.8,1.58,1.56,1.54,1.45,1.49,1.33
"ABI0135","Rivi̬re Mistaouac",10,0.63,0.56,0.55,0.56,0.53,0.53,0.46
