SUB_ID,ORG_ID,ORG_NOM,ORG_TYPE,BEN_TYPE,BEN_NOM,BEN_ADRESSE,BEN_ADRESSE2,BEN_MUNICIPALITE,BEN_CODE_POSTAL,BEN_RADM,SUB_NOM,SUB_VOLET,SUB_SOUS-VOLET,SUB_DATE,SUB_TYPE,SUB_DESCRIPTION,SUB_DOMAINE,SUB_SOUS-DOMAINE,SUB_VALEUR
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Comité de l'entrepôt de L'Anse-au-Griffon,"557, boulevard du Griffon",,Gaspé,G4X6A5,Gaspésie-Îles-de-la-Madeleine,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Centre culturel le Griffon,Musique et variétés,Diffusion - Salles,25 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Gesù - Centre de créativité,"1200, rue De Bleury",,Montréal,H3B3J3,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Le Gesù - Centre de créativité,Musique et variétés,Diffusion - Salles,250 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,"La Machine à Truc, Coopérative culturelle","40, 7e rue Est",,Saint-Maxime-du-Mont-Louis,G0E1T0,Gaspésie-Îles-de-la-Madeleine,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,La Pointe Sec / La Face B,Musique et variétés,Diffusion - Salles,20 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Buffet Delorimier ltée (Le Verre Bouteille),"2114, avenue du Mont-Royal Est",,Montréal,H2H1J8,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Le Verre Bouteille,Musique et variétés,Diffusion - Salles,75 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,9386-3124 Québec inc. (Le Q.G Salle de spectacles),"11, Av. Principale",,Rouyn-Noranda,J9X4N8,Abitibi-Témiscamingue,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Le Q.G Salle de spectacles,Musique et variétés,Diffusion - Salles,35 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Maelstrom Saint-Roch inc.,"181, rue Saint-Vallier E",,Québec,G1K3P2,Capitale-Nationale,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Maelstrom Saint-Roch,Musique et variétés,Diffusion - Salles,10 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,La Baleine Endiablée inc.,"229, Route 132",,Rivière-Ouelle,G0L2C0,Bas-Saint-Laurent,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Baleine Endiablée,Musique et variétés,Diffusion - Salles,40 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,9322-2339 Québec inc. (L'Anti Bar & Spectacles),"260, rue Saint-Joseph E",,Québec,G1K3A9,Capitale-Nationale,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,L'Anti Bar & Spectacles,Musique et variétés,Diffusion - Salles,250 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,Terminal 1875 inc.,"1875, avenue du Mont-Royal Est",,Montréal,H2H1J3,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Le Terminal,Musique et variétés,Diffusion - Salles,60 000
AIDE_TEMP_LIEUX_DIFF,539.00,SODEC,Public,Entreprise,9359-2426 Québec inc. (Les Productions Le Ministère),"4521, boulevard Saint-Laurent",,Montréal,H2T1R2,Montréal,Aide  temporaire aux lieux de diffusion 2023,Aide aux lieux de diffusion 2023,,2022-08-22,Subvention,Le Ministère,Musique et variétés,Diffusion - Salles,250 000
