SUB_ID;ORG_ID;ORG_NOM;ORG_TYPE;BEN_TYPE;BEN_NOM;BEN_ADRESSE;BEN_ADRESSE2;BEN_MUNICIPALITE;BEN_CODE_POSTAL;BEN_RADM;SUB_NOM;SUB_VOLET;SUB_SOUS-VOLET;SUB_DATE;SUB_TYPE;SUB_DESCRIPTION;SUB_DOMAINE;SUB_SOUS-DOMAINE;SUB_VALEUR
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Buffet Delorimier ltée (Le Verre Bouteille);2114, avenue du Mont-Royal Est;;Montréal;H2H1J8;Montréal;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Le Verre Bouteille;Musique et variétés;Diffusion - Salles;25 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Corporation du Théâtre L'Étoile;6000, boulevard Rome;bureau 240;Brossard;J4Y0B6;Montérégie;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;L'Étoile Banque Nationale;Musique et variétés;Diffusion - Salles;400 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Création Le Pantoum;76, rue Saint-Vallier Ouest;bureau 1;Québec;G1K1J6;Capitale-Nationale;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Création Le Pantoum;Musique et variétés;Diffusion - Salles;100 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Corporation du Théâtre L'Étoile;6000, boulevard Rome;bureau 240;Brossard;J4Y0B6;Montérégie;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Club Dix30;Musique et variétés;Diffusion - Salles;315 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Les productions Casa del Popolo inc.;4355, avenue Earnscliffe;;Montréal;H4A3E9;Montréal;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;La Sala Rossa;Musique et variétés;Diffusion - Salles;245 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Aux pas perdus inc.;169, Chemin principal;;Les Îles-de-la-Madeleine;G4T1C4;Gaspésie-Îles-de-la-Madeleine;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Salle de spectacle des Pas Perdus;Musique et variétés;Diffusion - Salles;50 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Les productions Casa del Popolo inc.;4355, avenue Earnscliffe;;Montréal;H4A3E9;Montréal;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Casa del Popolo;Musique et variétés;Diffusion - Salles;100 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Le Nouveau International;264, rue Sainte-Catherine E;;Montréal;H2X1L4;Montréal;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Théâtre Sainte-Catherine;Musique et variétés;Diffusion - Salles;15 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Les productions Casa del Popolo inc.;4355, avenue Earnscliffe;;Montréal;H4A3E9;Montréal;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;La Sotterenea;Musique et variétés;Diffusion - Salles;45 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;9191-1529 Québec inc. (Bar Escogriffe);4657, rue Saint-Dominique;;Montréal;H2T1T7;Montréal;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Bar Spectacles Escogriffe;Musique et variétés;Diffusion - Salles;85 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Coopérative de solidarité Paradis;274, rue Michaud;;Rimouski;G5L6A2;Bas-Saint-Laurent;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Coopérative de solidarité Paradis;Musique et variétés;Diffusion - Salles;20 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Théâtre Fairmount inc.;5240, avenue du Parc;;Montréal;H2V4G7;Montréal;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Théâtre Fairmount inc.;Musique et variétés;Diffusion - Salles;140 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Coopérative des travailleurs et travailleuses du Café-Campus;57, rue Prince-Arthur Est;;Montréal;H2X1B4;Montréal;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Petit Campus;Musique et variétés;Diffusion - Salles;100 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Corporation du Théâtre Saint-Eustache inc. (Le Zénith);305, avenue Mathers;;Saint-Eustache;J7P4C1;Laurentides;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Le Zénith Promutuel Assurance;Musique et variétés;Diffusion - Salles;400 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Compagnie France Film inc.;1564, rue St-Denis;500;Montréal;H2X3K2;Montréal;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Théâtre St-Denis (salle 1);Musique et variétés;Diffusion - Salles;400 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;9333-2807 Québec inc. (Minotaure);3, rue Kent;;Gatineau;J8X3J8;Outaouais;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Minotaure;Musique et variétés;Diffusion - Salles;65 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;9322-2339 Québec inc. (L'Anti Bar & Spectacles);260, rue Saint-Joseph E;;Québec;G1K3A9;Capitale-Nationale;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;L'Anti Bar & Spectacles;Musique et variétés;Diffusion - Salles;400 000
AIDE_TEMP_LIEUX_DIFF;539.00;SODEC;Public;Entreprise;Québecor Sports et Divertissement inc.;612, rue Saint-Jacques;;Montréal;H3C4M8;Montréal;Aide  temporaire aux lieux de diffusion 2021;Aide aux lieux de diffusion 2021;;2020-11-25;Subvention;Théâtre Capitole;Musique et variétés;Diffusion - Salles;400 000
