numero_station,nom_station,metaux_pm10,date,concentration_ng_m3,statut
3,Saint-Jean-Baptiste,Arsenic,2003-01-03,0.5,mesure
3,Saint-Jean-Baptiste,Cadmium,2003-01-03,0.2,mesure
3,Saint-Jean-Baptiste,Chrome,2003-01-03,0.1,mesure
3,Saint-Jean-Baptiste,Cobalt,2003-01-03,2.3,mesure
3,Saint-Jean-Baptiste,Cuivre,2003-01-03,15.1,mesure
3,Saint-Jean-Baptiste,Fer,2003-01-03,252.6,mesure
3,Saint-Jean-Baptiste,Manganèse,2003-01-03,13.7,mesure
3,Saint-Jean-Baptiste,Nickel,2003-01-03,1.9,mesure
3,Saint-Jean-Baptiste,Plomb,2003-01-03,7.5,mesure
3,Saint-Jean-Baptiste,Sélénium,2003-01-03,,<LDR
3,Saint-Jean-Baptiste,Vanadium,2003-01-03,2.2,mesure
3,Saint-Jean-Baptiste,Mercure,2003-01-03,,<LDR
3,Saint-Jean-Baptiste,Arsenic,2003-01-09,1.6,mesure
3,Saint-Jean-Baptiste,Cadmium,2003-01-09,1,mesure
3,Saint-Jean-Baptiste,Chrome,2003-01-09,0.7,mesure
3,Saint-Jean-Baptiste,Cobalt,2003-01-09,4,mesure
3,Saint-Jean-Baptiste,Cuivre,2003-01-09,36.6,mesure
3,Saint-Jean-Baptiste,Fer,2003-01-09,508.9,mesure
3,Saint-Jean-Baptiste,Manganèse,2003-01-09,24,mesure
3,Saint-Jean-Baptiste,Nickel,2003-01-09,5.9,mesure
3,Saint-Jean-Baptiste,Plomb,2003-01-09,12.6,mesure
3,Saint-Jean-Baptiste,Sélénium,2003-01-09,0.2,mesure
3,Saint-Jean-Baptiste,Vanadium,2003-01-09,9.5,mesure
3,Saint-Jean-Baptiste,Mercure,2003-01-09,,<LDR
3,Saint-Jean-Baptiste,Arsenic,2003-02-02,0.4,mesure
3,Saint-Jean-Baptiste,Cadmium,2003-02-02,0.4,mesure
3,Saint-Jean-Baptiste,Chrome,2003-02-02,0.2,mesure
