numero_station,nom_station,metaux_pm10,date,concentration_ng_m3,statut
3,Saint-Jean-Baptiste,Aluminium,2019-01-15,313.7,mesure
3,Saint-Jean-Baptiste,Antimoine,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Argent,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Arsenic,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Baryum,2019-01-15,43.9,mesure
3,Saint-Jean-Baptiste,Beryllium,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Cadmium,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Calcium,2019-01-15,2760.8,mesure
3,Saint-Jean-Baptiste,Chrome,2019-01-15,2.7,mesure
3,Saint-Jean-Baptiste,Cobalt,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Cuivre,2019-01-15,90.2,mesure
3,Saint-Jean-Baptiste,Etain,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Fer,2019-01-15,263.5,mesure
3,Saint-Jean-Baptiste,Magnesium,2019-01-15,878.4,mesure
3,Saint-Jean-Baptiste,Manganese,2019-01-15,10.9,mesure
3,Saint-Jean-Baptiste,Molybdene,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Nickel,2019-01-15,3.5,mesure
3,Saint-Jean-Baptiste,Plomb,2019-01-15,18.8,mesure
3,Saint-Jean-Baptiste,Potassium,2019-01-15,376.5,mesure
3,Saint-Jean-Baptiste,Selenium,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Sodium,2019-01-15,5019.6,mesure
3,Saint-Jean-Baptiste,Thallium,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Uranium,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Vanadium,2019-01-15,,<LDR
3,Saint-Jean-Baptiste,Zinc,2019-01-15,46.4,mesure
3,Saint-Jean-Baptiste,Aluminium,2019-01-27,225.9,mesure
3,Saint-Jean-Baptiste,Antimoine,2019-01-27,,<LDR
