numero_station,nom_station,metaux_pm10,date,concentration_ng_m3,statut
3,Saint-Jean-Baptiste,Aluminium,2018-01-02,278.8,mesure
3,Saint-Jean-Baptiste,Antimoine,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Argent,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Arsenic,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Baryum,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Beryllium,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Cadmium,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Calcium,2018-01-02,1282.6,mesure
3,Saint-Jean-Baptiste,Chrome,2018-01-02,0.7,mesure
3,Saint-Jean-Baptiste,Cobalt,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Cuivre,2018-01-02,36.8,mesure
3,Saint-Jean-Baptiste,Etain,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Fer,2018-01-02,189.6,mesure
3,Saint-Jean-Baptiste,Magnesium,2018-01-02,501.9,mesure
3,Saint-Jean-Baptiste,Manganese,2018-01-02,4.6,mesure
3,Saint-Jean-Baptiste,Molybdene,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Nickel,2018-01-02,1.4,mesure
3,Saint-Jean-Baptiste,Plomb,2018-01-02,5.4,mesure
3,Saint-Jean-Baptiste,Potassium,2018-01-02,278.8,mesure
3,Saint-Jean-Baptiste,Selenium,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Sodium,2018-01-02,2230.6,mesure
3,Saint-Jean-Baptiste,Thallium,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Uranium,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Vanadium,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Zinc,2018-01-02,,<LDR
3,Saint-Jean-Baptiste,Aluminium,2018-01-08,176.5,mesure
3,Saint-Jean-Baptiste,Antimoine,2018-01-08,,<LDR
3,Saint-Jean-Baptiste,Argent,2018-01-08,,<LDR
3,Saint-Jean-Baptiste,Arsenic,2018-01-08,1.4,mesure
3,Saint-Jean-Baptiste,Baryum,2018-01-08,,<LDR
3,Saint-Jean-Baptiste,Beryllium,2018-01-08,,<LDR
3,Saint-Jean-Baptiste,Cadmium,2018-01-08,,<LDR
3,Saint-Jean-Baptiste,Calcium,2018-01-08,882.6,mesure
3,Saint-Jean-Baptiste,Chrome,2018-01-08,1.7,mesure
3,Saint-Jean-Baptiste,Cobalt,2018-01-08,,<LDR
3,Saint-Jean-Baptiste,Cuivre,2018-01-08,34.1,mesure
3,Saint-Jean-Baptiste,Etain,2018-01-08,,<LDR
3,Saint-Jean-Baptiste,Fer,2018-01-08,105.9,mesure
3,Saint-Jean-Baptiste,Magnesium,2018-01-08,470.7,mesure
3,Saint-Jean-Baptiste,Manganese,2018-01-08,4.8,mesure
3,Saint-Jean-Baptiste,Molybdene,2018-01-08,,<LDR
