numero_station,nom_station,metaux_pm10,date,concentration_ng_m3,statut
3,Saint-Jean-Baptiste,Aluminium,2020-01-04,38.3,mesure
3,Saint-Jean-Baptiste,Antimoine,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Argent,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Arsenic,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Baryum,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Beryllium,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Cadmium,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Calcium,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Chrome,2020-01-04,2.5,mesure
3,Saint-Jean-Baptiste,Cobalt,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Cuivre,2020-01-04,12.6,mesure
3,Saint-Jean-Baptiste,Etain,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Fer,2020-01-04,137.7,mesure
3,Saint-Jean-Baptiste,Magnesium,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Manganese,2020-01-04,3.8,mesure
3,Saint-Jean-Baptiste,Molybdene,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Nickel,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Plomb,2020-01-04,4.7,mesure
3,Saint-Jean-Baptiste,Potassium,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Selenium,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Sodium,2020-01-04,838.1,mesure
3,Saint-Jean-Baptiste,Thallium,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Uranium,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Vanadium,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Zinc,2020-01-04,,<LDR
80,Molson,Aluminium,2020-01-04,,<LDR
80,Molson,Antimoine,2020-01-04,,<LDR
80,Molson,Argent,2020-01-04,,<LDR
80,Molson,Arsenic,2020-01-04,,<LDR
80,Molson,Baryum,2020-01-04,,<LDR
80,Molson,Beryllium,2020-01-04,,<LDR
80,Molson,Cadmium,2020-01-04,,<LDR
80,Molson,Calcium,2020-01-04,,<LDR
80,Molson,Chrome,2020-01-04,2.2,mesure
80,Molson,Cobalt,2020-01-04,,<LDR
80,Molson,Cuivre,2020-01-04,49,mesure
80,Molson,Etain,2020-01-04,,<LDR
80,Molson,Fer,2020-01-04,111,mesure
80,Molson,Magnesium,2020-01-04,,<LDR
80,Molson,Manganese,2020-01-04,2.8,mesure
80,Molson,Molybdene,2020-01-04,,<LDR
80,Molson,Nickel,2020-01-04,,<LDR
80,Molson,Plomb,2020-01-04,2.4,mesure
80,Molson,Potassium,2020-01-04,,<LDR
80,Molson,Selenium,2020-01-04,,<LDR
80,Molson,Sodium,2020-01-04,783.8,mesure
80,Molson,Thallium,2020-01-04,,<LDR
80,Molson,Uranium,2020-01-04,,<LDR
80,Molson,Vanadium,2020-01-04,,<LDR
80,Molson,Zinc,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Aluminium,2020-01-04,34,mesure
99,Sainte-Anne-de-Bellevue,Antimoine,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Argent,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Arsenic,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Baryum,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Beryllium,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Cadmium,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Calcium,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Chrome,2020-01-04,2.5,mesure
99,Sainte-Anne-de-Bellevue,Cobalt,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Cuivre,2020-01-04,12.3,mesure
99,Sainte-Anne-de-Bellevue,Etain,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Fer,2020-01-04,146.8,mesure
99,Sainte-Anne-de-Bellevue,Magnesium,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Manganese,2020-01-04,3.9,mesure
99,Sainte-Anne-de-Bellevue,Molybdene,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Nickel,2020-01-04,1.2,mesure
99,Sainte-Anne-de-Bellevue,Plomb,2020-01-04,2.9,mesure
99,Sainte-Anne-de-Bellevue,Potassium,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Selenium,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Sodium,2020-01-04,645.8,mesure
99,Sainte-Anne-de-Bellevue,Thallium,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Uranium,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Vanadium,2020-01-04,,<LDR
99,Sainte-Anne-de-Bellevue,Zinc,2020-01-04,,<LDR
3,Saint-Jean-Baptiste,Aluminium,2020-01-10,118.7,mesure
3,Saint-Jean-Baptiste,Antimoine,2020-01-10,,<LDR
3,Saint-Jean-Baptiste,Argent,2020-01-10,,<LDR
3,Saint-Jean-Baptiste,Arsenic,2020-01-10,,<LDR
3,Saint-Jean-Baptiste,Baryum,2020-01-10,,<LDR
3,Saint-Jean-Baptiste,Beryllium,2020-01-10,,<LDR
3,Saint-Jean-Baptiste,Cadmium,2020-01-10,,<LDR
3,Saint-Jean-Baptiste,Calcium,2020-01-10,687.2,mesure
3,Saint-Jean-Baptiste,Chrome,2020-01-10,3,mesure
3,Saint-Jean-Baptiste,Cobalt,2020-01-10,,<LDR
3,Saint-Jean-Baptiste,Cuivre,2020-01-10,26.2,mesure
3,Saint-Jean-Baptiste,Etain,2020-01-10,,<LDR
3,Saint-Jean-Baptiste,Fer,2020-01-10,318.6,mesure
