"Qualité physico-chimique et résultats des essais de toxicité des sédiments prélevés dans le fleuve avant, pendant et après le déversement d'eaux usées résultant des travaux réalisés sur l'intercepteur sud-est",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nom,Latitude,Longitude,Date,Azote ammoniacal,Ammoniac non Ionisé (mg/L),Coliformes fécaux (ufc/100 mL),COT (mg/L),DBO5C (mg/L),Dureté (mg/L),MES (mg/L),Nitrite et nitrate (mg/L),NTK (mg/L),pH,PT (mg/L),Al (mg/L),Sb (mg/L),Ag (mg/L),As (mg/L),Ba (mg/L),Be (mg/L),Cd (mg/L),Ca (mg/L),Cr (mg/L),Co (mg/L),Cu (mg/L),Sn (mg/L),Fe (mg/L),Mg (mg/L),Mn (mg/L),Hg (mg/L),Mo (mg/L),Ni (mg/L),Pb (mg/L),K (mg/L),Se (mg/L),Na (mg/L),TI (mg/L),U (mg/L,V (mg/L),Zn (mg/L)
I-01,"45,4564","-73,559",2016-06-14,"0,017","0,00041",< 10,"4,54",< 1,66,"8,71","0,21","< 0,4","7,95","0,027","0,361","< 0,0005","< 0,0001","0,0005","0,02","< 0,0001","< 0,0001","18,7","0,0008","0,0002","0,0015","< 0,001","0,447","4,8","0,0168","< 0,025","< 0,001","0,0009","0,0004","1,12","< 0,0005","7,72","< 0,0002","0,0002","0,001","< 0,007"
I-02,"45,4679","-73,5514",2016-06-14,"0,014","0,00024",27,"4,36",< 1,69,"9,34","0,23","< 0,4","7,81","0,028","0,374","< 0,0005","< 0,0001","0,0005","0,021","< 0,0001","< 0,0001","20,2","0,0009","0,0002","0,0015","< 0,001","0,464","5,21","0,0179","< 0,025","< 0,001","0,0009","0,0004","1,18","< 0,0005","8,28","< 0,0002","0,0002","0,001","< 0,007"
I-03,"45,4646","-73,5564",2016-06-14,"0,016","0,00033",27,"4,37",< 1,74,"9,03","0,22","< 0,4","7,88","0,027","0,39","< 0,0005","< 0,0001","0,0005","0,021","< 0,0001","< 0,0001","19,5","0,0009","0,0002","0,0018","< 0,001","0,456","4,97","0,0175","< 0,025","< 0,001","0,001","0,0004","1,15","< 0,0005","7,93","< 0,0002","0,0002","0,001","< 0,007"
S-01,"46,0519","-73,1625",2016-06-14,"0,051","0,00078",2500,"4,86",< 1,65,10,"0,26","< 0,4","7,75","0,033","0,529","< 0,0005","< 0,0001","0,0005","0,021","< 0,0001","< 0,0001","16,5","0,0014","0,0003","0,0017","< 0,001","0,643","4,31","0,0267","< 0,025","< 0,001","0,001","0,0005","1,15","< 0,0005","7,5","< 0,0002","0,0002","0,0012","< 0,007"
S-02,"46,0903","-73,0724",2016-06-14,"0,045","0,0009",2400,"4,54",< 1,70,"8,01","0,25","0,4","7,87","0,031","0,34","< 0,0005","< 0,0001","0,0005","0,02","< 0,0001","< 0,0001","18,7","0,0009","0,0002","0,0015","< 0,001","0,432","4,86","0,0179","< 0,025","< 0,001","0,0008","0,0003","1,18","< 0,0005","8,29","< 0,0002","0,0002","0,0009","< 0,007"
S-03,"46,0838","-73,0616",2016-06-14,"0,043","0,0012",4800,"3,63",< 1,90,"5,51","0,27","< 0,4","8,01","0,021","0,232","< 0,0005","< 0,0001","0,0006","0,021","< 0,0001","< 0,0001","24,6","0,0006","0,0002","0,0015","< 0,001","0,288","6,32","0,0109","< 0,025","< 0,001","0,0008","0,0002","1,34","< 0,0005","10,4","< 0,0002","0,0003","0,0007","< 0,007"
S-04,"46,1144","-73,0386",2016-06-14,"0,065","0,0012",3700,"4,31",< 1,83,"11,9","0,26","0,4","7,85","0,035","0,458","< 0,0005","< 0,0001","0,0005","0,023","< 0,0001","< 0,0001","21,1","0,0011","0,0003","0,0017","< 0,001","0,587","5,58","0,0348","< 0,025","< 0,001","0,001","0,0005","1,29","< 0,0005","9,16","< 0,0002","0,0002","0,0011","< 0,007"
S-05,"46,1061","-73,0343",2016-06-14,"0,046","0,0011",2800,"4,11",< 1,78,"5,87","0,26","< 0,4","7,95","0,026","0,28","< 0,0005","< 0,0001","0,0005","0,02","< 0,0001","< 0,0001","22,1","0,0007","0,0002","0,0014","< 0,001","0,357","5,65","0,015","< 0,025","< 0,001","0,0007","0,0003","1,25","< 0,0005","9,34","< 0,0002","0,0002","0,0008","< 0,007"
S-06,"46,1108","-72,9951",2016-06-14,"0,041","0,00073",2700,"4,38",< 1,82,"3,69","0,2","< 0,4","7,82","0,025","0,197","< 0,0005","< 0,0001","0,0006","0,02","< 0,0001","< 0,0001","23,4","0,0005","0,0001","0,0012","< 0,001","0,311","5,99","0,0107","< 0,025","< 0,001","0,0007","< 0,0002","1,05","< 0,0005","9,73","< 0,0002","0,0002","0,0007","< 0,007"
S-07,"46,1271","-72,9905",2016-06-14,"0,053","0,0012",2600,"4,33",< 1,77,"7,5","0,25","< 0,4","7,94","0,027","0,3","< 0,0005","< 0,0001","0,0006","0,02","< 0,0001","< 0,0001","21,6","0,0007","0,0002","0,0014","< 0,001","0,374","5,58","0,0201","< 0,025","< 0,001","0,0008","0,0003","1,26","< 0,0005","9,3","< 0,0002","0,0002","0,0008","< 0,007"
S-08,"46,1458","-72,9797",2016-06-14,"0,036","0,00063",590,"4,45",< 1,74,"3,35","0,26","< 0,4","7,81","0,024","0,195","< 0,0005","< 0,0001","0,0005","0,02","< 0,0001","< 0,0001","20,9","0,0007","0,0001","0,0013","< 0,001","0,316","5,31","0,0152","< 0,025","< 0,001","0,0007","0,0003","1,12","< 0,0005","8,81","< 0,0002","0,0002","0,0006","< 0,007"
S-09,"46,123","-73,0759",2016-06-14,"0,065","0,00095",1800,"5,20",< 1,55,"18,4","0,26","0,4","7,73","0,05","0,701","< 0,0005","< 0,0001","0,0005","0,023","< 0,0001","< 0,0001","14,9","0,0016","0,0004","0,0021","< 0,001","0,887","4,01","0,043","< 0,025","< 0,001","0,0014","0,0007","1,13","< 0,0005","6,99","< 0,0002","0,0002","0,0017","< 0,007"
