OBJECTID,LONGEUR,TYPE,GEOM
1691,,,Ligne
1692,,,Ligne
1693,,,Ligne
1694,,,Ligne
1695,,,Ligne
1696,,,Ligne
1697,,,Ligne
1698,,,Ligne
1699,,,Ligne
1700,,,Ligne
1701,,,Ligne
1702,,,Ligne
1703,,,Ligne
1704,,,Ligne
1705,,,Ligne
1706,,,Ligne
1707,,,Ligne
1708,,,Ligne
1709,,,Ligne
1710,,,Ligne
1711,,,Ligne
1712,,,Ligne
1713,,,Ligne
1714,,,Ligne
1715,,,Ligne
1716,,,Ligne
1717,,,Ligne
1718,,,Ligne
1719,,,Ligne
1720,,,Ligne
1721,,,Ligne
1722,,,Ligne
1723,,,Ligne
1724,,,Ligne
1725,,,Ligne
1726,,,Ligne
1727,,,Ligne
1728,,,Ligne
1729,,,Ligne
1730,,,Ligne
1731,,,Ligne
1732,,,Ligne
1733,,,Ligne
1734,,,Ligne
1735,,,Ligne
1736,,,Ligne
1737,,,Ligne
1738,,,Ligne
2136,,,Ligne
2137,,,Ligne
2138,,,Ligne
2139,,,Ligne
2140,,,Ligne
2141,,,Ligne
2142,,,Ligne
2143,,,Ligne
2144,,,Ligne
2145,,,Ligne
2146,,,Ligne
2147,,,Ligne
2148,,,Ligne
2149,,,Ligne
2150,,,Ligne
2151,,,Ligne
2152,,,Ligne
2153,,,Ligne
2154,,,Ligne
2155,,,Ligne
2156,,,Ligne
2157,,,Ligne
2165,,,Ligne
2166,,,Ligne
613,12,2,Ligne
614,13,2,Ligne
615,9,2,Ligne
616,398,2,Ligne
617,15,2,Ligne
618,8,2,Ligne
619,8,2,Ligne
620,13,2,Ligne
621,8,2,Ligne
622,8,2,Ligne
623,8,2,Ligne
624,14,2,Ligne
625,11,2,Ligne
626,8,2,Ligne
627,8,2,Ligne
628,7,2,Ligne
629,7,2,Ligne
630,14,2,Ligne
631,16,2,Ligne
632,12,2,Ligne
633,10,2,Ligne
634,11,2,Ligne
635,10,2,Ligne
636,11,2,Ligne
637,6,2,Ligne
638,9,2,Ligne
639,9,2,Ligne
640,20,2,Ligne
641,10,2,Ligne
642,8,2,Ligne
643,13,2,Ligne
644,8,2,Ligne
645,10,2,Ligne
646,8,2,Ligne
647,8,2,Ligne
648,15,2,Ligne
649,7,2,Ligne
650,8,2,Ligne
651,15,2,Ligne
652,9,2,Ligne
653,15,2,Ligne
654,10,2,Ligne
655,10,2,Ligne
656,13,2,Ligne
657,14,2,Ligne
658,19,2,Ligne
659,14,2,Ligne
660,10,2,Ligne
661,16,2,Ligne
