"Cote/Titre","Dates","Fichier jpg - 300 dpi (CLIQUEZ SUR LE LIEN)","Mention de crédits"
"Carte index générale","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/CarteIndex-1947-1949.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-01.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-01.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-02.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-02.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-03.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-03.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-04.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-04.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-05.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-05.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-06.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-06.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-07.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-07.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-08.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-08.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-09.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-09.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-10.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-10.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-11.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-11.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-12.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-12.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-13.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-13.jpg","Archives de la Ville de Montréal"
"VM97-3_7P1-14.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P1-14.jpg","Archives de la Ville de Montréal"
"VM97-3_7P2-01.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P2-01.jpg","Archives de la Ville de Montréal"
"VM97-3_7P2-02.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P2-02.jpg","Archives de la Ville de Montréal"
"VM97-3_7P2-03.jpg","1947-1949","http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P2-03.jpg","Archives de la Ville de Montréal"
