ï»¿OBJECTID,NOM,CODE,TYPE_ARRET,LATITUDE,LONGITUDE,SEM_SEUL,FDS_SEUL,FDS_VERS_B,SEM_VERS_B,SEM_VERS_T,FDS_VERS_T,SEM_Corr_M,FDS_Corr_M,SEM_DEP_M,FDS_DEP_M,M_VERS_G,TYPE_POINTEUR,GEOM
248,0060,0060,Taxibus - Zone bleue,"48,4809979309195","-68,5033621046671","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
218,0061,0061,Taxibus - Zone bleue,"48,478280704469","-68,5031070492557","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
224,0062,0062,Taxibus - Zone bleue,"48,4790344244272","-68,5066002695256","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
225,0063,0063,Taxibus - Zone bleue,"48,4782084395485","-68,5050005070174","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
231,0064,0064,Taxibus - Zone bleue,"48,4773314072368","-68,5093175762332","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
244,0065,0065,Taxibus - Zone bleue,"48,4778533383119","-68,5118843674271","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
241,0066,0066,Taxibus - Zone bleue,"48,4753710023331","-68,5122338666336","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
260,0068,0068,Taxibus - Zone bleue,"48,4739580631846","-68,5140509876014","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
233,0069,0069,Taxibus - Zone bleue,"48,4726184555391","-68,5149057042274","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
214,0071,0071,Taxibus - Zone bleue,"48,4719759554109","-68,5134585043857","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
254,0151,0151,Taxibus - Zone bleue,"48,4857058738985","-68,4946434931382","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
251,0152,0152,Taxibus - Zone bleue,"48,4854812137139","-68,4956395736621","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
249,0153,0153,Taxibus - Zone bleue,"48,4873763484337","-68,4916715441193","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
228,0154,0154,Taxibus - Zone bleue,"48,4876452362756","-68,4922011041018","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
250,0155,0155,Taxibus - Zone bleue,"48,4911047088796","-68,4863115715155","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
215,0157,0157,Taxibus - Zone bleue,"48,4877709245096","-68,4867237659063","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20, 17:50, 18:20, 18:50, 19:20, 19:50, 20:20, 20:50, 21:20, 21:50","07:20, 07:50, 08:20, 08:50, 09:20, 09:50, 10:20, 10:50, 11:20, 11:50, 12:20, 12:50, 13:20, 13:50, 14:20, 14:50, 15:20, 15:50, 16:20, 16:50, 17:20","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:50, 10:50, 11:20, 11:50, 12:20, 12:50, 13:50, 14:50, 15:50, 16:20, 16:50, 17:20, 17:50, 18:50, 19:50, 20:50,  21:50","06:50, 07:20, 07:50, 08:20, 08:50, 09:20, 10:20, 11:20, 11:50, 12:20, 12:50, 13:20, 14:20, 15:20, 16:20, 16:50, 17:20, 17:50, 18:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20, 18:20","08:50, 09:50, 12:50, 13:50, 14:50, 17:50, 18:50, 19:50, 20:50,  21:50","07:50, 08:50, 09:50, 10:50, 11:50, 12:50, 13:50, 14:50, 15:50, 16:50","10:20, 14:20, 15:20, 19:20, 20:20, 21:20, 23:20","07:20, 08:20, 09:20, 10:20, 11:20, 12:20, 13:20, 14:20, 15:20, 16:20, 17:20","08:20, 12:20, 17:20",,Point
