annee,reg_n,num_c,num_n,num_d,coord_x,coord_y,indice_fuites_ifi,indice_fuites_ifi_reg,indice_fuites_ifi_cpop,indice_fuites_ifi_qc,pertes_eau_reelles,pertes_eau_reelles_inev,pression_moy,nb_fuites_reparees,pourc_reseau_ausculte,long_reseau_km
2018,Bas-Saint-Laurent,13090,Saint-Honoré-de-Témiscouata,M,-69.193688532385,47.66387907,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,13095,Pohénégamook,V,-69.2887601427956,47.521151489,4.9,1.9,2.8,6.0,253,52,74,5,100.00,42.058
2018,Bas-Saint-Laurent,13100,Saint-Athanase,M,-69.4188855976675,47.4116747135,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,14005,Mont-Carmel,M,-69.7156623955478,47.296969052,2.1,1.9,2.1,6.0,10,5,30,0,0.00,8.575
2018,Bas-Saint-Laurent,14010,Saint-Bruno-de-Kamouraska,M,-69.6850107274051,47.452361215,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,14018,Saint-Pascal,V,-69.7864883071573,47.5209368005,0.6,1.9,2.8,6.0,21,33,56,25,0.00,28.800
2018,Bas-Saint-Laurent,14025,Sainte-Hélène-de-Kamouraska,M,-69.715755179767,47.571692669,0.8,1.9,2.1,6.0,4,5,35,0,0.00,6.789
2018,Bas-Saint-Laurent,14030,Saint-Joseph-de-Kamouraska,P,-69.6057006317653,47.5875993585,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,14035,Saint-Alexandre-de-Kamouraska,M,-69.5787658139203,47.6668604755,2.2,1.9,2.8,6.0,37,17,56,0,0.00,15.234
2018,Bas-Saint-Laurent,14040,Saint-André,M,-69.7691410533905,47.7984757895,1.5,1.9,2.1,6.0,5,3,42,1,0.00,3.280
2018,Bas-Saint-Laurent,14045,Saint-Germain,P,-69.831601145085,47.6308568165,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,14050,Kamouraska,M,-69.8960083398299,47.5750195305,1.6,1.9,2.1,6.0,11,7,56,0,0.00,4.944
2018,Bas-Saint-Laurent,14055,Saint-Denis-De La Bouteillerie,M,-69.9718135109972,47.5312176535,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,14060,Saint-Philippe-de-Néri,P,-69.8802854062257,47.467173637,0.9,1.9,2.1,6.0,8,8,51,0,0.00,5.916
2018,Bas-Saint-Laurent,14065,Rivière-Ouelle,M,-70.0539555968078,47.477621442,1.3,1.9,2.1,6.0,16,12,56,0,0.00,16.986
2018,Bas-Saint-Laurent,14070,Saint-Pacôme,M,-69.9425920816068,47.410478464,1.1,1.9,2.8,6.0,17,15,53,0,0.00,17.155
2018,Bas-Saint-Laurent,14075,Saint-Gabriel-Lalemant,M,-69.8722436876293,47.3566022995,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,14080,Saint-Onésime-d'Ixworth,M,-69.9359950303974,47.2967142005,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,14085,La Pocatière,V,-70.0317768054412,47.3801240205,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,14090,Sainte-Anne-de-la-Pocatière,P,-69.9943028134969,47.3605951375,1.3,1.9,2.1,6.0,8,6,50,2,0.00,7.556
2018,Capitale-Nationale,15005,Saint-Irénée,P,-70.1630013204149,47.522295394,1.3,4.0,2.1,6.0,8,6,51,1,100.00,5.960
2018,Capitale-Nationale,15013,La Malbaie,V,-70.0362493837255,47.711469168,2.4,4.0,3.2,6.0,404,167,78,18,21.00,97.215
2018,Capitale-Nationale,15025,Notre-Dame-des-Monts,M,-70.3999228783031,47.6663444885,1.1,4.0,2.1,6.0,7,6,56,0,99.00,4.756
2018,Capitale-Nationale,15030,Saint-Aimé-des-Lacs,M,-70.3627199720322,47.7159394955,0.6,4.0,2.1,6.0,4,8,70,0,0.00,7.153
2018,Capitale-Nationale,15035,Clermont,V,-70.2352979300854,47.7155418865,1.4,4.0,2.8,6.0,63,46,59,7,20.00,34.560
2018,Capitale-Nationale,15058,Saint-Siméon,M,-69.9115934982189,47.8773648915,3.1,4.0,2.1,6.0,39,13,53,4,15.00,14.291
2018,Capitale-Nationale,15065,Baie-Sainte-Catherine,M,-69.7757132646736,48.087957756,1.3,4.0,2.1,6.0,6,5,44,3,0.00,6.596
2018,Capitale-Nationale,16005,Petite-Rivière-Saint-François,M,-70.6096433979576,47.309689903,0.5,4.0,2.1,6.0,11,21,70,0,0.00,18.200
2018,Capitale-Nationale,16013,Baie-Saint-Paul,V,-70.7038930328305,47.3946404565,1.2,4.0,3.2,6.0,85,69,51,5,0.00,57.601
