annee,cl_pop_desservie,pop_desservie,mun_c,mun_n,mun_d,coord_x,coord_y,pourc_indice_validite,pourc_indice_validite_reg,pourc_indice_validite_cpop,pourc_indice_validite_qc,nresid_compt_relv,nresid_compt,resid_compt_relv,resid_scompt,pourc_brchm_nresid_compt
2019,0 à 999 personnes,893,31056,ADSTOCK,M,-71.10805438564856,46.04677842177698,70,58.00000000,56.00000000,58.00000000,25,0,475,0,1.00000000
2019,0 à 999 personnes,246,98030,AGUANISH,M,-62.34786027232956,50.338798775811796,59,57.00000000,56.00000000,58.00000000,0,0,0,182,0.00000000
2019,0 à 999 personnes,429,78070,AMHERST,CT,-74.76980421265053,46.038955296754246,58,57.00000000,56.00000000,58.00000000,0,0,0,167,0.00000000
2019,0 à 999 personnes,868,19037,ARMAGH,M,-70.58873305545767,46.75028754601779,59,58.00000000,56.00000000,58.00000000,0,0,0,434,0.00000000
2019,0 à 999 personnes,753,41055,ASCOT CORNER,M,-71.7678385453476,45.46182014478537,56,58.00000000,56.00000000,58.00000000,8,0,0,270,0.88900000
2019,0 à 999 personnes,240,13045,AUCLAIR,M,-68.66276778826774,47.74518764496846,59,56.00000000,56.00000000,58.00000000,0,0,0,99,0.00000000
2019,0 à 999 personnes,311,30055,AUDET,M,-70.72071572322427,45.64226869840158,56,58.00000000,56.00000000,58.00000000,12,0,117,0,1.00000000
2019,0 à 999 personnes,362,8080,BAIE-DES-SABLES,M,-67.86009585361214,48.70847297448452,59,56.00000000,56.00000000,58.00000000,0,0,0,174,0.00000000
2019,0 à 999 personnes,950,50100,BAIE-DU-FEBVRE,M,-72.72554453256484,46.13804296769545,74,60.00000000,56.00000000,58.00000000,70,11,470,0,1.00000000
2019,0 à 999 personnes,86,98035,BAIE-JOHAN-BEETZ,M,-62.739699766661204,50.337323633406065,59,57.00000000,56.00000000,58.00000000,0,0,0,55,0.00000000
2019,0 à 999 personnes,188,15065,BAIE-SAINTE-CATHERINE,M,-69.83358272881974,48.0797131173453,54,57.00000000,56.00000000,58.00000000,19,7,14,124,1.00000000
2019,0 à 999 personnes,280,96005,BAIE-TRINITÉ,VL,-67.35103017669854,49.45218516466617,58,57.00000000,56.00000000,58.00000000,2,0,0,199,0.08000000
2019,0 à 999 personnes,634,85020,BÉARN,M,-79.1002342212976,47.237645383510134,61,58.00000000,56.00000000,58.00000000,15,9,16,242,0.85700000
2019,0 à 999 personnes,315,31008,BEAULAC-GARTHBY,M,-71.40080512484151,45.83315742308066,59,58.00000000,56.00000000,58.00000000,0,0,0,198,0.00000000
2019,0 à 999 personnes,581,94250,BÉGIN,M,-71.32208891451383,48.69119528657549,59,55.00000000,56.00000000,58.00000000,0,0,0,294,0.00000000
2019,0 à 999 personnes,262,13055,BIENCOURT,M,-68.56959402454368,47.92859395824035,59,56.00000000,56.00000000,58.00000000,0,0,0,122,0.00000000
2019,0 à 999 personnes,302,42040,BONSECOURS,M,-72.29333685979412,45.41200750346524,64,58.00000000,56.00000000,58.00000000,0,15,0,78,0.75000000
2019,0 à 999 personnes,860,78075,BRÉBEUF,P,-74.67578118542733,46.082902914134685,59,57.00000000,56.00000000,58.00000000,0,0,0,311,0.00000000
2019,0 à 999 personnes,498,59030,CALIXA-LAVALLÉE,M,-73.26275378676266,45.750649509671625,64,60.00000000,56.00000000,58.00000000,8,0,200,0,1.00000000
2019,0 à 999 personnes,721,51080,CHARETTE,M,-72.94012949026542,46.43566633475949,58,59.00000000,56.00000000,58.00000000,3,0,1,300,0.09700000
2019,0 à 999 personnes,246,82025,CHELSEA,M,-75.85834789049274,45.538177155139195,49,51.00000000,56.00000000,58.00000000,59,0,0,0,1.00000000
2019,0 à 999 personnes,609,80103,CHÉNÉVILLE,M,-75.00338937994343,45.901776557176085,52,51.00000000,56.00000000,58.00000000,0,3,0,256,0.03600000
2019,0 à 999 personnes,535,62047,CHERTSEY,M,-73.87241871215498,46.11370838391758,59,59.00000000,56.00000000,58.00000000,0,0,0,153,0.00000000
2019,0 à 999 personnes,435,39030,CHESTERVILLE,M,-71.78079786175414,45.96855686290544,53,60.00000000,56.00000000,58.00000000,17,1,153,0,0.90000000
2019,0 à 999 personnes,492,30090,COURCELLES,M,-70.97714038588263,45.88820393102711,52,58.00000000,56.00000000,58.00000000,23,2,213,7,1.00000000
2019,0 à 999 personnes,829,38070,DESCHAILLONS-SUR-SAINT-LAURENT,M,-72.12315955803223,46.52917019154323,58,60.00000000,56.00000000,58.00000000,62,1,2,443,1.00000000
2019,0 à 999 personnes,224,44023,DIXVILLE,M,-71.7460317436297,45.051803095658705,61,58.00000000,56.00000000,58.00000000,0,0,0,88,0.00000000
2019,0 à 999 personnes,271,41117,DUDSWELL,M,-71.57963044886556,45.60621936626187,57,58.00000000,56.00000000,58.00000000,0,0,0,127,0.00000000
2019,0 à 999 personnes,55,80135,DUHAMEL,M,-75.21724402710605,46.094375947647954,53,51.00000000,56.00000000,58.00000000,0,1,0,45,0.25000000
2019,0 à 999 personnes,606,87085,DUPUY,M,-79.36808380425362,48.821941667868224,58,58.00000000,56.00000000,58.00000000,0,0,0,260,0.00000000
2019,0 à 999 personnes,571,49015,DURHAM-SUD,M,-72.32819108958209,45.65249323702708,45,60.00000000,56.00000000,58.00000000,0,0,0,227,0.00000000
2019,0 à 999 personnes,83,44010,EAST HEREFORD,M,-71.53652647655153,45.07353557179339,45,58.00000000,56.00000000,58.00000000,0,0,0,40,0.00000000
