annee,cl_pop_desservie,pop_desservie,mun_c,mun_n,mun_d,coord_x,coord_y,pourc_indice_validite,pourc_indice_validite_reg,pourc_indice_validite_cpop,pourc_indice_validite_qc,nresid_compt_relv,nresid_compt,resid_compt_relv,resid_scompt,pourc_brchm_nresid_compt
2022,0 à 999 personnes,263,98030,AGUANISH,M,-62.34786027143591,50.33879877723811,58,56.66245970,56.54965787,59.00000000,0,0,0,146,0.00000000
2022,0 à 999 personnes,405,78070,AMHERST,CT,-74.76980421080071,46.03895529419673,59,59.72846459,56.54965787,59.00000000,0,0,0,155,0.00000000
2022,0 à 999 personnes,950,19037,ARMAGH,M,-70.58873306023106,46.750287545459095,59,59.91415697,56.54965787,59.00000000,0,0,0,434,0.00000000
2022,0 à 999 personnes,861,41055,ASCOT CORNER,M,-71.76783854312751,45.46182014722837,61,59.80897674,56.54965787,59.00000000,8,1,16,278,1.00000000
2022,0 à 999 personnes,281,13045,AUCLAIR,M,-68.66276778660091,47.74518764440723,59,58.73861785,56.54965787,59.00000000,0,0,0,84,0.00000000
2022,0 à 999 personnes,348,30055,AUDET,M,-70.72071572142443,45.642268698844546,69,59.80897674,56.54965787,59.00000000,17,0,115,0,1.00000000
2022,0 à 999 personnes,456,8080,BAIE-DES-SABLES,M,-67.86009585721169,48.70847297491985,59,58.73861785,56.54965787,59.00000000,0,0,0,158,0.00000000
2022,0 à 999 personnes,116,98035,BAIE-JOHAN-BEETZ,M,-62.739699767538575,50.33732363633275,59,56.66245970,56.54965787,59.00000000,0,5,0,44,0.55555556
2022,0 à 999 personnes,184,15065,BAIE-SAINTE-CATHERINE,M,-69.83358273120162,48.07971311778294,41,57.26222567,56.54965787,59.00000000,18,8,20,124,1.00000000
2022,0 à 999 personnes,330,96005,BAIE-TRINITÉ,VL,-67.35103017885389,49.45218516509778,61,56.66245970,56.54965787,59.00000000,2,0,0,156,0.06666667
2022,0 à 999 personnes,690,85020,BÉARN,M,-79.10023422041293,47.23764538695039,61,59.17761130,56.54965787,59.00000000,20,5,17,255,0.89285714
2022,0 à 999 personnes,682,94250,BÉGIN,M,-71.32208891592778,48.69119528901115,60,58.93013682,56.54965787,59.00000000,10,0,0,295,0.58823529
2022,0 à 999 personnes,271,13055,BIENCOURT,M,-68.56959402435818,47.92859396017842,59,58.73861785,56.54965787,59.00000000,0,0,0,123,0.00000000
2022,0 à 999 personnes,378,42040,BONSECOURS,M,-72.29333685908499,45.41200750540823,64,59.80897674,56.54965787,59.00000000,0,11,0,115,0.78571429
2022,0 à 999 personnes,983,78075,BRÉBEUF,P,-74.67578118496998,46.082902917077135,59,59.72846459,56.54965787,59.00000000,0,0,0,320,0.00000000
2022,0 à 999 personnes,554,59030,CALIXA-LAVALLÉE,M,-73.26275378552613,45.75064950711453,71,61.33203473,56.54965787,59.00000000,8,0,202,0,1.00000000
2022,0 à 999 personnes,939,84030,CAMPBELL'S BAY,M,-76.59667139383443,45.7324375027782,56,54.75790515,56.54965787,59.00000000,0,0,0,400,0.00000000
2022,0 à 999 personnes,875,51080,CHARETTE,M,-72.94012949185894,46.435666333701576,60,59.07349606,56.54965787,59.00000000,1,1,0,326,0.06666667
2022,0 à 999 personnes,619,80103,CHÉNÉVILLE,M,-75.00338938230671,45.90177655811866,59,54.75790515,56.54965787,59.00000000,0,2,0,259,0.02985075
2022,0 à 999 personnes,831,56010,CLARENCEVILLE,M,-73.19800326530051,45.03501424743586,40,61.33203473,56.54965787,59.00000000,52,0,342,0,1.00000000
2022,0 à 999 personnes,629,95050,COLOMBIER,M,-68.95169363898452,48.88066977945113,58,56.66245970,56.54965787,59.00000000,0,0,0,240,0.00000000
2022,0 à 999 personnes,248,98015,CÔTE-NORD-DU-GOLFE-DU-SAINT-LAURENT,M,-59.77187204039678,50.483864082206075,60,56.66245970,56.54965787,59.00000000,15,1,82,0,0.94117647
2022,0 à 999 personnes,533,30090,COURCELLES,M,-70.9771403849448,45.88820393196985,71,59.80897674,56.54965787,59.00000000,25,0,213,0,1.00000000
2022,0 à 999 personnes,413,83070,DÉLÉAGE,M,-75.83004593840306,46.37190113482665,48,54.75790515,56.54965787,59.00000000,2,0,0,163,0.25000000
2022,0 à 999 personnes,960,38070,DESCHAILLONS-SUR-SAINT-LAURENT,M,-72.12315955572126,46.529170196985085,57,60.81700369,56.54965787,59.00000000,64,1,9,446,1.00000000
2022,0 à 999 personnes,325,44023,DIXVILLE,M,-71.74603174037273,45.051803101101804,62,59.80897674,56.54965787,59.00000000,13,0,0,106,1.00000000
2022,0 à 999 personnes,363,41117,DUDSWELL,M,-71.57963044659687,45.60621936320484,56,59.80897674,56.54965787,59.00000000,0,0,0,104,0.00000000
2022,0 à 999 personnes,74,80135,DUHAMEL,M,-75.21724402850857,46.09437594509052,55,54.75790515,56.54965787,59.00000000,0,0,0,42,0.00000000
2022,0 à 999 personnes,598,87005,DUPARQUET,V,-79.19067496320109,48.466844113817054,59,59.17761130,56.54965787,59.00000000,0,0,0,254,0.00000000
2022,0 à 999 personnes,668,87085,DUPUY,M,-79.36808380473647,48.821941665802875,59,59.17761130,56.54965787,59.00000000,0,0,0,248,0.00000000
2022,0 à 999 personnes,712,49015,DURHAM-SUD,M,-72.32819108977012,45.65249323846956,59,60.81700369,56.54965787,59.00000000,0,0,0,180,0.00000000
2022,0 à 999 personnes,108,44010,EAST HEREFORD,M,-71.53652647306662,45.07353556873658,38,59.80897674,56.54965787,59.00000000,0,0,0,36,0.00000000
2022,0 à 999 personnes,757,45093,EASTMAN,M,-72.30510843462285,45.33455060205844,62,59.80897674,56.54965787,59.00000000,28,0,16,325,0.66666667
2022,0 à 999 personnes,84,77011,ESTÉREL,V,-74.02871415754693,46.04614555440352,60,59.72846459,56.54965787,59.00000000,1,0,0,31,1.00000000
2022,0 à 999 personnes,772,80005,FASSETT,M,-74.83941224300844,45.65286430507345,31,54.75790515,56.54965787,59.00000000,0,0,0,302,0.00000000
2022,0 à 999 personnes,125,94220,FERLAND-ET-BOILLEAU,M,-70.8152511290973,48.160383828689405,58,58.93013682,56.54965787,59.00000000,0,0,0,54,0.00000000
