annee,reg_n,mun_c,mun_n,mun_d,coord_x,coord_y,consom_resid,consom_resid_reg,consom_resid_cpop,consom_resid_qb,nb_reseau_dist,pop_desservie,nb_resid_desservi,nb_pers_resid,vol_eau_dist,consom_resid_ml,qte_eau_pers,qte_eau_pers_prec,qte_eau_pers_reg,qte_eau_pers_cpop,qte_eau_pers_qc
2018,Bas-Saint-Laurent,07065,Saint-Alexandre-des-Lacs,P,-67.2777615191857,48.4788111715,146,278,252,268,1,166,77.00,2.15,12,9,199,,454,425,536
2018,Bas-Saint-Laurent,07070,Saint-Tharcisius,P,-67.3070983627701,48.544004886,103,278,252,268,1,208,98.00,2.12,11,8,150,186,454,425,536
2018,Bas-Saint-Laurent,07075,Saint-Vianney,M,-67.418547937376,48.6195321035,232,278,252,268,1,288,152.00,1.90,35,24,335,325,454,425,536
2018,Bas-Saint-Laurent,07080,Val-Brillant,M,-67.5598575209743,48.524260309,258,278,252,268,1,544,267.00,2.04,96,51,483,541,454,425,536
2018,Bas-Saint-Laurent,07085,Sayabec,M,-67.6767232621904,48.595519712,,278,,268,,,,,,,,497,454,,536
2018,Bas-Saint-Laurent,07090,Saint-Cléophas,P,-67.7295008177731,48.485164844,250,278,252,268,1,157,66.00,2.38,28,14,486,,454,425,536
2018,Bas-Saint-Laurent,07095,Saint-Moïse,P,-67.8497643001613,48.524861119,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,07100,Saint-Noël,VL,-67.8262133614664,48.603439563,140,278,252,268,1,353,172.00,2.05,32,18,248,236,454,425,536
2018,Bas-Saint-Laurent,07105,Saint-Damase,P,-67.7813914754886,48.656446769,,278,,268,,,,,,,,238,454,,536
2018,Bas-Saint-Laurent,08005,Les Méchins,M,-66.8822719024315,48.931876693,211,278,252,268,1,685,397.00,1.73,327,53,1308,,454,425,536
2018,Bas-Saint-Laurent,08010,Saint-Jean-de-Cherbourg,P,-67.1045459304659,48.845152818,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,08015,Grosses-Roches,M,-67.1608426321762,48.9171282705,348,278,252,268,1,276,160.00,1.72,46,35,461,332,454,425,536
2018,Bas-Saint-Laurent,08023,Sainte-Félicité,M,-67.290936135027,48.882378795,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,08030,Saint-Adelme,P,-67.3093259004558,48.8166638205,227,278,252,268,1,164,74.00,2.21,18,14,302,283,454,425,536
2018,Bas-Saint-Laurent,08035,Saint-René-de-Matane,M,-67.3454257914391,48.723238094,198,278,252,268,1,262,119.00,2.20,28,19,296,308,454,425,536
2018,Bas-Saint-Laurent,08040,Sainte-Paule,M,-67.5341895350189,48.6689376805,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,08053,Matane,V,-67.4872737152448,48.799319831,,278,,268,,,,,,,,536,454,,536
2018,Bas-Saint-Laurent,08065,Saint-Léandre,P,-67.5962709359827,48.709816312,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,08073,Saint-Ulric,M,-67.7026546409236,48.748399351,294,278,252,268,1,632,372.00,1.70,84,68,362,,454,425,536
2018,Bas-Saint-Laurent,08080,Baie-des-Sables,M,-67.8625956166573,48.7071762925,150,278,252,268,1,362,213.00,1.70,25,20,186,159,454,425,536
2018,Bas-Saint-Laurent,09005,La Rédemption,P,-67.8931198426695,48.4233797675,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,09010,Saint-Charles-Garnier,P,-68.0278496373373,48.3313804145,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,09015,Les Hauteurs,M,-68.1017330496553,48.3662179045,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,09020,Sainte-Jeanne-d'Arc,P,-67.9788364007113,48.4673509615,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,09025,Saint-Gabriel-de-Rimouski,M,-68.1907601379852,48.4174013235,122,278,252,268,1,720,339.00,2.12,44,32,168,,454,425,536
2018,Bas-Saint-Laurent,09030,Saint-Donat,P,-68.239794360002,48.4924304365,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,09035,Sainte-Angèle-de-Mérici,M,-68.0824868716568,48.5046274325,297,278,252,268,1,970,468.00,2.07,182,105,514,,454,425,536
2018,Bas-Saint-Laurent,09040,Padoue,M,-67.9492709303253,48.5938397005,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,09048,Métis-sur-Mer,V,-68.1100259476364,48.735850216,296,278,252,268,1,359,184.00,1.95,132,39,1011,1094,454,425,536
2018,Bas-Saint-Laurent,09055,Saint-Octave-de-Métis,P,-68.033583134355,48.6029160545,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,09060,Grand-Métis,M,-68.0894170766614,48.6300471105,109,278,,268,1,,,,,,309,299,454,,536
2018,Bas-Saint-Laurent,09065,Price,VL,-68.1263833656171,48.6013384125,109,278,259,268,1,1616,778.00,2.08,185,65,309,299,454,487,536
2018,Bas-Saint-Laurent,09070,Saint-Joseph-de-Lepage,P,-68.1655071142206,48.559838592,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,09077,Mont-Joli,V,-68.1800528330374,48.585668248,357,278,308,268,1,6044,3001.00,2.01,974,787,442,420,454,501,536
2018,Bas-Saint-Laurent,09085,Sainte-Flavie,P,-68.2343214620286,48.5997591575,195,278,252,268,2,863,447.00,1.93,133,61,421,331,454,425,536
2018,Bas-Saint-Laurent,09092,Sainte-Luce,M,-68.3337857026383,48.534425449,181,278,259,268,2,3263,1447.00,2.26,373,216,313,340,454,487,536
2018,Bas-Saint-Laurent,10005,Esprit-Saint,M,-68.5322949802481,48.047619982,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,10010,La Trinité-des-Monts,P,-68.4184756040237,48.1313495015,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,10015,Saint-Narcisse-de-Rimouski,P,-68.4672054341229,48.250872993,,278,,268,,,,,,,,185,454,,536
2018,Bas-Saint-Laurent,10025,Saint-Marcellin,P,-68.2842475169472,48.337497089,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,10030,Saint-Anaclet-de-Lessard,P,-68.374191519013,48.442226485,260,278,259,268,1,2008,841.00,2.39,215,190,293,251,454,487,536
2018,Bas-Saint-Laurent,10043,Rimouski,V,-68.6652504175447,48.4078333115,360,278,275,268,4,46368,22512.00,2.06,7944,6101,469,493,454,466,536
2018,Bas-Saint-Laurent,10060,Saint-Valérien,P,-68.6224303801402,48.2994250825,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,10070,Saint-Fabien,P,-68.8588530451159,48.285251974,,278,,268,,,,,,,,509,454,,536
2018,Bas-Saint-Laurent,10075,Saint-Eugène-de-Ladrière,P,-68.6903453449416,48.1871304145,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,11005,Saint-Clément,M,-69.0948270090422,47.9225243395,162,278,252,268,1,243,135.00,1.80,19,14,217,228,454,425,536
2018,Bas-Saint-Laurent,11010,Saint-Jean-de-Dieu,M,-69.0222371959349,47.9953347165,205,278,259,268,1,1255,573.00,2.19,118,94,257,215,454,487,536
2018,Bas-Saint-Laurent,11015,Sainte-Rita,M,-68.8770192984167,47.948467865,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,11020,Saint-Guy,M,-68.759589765354,48.039768669,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,11025,Saint-Médard,M,-68.8685098923758,48.0749832735,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,11030,Sainte-Françoise,P,-69.0439332223529,48.0750518975,203,278,252,268,1,145,92.00,1.58,12,11,230,,454,425,536
2018,Bas-Saint-Laurent,11035,Saint-Éloi,P,-69.2028627754527,48.0324274625,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,11040,Trois-Pistoles,V,-69.1713460459229,48.128581282,,278,,268,,,,,,,,414,454,,536
2018,Bas-Saint-Laurent,11045,Notre-Dame-des-Neiges,M,-69.1146803820148,48.111276015,,278,,268,,,,,,,,412,454,,536
2018,Bas-Saint-Laurent,11050,Saint-Mathieu-de-Rioux,P,-68.9637609153668,48.1686409405,178,278,252,268,1,284,157.00,1.81,25,18,246,275,454,425,536
2018,Bas-Saint-Laurent,11055,Saint-Simon,P,-69.0150806551298,48.211661492,270,278,252,268,1,227,116.00,1.96,28,22,338,,454,425,536
2018,Bas-Saint-Laurent,12005,Saint-Cyprien,M,-68.9708688206999,47.8755122965,1,278,252,268,1,791,396.00,2.00,91,61,24,214,454,425,536
2018,Bas-Saint-Laurent,12010,Saint-Hubert-de-Rivière-du-Loup,M,-69.1651812838482,47.7826564905,212,278,252,268,1,891,389.00,2.29,98,69,301,341,454,425,536
2018,Bas-Saint-Laurent,12015,Saint-Antonin,M,-69.4275172052721,47.7353008355,180,278,259,268,1,3101,1190.00,2.61,271,203,239,295,454,487,536
2018,Bas-Saint-Laurent,12020,Saint-Modeste,M,-69.3794756402672,47.813896693,168,278,252,268,2,669,233.00,2.87,46,41,188,166,454,425,536
2018,Bas-Saint-Laurent,12025,Saint-François-Xavier-de-Viger,M,-69.2465604819307,47.833514908,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,12030,Saint-Épiphane,M,-69.3056473220456,47.8986483005,161,278,252,268,1,535,264.00,2.03,40,31,205,159,454,425,536
2018,Bas-Saint-Laurent,12035,Saint-Paul-de-la-Croix,P,-69.1947112812953,47.9469460065,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,12043,L'Isle-Verte,M,-69.3195696045295,48.0514592455,182,278,252,268,1,962,474.00,2.03,79,64,225,229,454,425,536
2018,Bas-Saint-Laurent,12045,Notre-Dame-des-Sept-Douleurs,P,-69.4695454124961,48.0460733915,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,12057,Cacouna,M,-69.5276547980902,47.9436816415,183,278,259,268,1,1142,585.00,1.95,130,76,313,256,454,487,536
2018,Bas-Saint-Laurent,12065,Saint-Arsène,P,-69.4047660880454,47.911877438,121,278,252,268,1,803,315.00,2.55,61,36,209,214,454,425,536
2018,Bas-Saint-Laurent,12072,Rivière-du-Loup,V,-69.5370601521055,47.8423430355,157,278,275,268,1,21057,9155.00,2.30,3885,1210,505,485,454,466,536
2018,Bas-Saint-Laurent,12080,Notre-Dame-du-Portage,M,-69.6441552304303,47.779594488,158,278,252,268,1,175,85.00,2.06,13,10,211,193,454,425,536
2018,Bas-Saint-Laurent,13005,Dégelis,V,-68.5147818821977,47.6279551235,,278,,268,,,,,,,,573,454,,536
2018,Bas-Saint-Laurent,13010,Saint-Jean-de-la-Lande,M,-68.6724387577517,47.4313935985,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,13015,Packington,P,-68.8103545287611,47.4673042015,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,13020,Saint-Marc-du-Lac-Long,P,-68.8788941916713,47.4006740305,193,278,252,268,1,264,133.00,1.98,28,19,292,,454,425,536
2018,Bas-Saint-Laurent,13025,Rivière-Bleue,M,-68.9896292069108,47.4128573245,391,278,252,268,1,870,460.00,1.89,200,124,631,324,454,425,536
2018,Bas-Saint-Laurent,13030,Saint-Eusèbe,P,-68.9095413408945,47.536348812,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,13040,Saint-Juste-du-Lac,M,-68.7378601707235,47.722362047,180,278,252,268,1,150,80.00,1.88,12,10,223,228,454,425,536
2018,Bas-Saint-Laurent,13045,Auclair,M,-68.663733394171,47.7435525565,182,278,252,268,1,240,119.00,2.02,26,16,296,,454,425,536
2018,Bas-Saint-Laurent,13050,Lejeune,M,-68.5452540456987,47.7629167985,315,278,252,268,1,130,74.00,1.75,21,15,442,302,454,425,536
2018,Bas-Saint-Laurent,13055,Biencourt,M,-68.5697841024372,47.9293821015,248,278,252,268,1,261,147.00,1.78,32,24,336,339,454,425,536
2018,Bas-Saint-Laurent,13060,Lac-des-Aigles,M,-68.6798156675746,47.992717064,204,278,252,268,1,351,184.00,1.91,35,26,272,284,454,425,536
2018,Bas-Saint-Laurent,13065,Saint-Michel-du-Squatec,M,-68.7911765423518,47.8228945655,238,278,252,268,1,941,499.00,1.89,134,82,390,329,454,425,536
2018,Bas-Saint-Laurent,13073,Témiscouata-sur-le-Lac,V,-68.8778153666409,47.6729160935,362,278,259,268,2,4057,1981.00,2.05,943,536,637,,454,487,536
2018,Bas-Saint-Laurent,13075,Saint-Pierre-de-Lamy,M,-68.9870056345583,47.7843129895,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,13080,Saint-Louis-du-Ha! Ha!,P,-69.0051398034962,47.663888349,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,13085,Saint-Elzéar-de-Témiscouata,M,-69.0637879409396,47.567338887,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,13090,Saint-Honoré-de-Témiscouata,M,-69.193688532385,47.66387907,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,13095,Pohénégamook,V,-69.2887601427956,47.521151489,344,278,259,268,1,2096,1084.00,1.93,540,264,706,572,454,487,536
2018,Bas-Saint-Laurent,13100,Saint-Athanase,M,-69.4188855976675,47.4116747135,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,14005,Mont-Carmel,M,-69.7156623955478,47.296969052,282,278,252,268,1,573,259.00,2.21,76,59,365,352,454,425,536
2018,Bas-Saint-Laurent,14010,Saint-Bruno-de-Kamouraska,M,-69.6850107274051,47.452361215,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,14018,Saint-Pascal,V,-69.7864883071573,47.5209368005,327,278,259,268,1,2783,1310.00,2.12,455,332,448,364,454,487,536
2018,Bas-Saint-Laurent,14025,Sainte-Hélène-de-Kamouraska,M,-69.715755179767,47.571692669,216,278,252,268,1,527,239.00,2.20,48,41,249,206,454,425,536
2018,Bas-Saint-Laurent,14030,Saint-Joseph-de-Kamouraska,P,-69.6057006317653,47.5875993585,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,14035,Saint-Alexandre-de-Kamouraska,M,-69.5787658139203,47.6668604755,204,278,259,268,1,1543,610.00,2.53,331,115,587,521,454,487,536
2018,Bas-Saint-Laurent,14040,Saint-André,M,-69.7691410533905,47.7984757895,161,278,252,268,1,359,146.00,2.46,39,21,295,338,454,425,536
2018,Bas-Saint-Laurent,14045,Saint-Germain,P,-69.831601145085,47.6308568165,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,14050,Kamouraska,M,-69.8960083398299,47.5750195305,171,278,252,268,1,254,137.00,1.85,45,16,490,278,454,425,536
2018,Bas-Saint-Laurent,14055,Saint-Denis-De La Bouteillerie,M,-69.9718135109972,47.5312176535,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,14060,Saint-Philippe-de-Néri,P,-69.8802854062257,47.467173637,291,278,252,268,1,666,368.00,1.81,84,71,345,235,454,425,536
2018,Bas-Saint-Laurent,14065,Rivière-Ouelle,M,-70.0539555968078,47.477621442,217,278,252,268,1,562,274.00,2.05,86,44,418,424,454,425,536
2018,Bas-Saint-Laurent,14070,Saint-Pacôme,M,-69.9425920816068,47.410478464,200,278,259,268,1,1183,577.00,2.05,110,86,255,242,454,487,536
2018,Bas-Saint-Laurent,14075,Saint-Gabriel-Lalemant,M,-69.8722436876293,47.3566022995,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,14080,Saint-Onésime-d'Ixworth,M,-69.9359950303974,47.2967142005,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,14085,La Pocatière,V,-70.0317768054412,47.3801240205,,278,,268,,,,,,,,,454,,536
2018,Bas-Saint-Laurent,14090,Sainte-Anne-de-la-Pocatière,P,-69.9943028134969,47.3605951375,127,278,252,268,3,351,145.00,2.42,63,16,493,186,454,425,536
2018,Capitale-Nationale,15005,Saint-Irénée,P,-70.1630013204149,47.522295394,360,217,252,268,1,263,167.00,1.58,51,35,532,535,405,425,536
2018,Capitale-Nationale,15013,La Malbaie,V,-70.0362493837255,47.711469168,365,217,308,268,6,6341,3344.00,1.90,1477,844,638,585,405,501,536
2018,Capitale-Nationale,15025,Notre-Dame-des-Monts,M,-70.3999228783031,47.6663444885,174,217,252,268,1,855,378.00,2.26,64,54,204,173,405,425,536
2018,Capitale-Nationale,15030,Saint-Aimé-des-Lacs,M,-70.3627199720322,47.7159394955,380,217,252,268,1,479,198.00,2.42,74,67,421,411,405,425,536
