annee,reg_n,mun_c,mun_n,mun_d,coord_x,coord_y,pourc_indice_validite,pourc_indice_validite_reg,pourc_indice_validite_cpop,pourc_indice_validite_qc,nresid_compt_relv,nresid_scompt,resid_compt_relv,resid_scompt,pourc_brchm_nresid_compt
2021,Abitibi-Témiscamingue,88055,AMOS,V,-77.95722091757824,48.60993310346472,59,57.61309047,61.98563338,60.00000000,33,10,1,3930,0.08174905
2021,Abitibi-Témiscamingue,87050,AUTHIER,M,-78.82988524831381,48.75614201014235,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,87100,AUTHIER-NORD,M,-78.85131915444296,48.90115898297466,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,88022,BARRAUTE,M,-77.66923849144449,48.466926626429846,57,57.61309047,61.09552442,60.00000000,0,0,0,593,0.00000000
2021,Abitibi-Témiscamingue,85020,BÉARN,M,-79.1002342212976,47.237645383510134,61,57.61309047,59.03947305,60.00000000,19,6,18,255,0.89285714
2021,Abitibi-Témiscamingue,89050,BELCOURT,M,-77.43687828823747,48.39562506412124,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,85065,BELLETERRE,V,-78.73778738380254,47.34431822838819,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,88070,BERRY,M,-78.31509708900421,48.82851096240149,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,88005,CHAMPNEUF,M,-77.46384251037463,48.567771741961415,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,87095,CHAZEL,M,-79.05173958373037,48.893776295451346,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,87110,CLERMONT (08),CT,-79.23895436377077,48.95223622408026,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,87075,CLERVAL,M,-79.43813558882255,48.71358510505267,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,85030,DUHAMEL-OUEST,M,-79.43915395380662,47.344156783545834,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,87005,DUPARQUET,V,-79.19067496134329,48.46684411538266,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,87085,DUPUY,M,-79.36808380425362,48.821941667868224,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,85055,FUGÈREVILLE,M,-79.17804683415594,47.36412766985313,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,87020,GALLICHAN,M,-79.30417290561614,48.62767620884907,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,85095,GUÉRIN,CT,-79.2847913823048,47.65365658274282,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,85010,KIPAWA,M,-78.98767941536309,46.77739156585245,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,88030,LA CORNE,M,-77.93150960585635,48.357952530205736,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,85070,LAFORCE,M,-78.68153101775408,47.583331017283264,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,88015,LA MORANDIÈRE,M,-77.70131616672788,48.67540039643829,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,88045,LA MOTTE,M,-78.16055585047755,48.34439977064217,,57.61309047,,60.00000000,,,,,
2021,Abitibi-Témiscamingue,88035,LANDRIENNE,CT,-77.88682063977191,48.49572503724848,66,57.61309047,59.03947305,60.00000000,13,2,244,0,0.93750000
2021,Abitibi-Témiscamingue,87080,LA REINE,M,-79.4629346157242,48.863115854952234,,57.61309047,,60.00000000,,,,,
