annee,cl_pop_desservie,num_c,num_n,num_d,coord_x,coord_y,indice_fuites_ifi,indice_fuites_ifi_reg,indice_fuites_ifi_cpop,indice_fuites_ifi_qc,pertes_eau_reelles,pertes_eau_reelles_inev,nb_fuites_reparees,pourc_reseau_ausculte,long_reseau_km
2020,0 à 999 personnes,98030,AGUANISH,M,-62.34786027232956,50.338798775811796,0.36808039,"6,2","2,4","6,3",2.97840000,8.09171055,0,,12.13500000
2020,0 à 999 personnes,78070,AMHERST,CT,-74.76980421265053,46.038955296754246,2.30278882,3,"2,4","6,3",12.79495750,5.55628784,1,,6.50800000
2020,0 à 999 personnes,19037,ARMAGH,M,-70.58873305545767,46.75028754601779,1.61470502,"2,8","2,4","6,3",16.03124500,9.92828090,0,1.00000000,9.15100000
2020,0 à 999 personnes,41055,ASCOT CORNER,M,-71.7678385453476,45.46182014478537,3.88783356,"2,3","2,4","6,3",39.78273600,10.23262323,2,1.00000000,8.54100000
2020,0 à 999 personnes,13045,AUCLAIR,M,-68.66276778826774,47.74518764496846,1.18247014,"4,4","2,4","6,3",3.38520500,2.86282494,0,,2.72000000
2020,0 à 999 personnes,30055,AUDET,M,-70.72071572322427,45.64226869840158,2.00310302,"2,3","2,4","6,3",6.29388263,3.14206637,3,2.00000000,5.33000000
2020,0 à 999 personnes,8080,BAIE-DES-SABLES,M,-67.86009585361214,48.70847297448452,1.47652614,"4,4","2,4","6,3",9.08599000,6.15362625,1,,7.04500000
2020,0 à 999 personnes,50100,BAIE-DU-FEBVRE,M,-72.72554453256484,46.13804296769545,1.49463722,"1,9","2,4","6,3",31.42795327,21.02714484,3,2.00000000,37.80200000
2020,0 à 999 personnes,98035,BAIE-JOHAN-BEETZ,M,-62.739699766661204,50.337323633406065,1.49398814,"6,2","2,4","6,3",3.12798240,2.09371300,0,,2.75000000
2020,0 à 999 personnes,15065,BAIE-SAINTE-CATHERINE,M,-69.83358272881974,48.0797131173453,1.64927586,"3,1","2,4","6,3",8.43802857,5.11620208,1,,6.60100000
2020,0 à 999 personnes,96005,BAIE-TRINITÉ,VL,-67.35103017669854,49.45218516466617,2.31900051,"6,2","2,4","6,3",30.21350400,13.02867500,3,0.55555556,19.80000000
2020,0 à 999 personnes,85020,BÉARN,M,-79.1002342212976,47.237645383510134,4.58970479,"4,9","2,4","6,3",27.36580347,5.96243217,5,3.00000000,7.22300000
2020,0 à 999 personnes,31008,BEAULAC-GARTHBY,M,-71.40080512484151,45.83315742308066,0.69481702,"2,8","2,4","6,3",3.80734150,5.47963185,0,1.00000000,6.21500000
2020,0 à 999 personnes,94250,BÉGIN,M,-71.32208891451383,48.69119528657549,0.97043829,"4,2","2,4","6,3",7.90362000,8.14438188,2,,18.10000000
2020,0 à 999 personnes,13055,BIENCOURT,M,-68.56959402454368,47.92859395824035,1.67240551,"4,4","2,4","6,3",5.83084500,3.48650190,2,1.00000000,5.50500000
2020,0 à 999 personnes,78075,BRÉBEUF,P,-74.67578118542733,46.082902914134685,0.98748332,3,"2,4","6,3",15.68637157,15.88520150,3,,12.08500000
2020,0 à 999 personnes,84025,BRYSON,M,-76.61830460255216,45.6686369095539,7.64769299,"3,4","2,4","6,3",43.70900000,5.71531834,3,,6.95100000
2020,0 à 999 personnes,59030,CALIXA-LAVALLÉE,M,-73.26275378676266,45.750649509671625,0.40881096,6,"2,4","6,3",4.83666878,11.83106438,1,,20.15000000
2020,0 à 999 personnes,84030,CAMPBELL'S BAY,M,-76.59667139898251,45.73243750333518,4.16895160,"3,4","2,4","6,3",36.96000000,8.86553829,3,1.27855975,13.08660000
2020,0 à 999 personnes,51080,CHARETTE,M,-72.94012949026542,46.43566633475949,1.43452379,"2,7","2,4","6,3",12.70871129,8.85918474,0,,13.69000000
2020,0 à 999 personnes,87095,CHAZEL,M,-79.05173958373037,48.893776295451346,2.41151562,"4,9","2,4","6,3",4.78274500,1.98329422,0,,2.75100000
2020,0 à 999 personnes,82025,CHELSEA,M,-75.85834789049274,45.538177155139195,0.93298831,"3,4","2,4","6,3",6.47258964,6.93748204,0,0.66589719,11.26300000
2020,0 à 999 personnes,80103,CHÉNÉVILLE,M,-75.00338937994343,45.901776557176085,1.17333017,"3,4","2,4","6,3",8.18300000,6.97416654,6,,10.96500000
2020,0 à 999 personnes,62047,CHERTSEY,M,-73.87241871215498,46.11370838391758,2.84455242,"2,9","2,4","6,3",16.31854500,5.73677070,1,1.00000000,5.55500000
2020,0 à 999 personnes,39030,CHESTERVILLE,M,-71.78079786175414,45.96855686290544,0.52026774,"1,9","2,4","6,3",3.38226437,6.50100734,8,,4.51700000
2020,0 à 999 personnes,98015,CÔTE-NORD-DU-GOLFE-DU-SAINT-LAURENT,M,-59.77187203694243,50.48386408128046,1.60118849,"6,2","2,4","6,3",4.27279550,2.66851500,2,,1.76500000
2020,0 à 999 personnes,30090,COURCELLES,M,-70.97714038588263,45.88820393102711,1.61076240,"2,3","2,4","6,3",11.37311464,7.06070284,1,,7.86700000
2020,0 à 999 personnes,38070,DESCHAILLONS-SUR-SAINT-LAURENT,M,-72.12315955803223,46.52917019154323,2.32801101,"1,9","2,4","6,3",31.99726888,13.74446628,11,0.33506944,17.28000000
2020,0 à 999 personnes,44023,DIXVILLE,M,-71.7460317436297,45.051803095658705,1.73830590,"2,3","2,4","6,3",6.55034800,3.76823664,0,,4.08800000
2020,0 à 999 personnes,41117,DUDSWELL,M,-71.57963044886556,45.60621936626187,0.28421311,"2,3","2,4","6,3",0.88005920,3.09647648,2,,3.85700000
2020,0 à 999 personnes,80135,DUHAMEL,M,-75.21724402710605,46.094375947647954,2.96857611,"3,4","2,4","6,3",3.65000000,1.22954570,1,,1.65800000
2020,0 à 999 personnes,87005,DUPARQUET,V,-79.19067496134329,48.46684411538266,4.91205696,"4,9","2,4","6,3",44.47900000,9.05506600,2,,11.17600000
