annee,reg_n,mun_c,mun_n,mun_d,coord_x,coord_y,consom_resid,consom_resid_reg,consom_resid_cpop,consom_resid_qb,nb_reseau_dist,pop_desservie,nb_resid_desservi,nb_pers_resid,vol_eau_dist,consom_resid_ml,qte_eau_pers,qte_eau_pers_reg,qte_eau_pers_cpop,qte_eau_pers_qc
2020,Abitibi-Témiscamingue,88055,AMOS,V,-77.95722091757824,48.60993310346472,223,166,254,276.00000000,1,13290,5717,2.32459494,1849.32200000,1083.62006522,380,367,475,521
2020,Abitibi-Témiscamingue,87050,AUTHIER,M,-78.82988524831381,48.75614201014235,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,87100,AUTHIER-NORD,M,-78.85131915444296,48.90115898297466,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88022,BARRAUTE,M,-77.66923849144449,48.466926626429846,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,85020,BÉARN,M,-79.1002342212976,47.237645383510134,253,166,213,276.00000000,1,679,320,2.12238806,197.51656429,62.91200000,795,367,393,521
2020,Abitibi-Témiscamingue,89050,BELCOURT,M,-77.43687828823747,48.39562506412124,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,85065,BELLETERRE,V,-78.73778738380254,47.34431822838819,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88070,BERRY,M,-78.31509708900421,48.82851096240149,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88005,CHAMPNEUF,M,-77.46384251037463,48.567771741961415,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,87095,CHAZEL,M,-79.05173958373037,48.893776295451346,130,166,213,276.00000000,1,148,58,2.55172414,12.01700000,7.05400000,222,367,393,521
2020,Abitibi-Témiscamingue,87110,CLERMONT (08),CT,-79.23895436377077,48.95223622408026,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,87075,CLERVAL,M,-79.43813558882255,48.71358510505267,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,85030,DUHAMEL-OUEST,M,-79.43915395380662,47.344156783545834,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,87005,DUPARQUET,V,-79.19067496134329,48.46684411538266,275,166,213,276.00000000,1,577,285,2.02352941,106.43000000,58.11207770,504,367,393,521
2020,Abitibi-Témiscamingue,87085,DUPUY,M,-79.36808380425362,48.821941667868224,128,166,213,276.00000000,1,709,282,2.51246537,76.90300000,33.16633333,297,367,393,521
2020,Abitibi-Témiscamingue,85055,FUGÈREVILLE,M,-79.17804683415594,47.36412766985313,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,87020,GALLICHAN,M,-79.30417290561614,48.62767620884907,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,85095,GUÉRIN,CT,-79.2847913823048,47.65365658274282,153,166,213,276.00000000,1,202,70,2.88695652,31.39000000,11.29648649,424,367,393,521
2020,Abitibi-Témiscamingue,85010,KIPAWA,M,-78.98767941536309,46.77739156585245,118,166,213,276.00000000,1,140,70,2.00000000,9.35400000,6.05405405,183,367,393,521
2020,Abitibi-Témiscamingue,88030,LA CORNE,M,-77.93150960585635,48.357952530205736,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,85070,LAFORCE,M,-78.68153101775408,47.583331017283264,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88015,LA MORANDIÈRE,M,-77.70131616672788,48.67540039643829,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88045,LA MOTTE,M,-78.16055585047755,48.34439977064217,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88035,LANDRIENNE,CT,-77.88682063977191,48.49572503724848,117,166,213,276.00000000,1,692,266,2.60167131,53.38650000,29.51700000,211,367,393,521
2020,Abitibi-Témiscamingue,87080,LA REINE,M,-79.4629346157242,48.863115854952234,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,87090,LA SARRE,V,-79.18974579686457,48.80730936368472,234,166,262,276.00000000,1,7638,3516,2.17245473,1024.55351000,654.44227969,366,367,420,521
2020,Abitibi-Témiscamingue,85060,LATULIPE-ET-GABOURY,CU,-79.02177149706925,47.33631294324906,186,166,213,276.00000000,1,303,138,2.19696970,22.87800000,20.58752055,206,367,393,521
2020,Abitibi-Témiscamingue,88080,LAUNAY,CT,-78.53339785738366,48.64100560450497,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,85052,LAVERLOCHÈRE-ANGLIERS,M,-79.15362468516037,47.51501873261717,195,166,213,276.00000000,1,570,228,2.50000000,268.47300000,40.64328000,1287,367,393,521
2020,Abitibi-Témiscamingue,85037,LORRAINVILLE,M,-79.3183054154509,47.364223198240396,266,166,213,276.00000000,1,957,526,1.82000000,113.84500000,93.15450454,325,367,393,521
2020,Abitibi-Témiscamingue,87058,MACAMIC,V,-79.0646591882368,48.762853571905595,259,166,227,276.00000000,1,1512,592,2.55357143,268.19700000,143.42483237,485,367,435,521
2020,Abitibi-Témiscamingue,89015,MALARTIC,V,-78.06438186806979,48.16324457187233,325,166,227,276.00000000,1,3233,1045,3.09377990,543.78100000,385.09622592,460,367,435,521
2020,Abitibi-Témiscamingue,85075,MOFFET,M,-78.87678930202293,47.587041027953454,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,85100,NÉDÉLEC,CT,-79.40935536184047,47.80078121587885,123,166,213,276.00000000,1,167,72,2.32000000,8.09400000,7.53600000,132,367,393,521
2020,Abitibi-Témiscamingue,87115,NORMÉTAL,M,-79.35377907678547,48.98128444290326,262,166,213,276.00000000,1,815,412,1.97715736,87.09450002,78.11300000,292,367,393,521
2020,Abitibi-Témiscamingue,85090,NOTRE-DAME-DU-NORD,M,-79.42424956050999,47.603122333209285,178,166,213,276.00000000,1,965,503,1.91891892,109.66500000,62.72410000,310,367,393,521
2020,Abitibi-Témiscamingue,87025,PALMAROLLE,M,-79.19554590091766,48.67732835906824,137,166,213,276.00000000,1,870,341,2.55072464,73.66900000,43.63220436,231,367,393,521
2020,Abitibi-Témiscamingue,87035,POULARIES,M,-78.95440157738459,48.6467250869841,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88090,PREISSAC,M,-78.38229454866509,48.388468412760965,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,87010,RAPIDE-DANSEUR,M,-79.29998468286527,48.53955290322725,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,85105,RÉMIGNY,M,-78.97782531744478,47.79672331913548,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,89010,RIVIÈRE-HÉVA,M,-78.23952401055104,48.15187260723822,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88010,ROCHEBAUCOURT,M,-77.46691952066382,48.67543952036993,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,87015,ROQUEMAURE,M,-79.43625778038663,48.63337867067531,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,86042,ROUYN-NORANDA,V,-78.90777775549081,48.13364694712263,127,166,254,276.00000000,3,37490,14902,2.51576970,4648.33731920,1742.73320730,339,367,475,521
2020,Abitibi-Témiscamingue,85045,SAINT-BRUNO-DE-GUIGUES,M,-79.46503384567384,47.47753579239139,182,166,213,276.00000000,1,633,256,2.47252747,51.31740000,42.08492308,222,367,393,521
2020,Abitibi-Témiscamingue,88065,SAINT-DOMINIQUE-DU-ROSAIRE,M,-78.04184953363202,48.8210111649755,144,166,213,276.00000000,1,178,83,2.14457831,11.15600000,9.38295238,171,367,393,521
2020,Abitibi-Témiscamingue,85015,SAINT-ÉDOUARD-DE-FABRE,P,-79.33972749644605,47.17763100157227,222,166,213,276.00000000,1,469,212,2.21454545,65.04600000,38.11760000,379,367,393,521
2020,Abitibi-Témiscamingue,87030,SAINTE-GERMAINE-BOULÉ,M,-79.10670212901117,48.60279283187005,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88085,SAINTE-GERTRUDE-MANNEVILLE,M,-78.43537873506448,48.53165877414919,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,87070,SAINTE-HÉLÈNE-DE-MANCEBOURG,P,-79.29750863795697,48.73586860000751,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,85085,SAINT-EUGÈNE-DE-GUIGUES,M,-79.35128681281921,47.523577680648735,225,166,213,276.00000000,1,173,69,2.50549451,18.50700000,14.24107595,292,367,393,521
2020,Abitibi-Témiscamingue,88060,SAINT-FÉLIX-DE-DALQUIER,M,-78.11992179068743,48.675544935606936,192,166,213,276.00000000,1,650,232,2.80298507,54.92100000,45.58751867,231,367,393,521
2020,Abitibi-Témiscamingue,87120,SAINT-LAMBERT (08),P,-79.43797997816048,48.952056499970375,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88040,SAINT-MARC-DE-FIGUERY,P,-78.03012332266088,48.4593884892238,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88050,SAINT-MATHIEU-D'HARRICANA,M,-78.1999487651297,48.47231205402385,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,89045,SENNETERRE (P),P,-77.27425512024509,48.368142523320024,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,89040,SENNETERRE (V),V,-76.42019958847474,48.26120846870015,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,87042,TASCHEREAU,M,-78.75193864039294,48.64100565882406,288,166,213,276.00000000,1,618,265,2.33249370,88.44700000,65.14847015,391,367,393,521
2020,Abitibi-Témiscamingue,85005,TÉMISCAMING,V,-78.9975318968153,46.72000126282271,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,88075,TRÉCESSON,CT,-78.31520529681066,48.61356574377313,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,89008,VAL-D'OR,V,-77.5778026694869,47.99592818039312,137,166,254,276.00000000,3,27893,12552,2.22222995,3827.05900000,1401.03380434,375,367,475,521
2020,Abitibi-Témiscamingue,87105,VAL-SAINT-GILLES,M,-79.11578291676837,48.95920765626982,,166,,276.00000000,,,,,,,,367,,521
2020,Abitibi-Témiscamingue,85025,VILLE-MARIE,V,-79.43014675610694,47.3312594593899,142,166,227,276.00000000,1,2641,1223,2.15913043,342.21200000,136.92349747,354,367,435,521
2020,Bas-Saint-Laurent,7025,ALBERTVILLE,M,-67.37391386260363,48.32917336891954,,213,,276.00000000,,,,,,,,422,,521
2020,Bas-Saint-Laurent,7047,AMQUI,V,-67.42565424772233,48.48713318918283,262,213,262,276.00000000,1,5244,2317,2.26305970,1074.36700000,501.98040111,560,422,420,521
2020,Bas-Saint-Laurent,13045,AUCLAIR,M,-68.66276778826774,47.74518764496846,150,213,213,276.00000000,1,281,119,2.36000000,20.25300000,15.39934375,197,422,393,521
2020,Bas-Saint-Laurent,8080,BAIE-DES-SABLES,M,-67.86009585361214,48.70847297448452,135,213,213,276.00000000,1,354,208,1.70000000,27.93400000,17.42378182,216,422,393,521
2020,Bas-Saint-Laurent,13055,BIENCOURT,M,-68.56959402454368,47.92859395824035,298,213,213,276.00000000,1,268,147,1.82352941,38.87700000,29.27644785,396,422,393,521
2020,Bas-Saint-Laurent,12057,CACOUNA,M,-69.48229404329724,47.93007053456999,199,213,227,276.00000000,1,1334,605,2.20432692,139.61000000,97.36300000,286,422,435,521
2020,Bas-Saint-Laurent,7018,CAUSAPSCAL,V,-67.2361609869913,48.37531720728953,312,213,227,276.00000000,1,1548,685,2.25944334,273.56200000,176.86374218,483,422,435,521
