annee,reg_n,mun_c,mun_n,mun_d,coord_x,coord_y,indice_fuites_ifi,indice_fuites_ifi_reg,indice_fuites_ifi_cpop,indice_fuites_ifi_qc,pertes_eau_reelles,pertes_eau_reelles_inev,nb_fuites_reparees,pourc_reseau_ausculte,long_reseau_km
2019,Abitibi-Témiscamingue,88055,AMOS,V,-77.95722091757824,48.60993310346472,1.89900000,"4,3","4,2","6,6",185.05800000,97.46200000,15,,103.12000000
2019,Abitibi-Témiscamingue,87050,AUTHIER,M,-78.82988524831381,48.75614201014235,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,87100,AUTHIER-NORD,M,-78.85131915444296,48.90115898297466,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,88022,BARRAUTE,M,-77.66923849144449,48.466926626429846,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,85020,BÉARN,M,-79.1002342212976,47.237645383510134,9.11700000,"4,3","2,5","6,6",51.94800000,5.69800000,5,1.52800000,7.22300000
2019,Abitibi-Témiscamingue,89050,BELCOURT,M,-77.43687828823747,48.39562506412124,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,85065,BELLETERRE,V,-78.73778738380254,47.34431822838819,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,88070,BERRY,M,-78.31509708900421,48.82851096240149,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,88005,CHAMPNEUF,M,-77.46384251037463,48.567771741961415,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,87095,CHAZEL,M,-79.05173958373037,48.893776295451346,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,87110,CLERMONT (08),CT,-79.23895436377077,48.95223622408026,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,87075,CLERVAL,M,-79.43813558882255,48.71358510505267,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,85030,DUHAMEL-OUEST,M,-79.43915395380662,47.344156783545834,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,87005,DUPARQUET,V,-79.19067496134329,48.46684411538266,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,87085,DUPUY,M,-79.36808380425362,48.821941667868224,5.34100000,"4,3","2,5","6,6",46.88900000,8.77900000,3,,7.73400000
2019,Abitibi-Témiscamingue,85055,FUGÈREVILLE,M,-79.17804683415594,47.36412766985313,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,87020,GALLICHAN,M,-79.30417290561614,48.62767620884907,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,85095,GUÉRIN,CT,-79.2847913823048,47.65365658274282,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,85010,KIPAWA,M,-78.98767941536309,46.77739156585245,0.67300000,"4,3","2,5","6,6",1.09500000,1.62600000,0,,1.80700000
2019,Abitibi-Témiscamingue,88030,LA CORNE,M,-77.93150960585635,48.357952530205736,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,85070,LAFORCE,M,-78.68153101775408,47.583331017283264,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,88015,LA MORANDIÈRE,M,-77.70131616672788,48.67540039643829,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,88045,LA MOTTE,M,-78.16055585047755,48.34439977064217,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,88035,LANDRIENNE,CT,-77.88682063977191,48.49572503724848,0.50600000,"4,3","2,5","6,6",2.45100000,4.84800000,0,1.00000000,7.34300000
2019,Abitibi-Témiscamingue,87080,LA REINE,M,-79.4629346157242,48.863115854952234,1.01900000,"4,3","2,5","6,6",3.92100000,3.84600000,0,,3.57000000
2019,Abitibi-Témiscamingue,87090,LA SARRE,V,-79.18974579686457,48.80730936368472,3.27300000,"4,3","3,8","6,6",305.21200000,93.25900000,6,,50.70800000
2019,Abitibi-Témiscamingue,85060,LATULIPE-ET-GABOURY,CU,-79.02177149706925,47.33631294324906,0.61600000,"4,3","2,5","6,6",1.10400000,1.79000000,1,0.46300000,2.16000000
2019,Abitibi-Témiscamingue,88080,LAUNAY,CT,-78.53339785738366,48.64100560450497,,"4,3",,"6,6",,,,,
2019,Abitibi-Témiscamingue,85052,LAVERLOCHÈRE-ANGLIERS,M,-79.15362468516037,47.51501873261717,28.78400000,"4,3","2,5","6,6",63.66500000,2.21200000,1,0.59600000,5.03300000
2019,Abitibi-Témiscamingue,85037,LORRAINVILLE,M,-79.3183054154509,47.364223198240396,1.55000000,"4,3","2,5","6,6",14.56800000,9.40100000,1,0.04300000,14.01200000
2019,Abitibi-Témiscamingue,87058,MACAMIC,V,-79.0646591882368,48.762853571905595,3.15600000,"4,3",3,"6,6",62.88700000,19.92500000,3,1.32900000,18.13000000
