annee,reg_n,mun_c,mun_n,mun_d,coord_x,coord_y,indice_fuites_ifi,indice_fuites_ifi_reg,indice_fuites_ifi_cpop,indice_fuites_ifi_qc,pertes_eau_reelles,pertes_eau_reelles_inev,nb_fuites_reparees,pourc_reseau_ausculte,long_reseau_km
2021,Abitibi-Témiscamingue,88055,AMOS,V,-77.95722091757824,48.60993310346472,6.24618315,"4,7","5,3","6,8",608.85752200,97.47673210,20,0.50000000,103.12000000
2021,Abitibi-Témiscamingue,87050,AUTHIER,M,-78.82988524831381,48.75614201014235,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,87100,AUTHIER-NORD,M,-78.85131915444296,48.90115898297466,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,88022,BARRAUTE,M,-77.66923849144449,48.466926626429846,2.68274137,"4,7","2,6","6,8",47.04820800,17.53736256,,,15.73400000
2021,Abitibi-Témiscamingue,85020,BÉARN,M,-79.1002342212976,47.237645383510134,8.71987634,"4,7",2,"6,8",61.57362952,7.06129618,7,1.00000000,7.22300000
2021,Abitibi-Témiscamingue,89050,BELCOURT,M,-77.43687828823747,48.39562506412124,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,85065,BELLETERRE,V,-78.73778738380254,47.34431822838819,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,88070,BERRY,M,-78.31509708900421,48.82851096240149,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,88005,CHAMPNEUF,M,-77.46384251037463,48.567771741961415,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,87095,CHAZEL,M,-79.05173958373037,48.893776295451346,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,87110,CLERMONT (08),CT,-79.23895436377077,48.95223622408026,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,87075,CLERVAL,M,-79.43813558882255,48.71358510505267,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,85030,DUHAMEL-OUEST,M,-79.43915395380662,47.344156783545834,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,87005,DUPARQUET,V,-79.19067496134329,48.46684411538266,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,87085,DUPUY,M,-79.36808380425362,48.821941667868224,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,85055,FUGÈREVILLE,M,-79.17804683415594,47.36412766985313,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,87020,GALLICHAN,M,-79.30417290561614,48.62767620884907,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,85095,GUÉRIN,CT,-79.2847913823048,47.65365658274282,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,85010,KIPAWA,M,-78.98767941536309,46.77739156585245,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,88030,LA CORNE,M,-77.93150960585635,48.357952530205736,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,85070,LAFORCE,M,-78.68153101775408,47.583331017283264,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,88015,LA MORANDIÈRE,M,-77.70131616672788,48.67540039643829,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,88045,LA MOTTE,M,-78.16055585047755,48.34439977064217,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,88035,LANDRIENNE,CT,-77.88682063977191,48.49572503724848,0.23200937,"4,7",2,"6,8",1.13671979,4.89945632,,1.00000000,7.34300000
2021,Abitibi-Témiscamingue,87080,LA REINE,M,-79.4629346157242,48.863115854952234,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,87090,LA SARRE,V,-79.18974579686457,48.80730936368472,5.09467692,"4,7","3,7","6,8",334.78617600,65.71293547,7,1.00000000,50.70800000
2021,Abitibi-Témiscamingue,85060,LATULIPE-ET-GABOURY,CU,-79.02177149706925,47.33631294324906,3.29316040,"4,7",2,"6,8",5.85868800,1.77904727,2,0.46296296,2.16000000
2021,Abitibi-Témiscamingue,88080,LAUNAY,CT,-78.53339785738366,48.64100560450497,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,85052,LAVERLOCHÈRE-ANGLIERS,M,-79.15362468516037,47.51501873261717,18.22335654,"4,7",2,"6,8",40.90302700,2.24453859,4,1.00000000,5.08900000
2021,Abitibi-Témiscamingue,85037,LORRAINVILLE,M,-79.3183054154509,47.364223198240396,1.71629628,"4,7",2,"6,8",16.64400000,9.69762632,7,0.99996860,14.01244000
2021,Abitibi-Témiscamingue,87058,MACAMIC,V,-79.0646591882368,48.762853571905595,5.38007598,"4,7","2,6","6,8",94.64304000,17.59139470,5,1.00000000,17.97400000
2021,Abitibi-Témiscamingue,89015,MALARTIC,V,-78.06438186806979,48.16324457187233,4.49591860,"4,7","2,6","6,8",156.71464800,34.85709196,8,1.00000000,43.86300000
2021,Abitibi-Témiscamingue,85075,MOFFET,M,-78.87678930202293,47.587041027953454,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,85100,NÉDÉLEC,CT,-79.40935536184047,47.80078121587885,1.03478963,"4,7",2,"6,8",1.70820000,1.65077032,2,,1.89150000
2021,Abitibi-Témiscamingue,87115,NORMÉTAL,M,-79.35377907678547,48.98128444290326,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,85090,NOTRE-DAME-DU-NORD,M,-79.42424956050999,47.603122333209285,2.41187215,"4,7",2,"6,8",24.20698302,10.03659462,4,1.04192286,14.31200000
2021,Abitibi-Témiscamingue,87025,PALMAROLLE,M,-79.19554590091766,48.67732835906824,1.47022182,"4,7",2,"6,8",10.57200000,7.19075168,,,8.26900000
2021,Abitibi-Témiscamingue,87035,POULARIES,M,-78.95440157738459,48.6467250869841,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,88090,PREISSAC,M,-78.38229454866509,48.388468412760965,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,87010,RAPIDE-DANSEUR,M,-79.29998468286527,48.53955290322725,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,85105,RÉMIGNY,M,-78.97782531744478,47.79672331913548,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,89010,RIVIÈRE-HÉVA,M,-78.23952401055104,48.15187260723822,1.54277403,"4,7",2,"6,8",4.03135200,2.61305410,4,,4.25200000
2021,Abitibi-Témiscamingue,88010,ROCHEBAUCOURT,M,-77.46691952066382,48.67543952036993,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,87015,ROQUEMAURE,M,-79.43625778038663,48.63337867067531,,"4,7",,"6,8",,,,,
2021,Abitibi-Témiscamingue,86042,ROUYN-NORANDA,V,-78.90777775549081,48.13364694712263,6.61798631,"4,7","5,3","6,8",1458.13183107,220.32862612,30,1.11625971,206.57200000
2021,Abitibi-Témiscamingue,85045,SAINT-BRUNO-DE-GUIGUES,M,-79.46503384567384,47.47753579239139,4.47533554,"4,7",2,"6,8",23.60855394,5.27525896,3,0.99974147,7.73600000
