"Poste","Candidat","Nb votes","Nb votes valides","Nb votes rejetés","Nb votes total"
"0.00","BERGERON Richard","118637","464966","12471","477437"
"0.00","CODERRE Denis","149467","464966","12471","477437"
"0.00","HAMIDA Louai","1521","464966","12471","477437"
"0.00","JOLY Mélanie","123062","464966","12471","477437"
"0.00","YOUNG Joseph","1112","464966","12471","477437"
"0.00","BLAIS Claude","1553","464966","12471","477437"
"0.00","BRÛLÉ Michel","6308","464966","12471","477437"
"0.00","SONOKPON Kofi","691","464966","12471","477437"
"0.00","SAURIOL Clément","557","464966","12471","477437"
"0.00","TULASNE Patricia","2568","464966","12471","477437"
"0.00","CÔTÉ Marcel","59490","464966","12471","477437"
"1.00","BELLELI Hasmig","9167","39664","1302","40966"
"1.00","GAGNIER Pierre","12063","39664","1302","40966"
"1.00","BASTIEN Pierre","10705","39664","1302","40966"
"1.00","ALLARD Claude","1001","39664","1302","40966"
"1.00","BRUNET Etienne","6728","39664","1302","40966"
"1.10","LEMIEUX Mario","263","10128","388","10516"
"1.10","MOLYNEUX Louis-Gilles","1247","10128","388","10516"
"1.10","NYANGONO Nathalie","69","10128","388","10516"
"1.10","LEGENDRE Sophie-Anne","2674","10128","388","10516"
"1.10","GRONDIN Dominique","108","10128","388","10516"
"1.10","HOTTE Nathalie","2883","10128","388","10516"
"1.10","PAGÉ Lorraine","2884","10128","388","10516"
"1.20","BAZINET Martin","3468","9808","502","10310"
"1.20","LAPOINTE Jean-Jacques","2182","9808","502","10310"
"1.20","RAINVILLE Martin Félip","681","9808","502","10310"
"1.20","DESROCHERS Pierre","3477","9808","502","10310"
"1.30","THUILLIER Émilie","4450","11186","275","11461"
"1.30","DUCHARME Julie","318","11186","275","11461"
"1.30","JORG Chantal","1512","11186","275","11461"
"1.30","RACINE Laurette","2333","11186","275","11461"
"1.30","RODRIGUE Diane","2573","11186","275","11461"
"1.40","CHITILIAN Harout","4107","8406","268","8674"
"1.40","HÉON Jean","1001","8406","268","8674"
"1.40","EL-KHOURY Ibrahim Bruno","1492","8406","268","8674"
"1.40","ESSERTAIZE Marc","94","8406","268","8674"
"1.40","FLOREZ Maria Ximena","1442","8406","268","8674"
"1.40","BELKACEM Ali","270","8406","268","8674"
"10.00","DUBOIS Christian G.","2138","15771","410","16181"
"10.00","LABELLE Michael","3638","15771","410","16181"
"10.00","BEIS Dimitrios (Jim)","5276","15771","410","16181"
"10.00","METWALLI Karim","4719","15771","410","16181"
"10.10","MARCEAU Suzanne","1270","8538","248","8786"
"10.10","RAYMOND Jean","2367","8538","248","8786"
"10.10","ZUBERI Sameer","1958","8538","248","8786"
"10.10","MCINTYRE Justine","2943","8538","248","8786"
"10.11","MORIN Nathalie","2050","8507","282","8789"
"10.11","SMITH David-James","1113","8507","282","8789"
"10.11","TROTTIER Roger","2523","8507","282","8789"
"10.11","CAMPEAU Claudine","2375","8507","282","8789"
"10.11","LEGAULT Jean Charles","183","8507","282","8789"
"10.11","STITT Ross","263","8507","282","8789"
"10.20","CLÉMENT-TALBOT Catherine","3309","6958","432","7390"
"10.20","McCARTY Eric","2147","6958","432","7390"
"10.20","GARNER Linton","1502","6958","432","7390"
"10.21","GOSWAMI Bhaskar","2142","7215","181","7396"
"10.21","SIRIGNANO Lisa","1535","7215","181","7396"
"10.21","GIGNAC Yves","2624","7215","181","7396"
"10.21","MALTAIS Odette","914","7215","181","7396"
"11.00","BOYER Martin","1429","32579","939","33518"
"11.00","FERRANDEZ Luc","16706","32579","939","33518"
"11.00","LORAIN Danièle","10007","32579","939","33518"
"11.00","THIBODEAU Gilbert","4437","32579","939","33518"
"11.10","RYAN Richard","6126","10498","382","10880"
"11.10","CLAVET Alain","1587","10498","382","10880"
"11.10","TREMBLAY Isabelle","785","10498","382","10880"
"11.10","VAILLANCOURT Galia","2000","10498","382","10880"
"11.11","OLIVO RODRIGUEZ Joaquin","257","10597","285","10882"
"11.11","PLOURDE Marie","5447","10597","285","10882"
"11.11","YEBA Sandenga","1168","10597","285","10882"
"11.11","GRONDIN Stéphanie","1609","10597","285","10882"
"11.11","CÔTÉ David","2116","10597","285","10882"
"11.20","BRÛLÉ Michel","695","12891","428","13319"
"11.20","CRAIG Suzanne","3188","12891","428","13319"
"11.20","LACOMBE Simon","386","12891","428","13319"
"11.20","MARCHESSAULT Carmelle","1749","12891","428","13319"
"11.20","COUSINEAU Pierre","212","12891","428","13319"
"11.20","MAINVILLE Louise","6661","12891","428","13319"
"11.21","BOILEAU Carl","3587","12904","416","13320"
"11.21","GIGUÈRE Marianne","6771","12904","416","13320"
"11.21","LAPIERRE Sophie Stéphanie","960","12904","416","13320"
"11.21","TRUONG Nam","1586","12904","416","13320"
"11.30","FAKOTAKIS-KOLAITIS Eleni","1453","9009","290","9299"
"11.30","HUGGINS Piper","2434","9009","290","9299"
"11.30","NORRIS Alex","4252","9009","290","9299"
"11.30","NEVES Joao","224","9009","290","9299"
"11.30","CARON Dominique","518","9009","290","9299"
"11.30","SIMON Daniel","128","9009","290","9299"
"11.31","GOSSELIN Christine","4432","9058","308","9366"
"11.31","RODRIGUES Antonio","1479","9058","308","9366"
"11.31","PICARD André","2480","9058","308","9366"
"11.31","BISAILLON Manon","667","9058","308","9366"
"12.00","ROULEAU Chantal","20755","31477","2064","33541"
"12.00","DELLA VALLE Romeo","5759","31477","2064","33541"
"12.00","TAYLOR Michel","4963","31477","2064","33541"
"12.10","BOURGEOIS Caroline","3326","11644","828","12472"
"12.10","GUAY Richard","5922","11644","828","12472"
"12.10","THERRIEN Paul","2396","11644","828","12472"
"12.11","BLANCHET Mario","1941","12022","471","12493"
"12.11","GUEDES Manuel","5215","12022","471","12493"
"12.11","LEBOEUF McGREGOR Tomy-Richard","1762","12022","471","12493"
"12.11","BÉRARD Gaëtan","3104","12022","471","12493"
"12.20","DÉCARIE Suzanne","5902","10844","645","11489"
"12.20","SURPRENANT Hugues","2288","10844","645","11489"
"12.20","LECLERC Cindy","2046","10844","645","11489"
"12.20","THÉORET Yan","608","10844","645","11489"
"12.21","BRIAND Gérald","733","10766","710","11476"
"12.21","DÉZIEL Gilles","5219","10766","710","11476"
"12.21","PERRIER Emmanuelle","2155","10766","710","11476"
"12.21","BEAUSÉJOUR Audrey","2659","10766","710","11476"
"12.30","BARONE Italo","1394","8926","642","9568"
"12.30","RAPANÀ Giovanni","6046","8926","642","9568"
"12.30","LATCHMAN Jeffrey Scott","1486","8926","642","9568"
"12.31","CARUSO Danny","1101","9045","525","9570"
"12.31","PIERRE-ANTOINE Nathalie","5281","9045","525","9570"
"12.31","HOMBRADOS Steven","891","9045","525","9570"
"12.31","CHIAZZESE Gianni","1597","9045","525","9570"
"12.31","FIRMIN Marcel","175","9045","525","9570"
"13.00","BRETON Josselin","10522","48255","1892","50147"
"13.00","CROTEAU François W.","28698","48255","1892","50147"
"13.00","JOLIVET Simon","6409","48255","1892","50147"
"13.00","SAINT-LOUIS Jean","2626","48255","1892","50147"
"13.10","LIMOGES François","7582","12536","290","12826"
"13.10","WU Zhao Xin","1089","12536","290","12826"
"13.10","DA PONTE Michel","1723","12536","290","12826"
"13.10","AÏSSI Marie-Thérèse","2142","12536","290","12826"
"13.20","GADOURY Marc-André","6800","12475","330","12805"
"13.20","L'HEUREUX Chantal","1382","12475","330","12805"
"13.20","MONETTE Jacques","2038","12475","330","12805"
"13.20","SEMIKIN Ekaterina","243","12475","330","12805"
"13.20","VELASCO Delphine","2012","12475","330","12805"
"13.30","GIRARDIN Yvan","1398","12681","350","13031"
"13.30","DUCHESNE Érika","5938","12681","350","13031"
"13.30","MAY Maximilien","2325","12681","350","13031"
"13.30","PAPINEAU Martin","347","12681","350","13031"
"13.30","BOISGIBAULT Pascal","2673","12681","350","13031"
"13.40","STANTON Françoise","3770","10926","533","11459"
"13.40","THERRIEN Jean","2416","10926","533","11459"
"13.40","LAVOIE Guillaume","4740","10926","533","11459"
"14.00","DESOUSA Alan","10887","20341","635","20976"
"14.00","FAYAD William","2255","20341","635","20976"
"14.00","GHALI François","5825","20341","635","20976"
"14.00","BARSALOU Marcello","1374","20341","635","20976"
"14.10","COHEN Eyal Albert","3793","10580","382","10962"
"14.10","MINIER Corinne","1366","10580","382","10962"
"14.10","GORZALKA Frances","860","10580","382","10962"
"14.10","MIELE Francesco","4561","10580","382","10962"
"14.11","COHEN Maurice","4881","10698","359","11057"
"14.11","FARAH Sara","1042","10698","359","11057"
"14.11","IVASCU Viorel","166","10698","359","11057"
"14.11","SIEGMAN Michael","3226","10698","359","11057"
"14.11","BASTIEN Dominique","1383","10698","359","11057"
"14.20","SALEM Aref","4309","9508","431","9939"
"14.20","TANNOUS Mélanie","2991","9508","431","9939"
"14.20","KHANDJIAN Naïri","1374","9508","431","9939"
"14.20","RASOOL Mubashar","834","9508","431","9939"
"14.21","BIRON Michèle D.","4654","9512","427","9939"
"14.21","BITAR Elias","1089","9512","427","9939"
"14.21","IONESCU Stefan","2454","9512","427","9939"
"14.21","HRAIKY Wael","1315","9512","427","9939"
"15.00","BISSONNET Michel","10938","16652","1310","17962"
"15.00","GIRAUD Cyrille","2336","16652","1310","17962"
