OBJECTID,MUNICIPALITE,NOM_LIEU,XNAD83MTM6,YNAD83MTM6,NOM_RESEAU,MOT_PASSE,DETAILS,FOURNISSEUR,GEOM
1,10043,Aérogare Paul-Émile-Lapointe,230505.0820000004,5371305.3796999995,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
3,10043,Bibliothèque Le Bic,215492.14714999963,5359865.76025,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
4,10043,Bibliothèque Pascal-Parent,233578.21850000042,5358376.984200001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
5,10043,Bibliothèque de Pointe-au-Père,233952.53830000013,5375158.7787,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
6,10043,Centre communautaire Pointe-au-Père,234177.36569999997,5374441.290100001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
7,10043,Centre communautaire Rimouski-Est,230853.55829999968,5371617.7129999995,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
8,10043,Centre communautaire Saint-Robert,228852.9676000001,5367114.6712,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
9,10043,Centre communautaire Sainte-Odile,227452.66339999996,5366442.5682,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
10,10043,Centre communautaire Sainte-Agnès Nord,229744.91160000023,5369569.457699999,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
11,10043,Centre communautaire Sacré-Coeur,224050.23929999955,5366101.155099999,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
12,10043,Parc Beauséjour,227918.20739999972,5366956.933,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
14,10043,Parc des Anciens Combattants,228650.6782999998,5368551.563200001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
15,10043,Salle du Conseil de ville,228984.46270000003,5368339.315075001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
16,10043,Tourisme Rimouski,228578.4731999999,5368512.219799999,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
17,10043,Café des Halles,228397.43730000034,5368319.7951,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
18,10043,Pâtisseries & Gourmandises d'Olivier,229036.23335000034,5368743.566175001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
19,10043,La Brûlerie d'ici,228462.52830000035,5368382.913899999,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
20,10043,Le Presse Café,228338.23259999976,5368347.166099999,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
22,10043,Cégep de Rimouski,228789.51012500003,5368233.5767250005,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
23,10043,Collectif de Développement Régional (CRD),228481.9759999998,5367866.8846,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
24,10043,Crêpe Chignon,228847.04229999986,5368536.5262,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
25,10043,La SADC de la Neigette,229296.94359999988,5368511.0349,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
26,10043,Centre communautaire Saint-Pie-X,230549.6464999998,5368455.9582,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
27,10043,Centre communautaire Terrasse Arthur-Buies,228839.8454,5366259.198799999,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
28,10043,Centre Curé-Soucy,215577.20210000034,5359894.8891,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
30,10043,Pavillon de la Jeunesse,233772.41985000018,5358365.549825,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
31,10043,Centre communautaire Nazareth,227015.1299999999,5367506.7929,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
32,10043,Restaurant Chez Oeufs,228321.59669999965,5368264.6383,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
33,10043,Chocolaterie Pâtisserie aux Bienfaits,229053.05769999977,5368278.742875,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
34,10043,Piscine Saint-Germain,229163.37129999977,5368146.366575001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point
