ID,DATE_ATTRIB,TYPE_LIEU,TYPE_DOSSIER_INTERV,SECTEUR_SCIAN,REGION
56,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,CAPITALE-NATIONALE
57,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,CAPITALE-NATIONALE
58,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,CONSTRUCTION,CAPITALE-NATIONALE
59,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
60,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,ST-JEAN-SUR-RICHELIEU
61,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
62,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LANAUDIERE
63,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
64,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
65,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,CAPITALE-NATIONALE
66,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
67,2020-01-06,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),MONTREAL
68,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,CAPITALE-NATIONALE
69,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,CAPITALE-NATIONALE
70,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
71,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,CAPITALE-NATIONALE
72,2020-01-06,ETABLISSEMENT,PLAINTE,"SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN",MONTREAL
73,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,CAPITALE-NATIONALE
74,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
75,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
76,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,BAS-ST-LAURENT
77,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,SERVICES PUBLICS,CAPITALE-NATIONALE
78,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,ADMINISTRATIONS PUBLIQUES,CAPITALE-NATIONALE
79,2020-01-06,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),MAURICIE ET CENTRE-DU-QUEBEC
80,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),COTE-NORD
81,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,CAPITALE-NATIONALE
82,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
83,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
84,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
85,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
86,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,COTE-NORD
87,2020-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE GROS,MAURICIE ET CENTRE-DU-QUEBEC
88,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
89,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,COTE-NORD
90,2020-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,MAURICIE ET CENTRE-DU-QUEBEC
91,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,COTE-NORD
92,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,COTE-NORD
93,2020-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,MONTREAL
94,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,HEBERGEMENT ET SERVICES DE RESTAURATION,COTE-NORD
95,2020-01-06,ETABLISSEMENT,PLAINTE,AGRICULTURE,MONTREAL
96,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
97,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
98,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,HEBERGEMENT ET SERVICES DE RESTAURATION,CAPITALE-NATIONALE
99,2020-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE GROS,YAMASKA
100,2020-01-06,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,COTE-NORD
101,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
102,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
103,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
104,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
105,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),MAURICIE ET CENTRE-DU-QUEBEC
106,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
107,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
108,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,CAPITALE-NATIONALE
109,2020-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,MONTREAL
110,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
111,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
112,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
113,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
114,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
115,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
116,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
117,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
118,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),ESTRIE
119,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),YAMASKA
120,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
121,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
122,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
123,2020-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,CHAUDIERE-APPALACHES
124,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
125,2020-01-06,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,CHAUDIERE-APPALACHES
126,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
127,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
128,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
129,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
130,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
131,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
132,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
133,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
134,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
135,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
136,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,LAURENTIDES
137,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
138,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
139,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
140,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
141,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,MONTREAL
142,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAURENTIDES
143,2020-01-06,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,MONTREAL
144,2020-01-06,ETABLISSEMENT,PLAINTE,TRANSPORT ET ENTREPOSAGE,MONTREAL
145,2020-01-06,ETABLISSEMENT,PLAINTE,TRANSPORT ET ENTREPOSAGE,MONTREAL
146,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LANAUDIERE
147,2020-01-07,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,LANAUDIERE
148,2020-01-07,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LANAUDIERE
149,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LONGUEUIL
150,2020-01-07,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LANAUDIERE
151,2020-01-07,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,LANAUDIERE
152,2020-01-07,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LANAUDIERE
153,2020-01-07,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,CHAUDIERE-APPALACHES
154,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,SAGUENAY-LAC-ST-JEAN
155,2020-01-07,ETABLISSEMENT,PLAINTE,CONSTRUCTION,LANAUDIERE
156,2020-01-07,ETABLISSEMENT,PLAINTE,AUTRES SERVICES,LANAUDIERE
157,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,"INFORMATION, CULTURE ET LOISIRS",GASPESIE-ILES-DE-LA-MADELEINE
158,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,CONSTRUCTION,SAGUENAY-LAC-ST-JEAN
159,2020-01-07,ETABLISSEMENT,PLAINTE,"INFORMATION, CULTURE ET LOISIRS",CAPITALE-NATIONALE
160,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,SAGUENAY-LAC-ST-JEAN
161,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,HEBERGEMENT ET SERVICES DE RESTAURATION,COTE-NORD
162,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
163,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",ABITIBI-TEMISCAMINGUE
164,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",COTE-NORD
165,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",ABITIBI-TEMISCAMINGUE
166,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",ABITIBI-TEMISCAMINGUE
167,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
168,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,CONSTRUCTION,ABITIBI-TEMISCAMINGUE
169,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,"FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE",SAGUENAY-LAC-ST-JEAN
170,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
171,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
172,2020-01-07,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),MONTREAL
173,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
174,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
175,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
176,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
177,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
178,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
179,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
180,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
181,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
182,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
183,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
184,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
185,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
186,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,MONTREAL
187,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,HEBERGEMENT ET SERVICES DE RESTAURATION,MONTREAL
188,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,CONSTRUCTION,LANAUDIERE
189,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,COTE-NORD
190,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,HEBERGEMENT ET SERVICES DE RESTAURATION,COTE-NORD
191,2020-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,CAPITALE-NATIONALE
192,2020-01-07,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),CHAUDIERE-APPALACHES
