ID,DATE_ATTRIB,TYPE_LIEU,TYPE_DOSSIER_INTERV,SECTEUR_SCIAN,REGION
1,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
2,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
3,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LAVAL
4,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
5,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
6,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
7,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
8,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
9,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
10,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
11,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,BAS-ST-LAURENT
12,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,BAS-ST-LAURENT
13,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LAVAL
14,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,BAS-ST-LAURENT
15,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LAVAL
16,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LAVAL
17,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
18,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
19,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",BAS-ST-LAURENT
20,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,LAVAL
21,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,BAS-ST-LAURENT
22,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,LAVAL
23,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,BAS-ST-LAURENT
24,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,BAS-ST-LAURENT
25,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,LAVAL
26,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,LAVAL
27,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,LAVAL
28,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,BAS-ST-LAURENT
29,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,BAS-ST-LAURENT
30,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,LAVAL
31,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LAVAL
32,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LAVAL
33,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
34,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LAVAL
35,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,BAS-ST-LAURENT
36,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAVAL
37,2016-01-05,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),MONTREAL
38,2016-01-05,ETABLISSEMENT,PROGRAMME PRINCIPAL,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",ABITIBI-TEMISCAMINGUE
39,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,LAVAL
40,2016-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),CHAUDIERE-APPALACHES
41,2016-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),GASPESIE-ILES-DE-LA-MADELEINE
42,2016-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),CHAUDIERE-APPALACHES
43,2016-01-05,ETABLISSEMENT,PLAINTE,"SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN",SAGUENAY-LAC-ST-JEAN
44,2016-01-05,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),LAVAL
45,2016-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,"INFORMATION, CULTURE ET LOISIRS",GASPESIE-ILES-DE-LA-MADELEINE
46,2016-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),ST-JEAN-SUR-RICHELIEU
