ID,DATE_ATTRIB,TYPE_LIEU,TYPE_DOSSIER_INTERV,SECTEUR_SCIAN,REGION
1,2021-01-04,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
2,2021-01-04,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,VALLEYFIELD
3,2021-01-04,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,VALLEYFIELD
4,2021-01-04,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,VALLEYFIELD
5,2021-01-04,ETABLISSEMENT,PLAINTE,ADMINISTRATIONS PUBLIQUES,VALLEYFIELD
6,2021-01-04,LIEU NON CLASSE,LOI ET REGLEMENTS,INDETERMINE (AUTRES),LONGUEUIL
7,2021-01-05,AUTRE LIEU DE TRAVAIL,LOI ET REGLEMENTS,INDETERMINE (AUTRES),MONTREAL
8,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,MAURICIE ET CENTRE-DU-QUEBEC
9,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE GROS,MONTREAL
10,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),MONTREAL
11,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),MAURICIE ET CENTRE-DU-QUEBEC
12,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),MAURICIE ET CENTRE-DU-QUEBEC
13,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE GROS,LONGUEUIL
14,2021-01-05,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),MONTREAL
15,2021-01-05,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,LONGUEUIL
16,2021-01-05,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,LONGUEUIL
17,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
18,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),CAPITALE-NATIONALE
19,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
20,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
21,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
22,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),MAURICIE ET CENTRE-DU-QUEBEC
23,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
24,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
25,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
26,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
27,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LAURENTIDES
28,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,MAURICIE ET CENTRE-DU-QUEBEC
29,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
30,2021-01-05,ETABLISSEMENT,PLAINTE,TRANSPORT ET ENTREPOSAGE,MAURICIE ET CENTRE-DU-QUEBEC
31,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
32,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
33,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
34,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
35,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
36,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
37,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
38,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
39,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
40,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
41,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
42,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
43,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
44,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LONGUEUIL
45,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
46,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
47,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
48,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
49,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
50,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
51,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ESTRIE
52,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),COTE-NORD
53,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,CHAUDIERE-APPALACHES
54,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,CHAUDIERE-APPALACHES
55,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LANAUDIERE
56,2021-01-05,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),MONTREAL
57,2021-01-05,ETABLISSEMENT,PLAINTE,"SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN",MONTREAL
58,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,CHAUDIERE-APPALACHES
59,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,"INFORMATION, CULTURE ET LOISIRS",OUTAOUAIS
60,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,CHAUDIERE-APPALACHES
61,2021-01-05,ETABLISSEMENT,PLAINTE,AUTRES SERVICES,CAPITALE-NATIONALE
62,2021-01-05,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,CAPITALE-NATIONALE
63,2021-01-05,ETABLISSEMENT,PLAINTE,AUTRES SERVICES,CAPITALE-NATIONALE
64,2021-01-05,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,CHAUDIERE-APPALACHES
65,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),ST-JEAN-SUR-RICHELIEU
66,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
67,2021-01-05,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,YAMASKA
68,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,SOINS DE SANTE ET ASSISTANCE SOCIALE,YAMASKA
69,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),MAURICIE ET CENTRE-DU-QUEBEC
70,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,ST-JEAN-SUR-RICHELIEU
71,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
72,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,ST-JEAN-SUR-RICHELIEU
73,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,ST-JEAN-SUR-RICHELIEU
74,2021-01-05,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,SAGUENAY-LAC-ST-JEAN
75,2021-01-05,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,SAGUENAY-LAC-ST-JEAN
76,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,SAGUENAY-LAC-ST-JEAN
77,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,VALLEYFIELD
78,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,SAGUENAY-LAC-ST-JEAN
79,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,SAGUENAY-LAC-ST-JEAN
80,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,MAURICIE ET CENTRE-DU-QUEBEC
81,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
82,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
83,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
84,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,"INFORMATION, CULTURE ET LOISIRS",SAGUENAY-LAC-ST-JEAN
85,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,SAGUENAY-LAC-ST-JEAN
86,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,ST-JEAN-SUR-RICHELIEU
87,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
88,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
89,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
90,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,VALLEYFIELD
91,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
92,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,CHAUDIERE-APPALACHES
93,2021-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LAVAL
94,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
95,2021-01-05,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
96,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
97,2021-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
98,2021-01-05,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,LAVAL
99,2021-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL,COTE-NORD
100,2021-01-06,ETABLISSEMENT,PLAINTE,AUTRES SERVICES,LONGUEUIL
101,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LONGUEUIL
102,2021-01-06,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
103,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
104,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
105,2021-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),CHAUDIERE-APPALACHES
106,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
107,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
108,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
109,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
110,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
111,2021-01-06,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,YAMASKA
112,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
113,2021-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
114,2021-01-06,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),LONGUEUIL
115,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
116,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LAURENTIDES
117,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
118,2021-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LANAUDIERE
119,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,SOINS DE SANTE ET ASSISTANCE SOCIALE,CAPITALE-NATIONALE
120,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,VALLEYFIELD
121,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,ST-JEAN-SUR-RICHELIEU
122,2021-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LONGUEUIL
123,2021-01-06,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),LONGUEUIL
124,2021-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LANAUDIERE
125,2021-01-06,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,LONGUEUIL
126,2021-01-06,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,SAGUENAY-LAC-ST-JEAN
127,2021-01-06,ETABLISSEMENT,PLAINTE,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
128,2021-01-06,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,SAGUENAY-LAC-ST-JEAN
129,2021-01-06,ETABLISSEMENT,PLAINTE,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
130,2021-01-06,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,SAGUENAY-LAC-ST-JEAN
131,2021-01-06,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,SAGUENAY-LAC-ST-JEAN
132,2021-01-06,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,MONTREAL
133,2021-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),MAURICIE ET CENTRE-DU-QUEBEC
