Instance,Type_assemblee,Publique,Diffusion_web,Date,Heure,Endroit,Salle,Rue,No_civique
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2015-05-12,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-05-13,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2015-05-13,13:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-05-20,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-05-25,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-05-27,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2015-05-28,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-06-03,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2015-06-03,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2015-06-03,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2015-06-04,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-06-10,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-06-15,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-06-17,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-06-17,19:00:00,Édifice Lucien-Saulnier,Salle 202 ,Notre-Dame est,155
Conseil d'agglomération,Régulière,Oui,Non,2015-06-18,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-06-23,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-06-29,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-06-30,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,,2015-07-07,13:00:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-07-29,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-08-05,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-08-12,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,,2015-08-14,08:00:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,,2015-08-17,11:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-08-17,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-08-19,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2015-08-20,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-08-26,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-09-02,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-09-09,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission de la présidence du conseil,Consultation publique,Oui,Non,2015-09-10,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-09-16,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le développement social et la diversité montréalaise,Consultation publique,Oui,Non,2015-09-16,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,,2015-09-21,12:00:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-09-21,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-09-23,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2015-09-24,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-09-30,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-10-07,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le développement social et la diversité montréalaise,Consultation publique,Oui,Non,2015-10-07,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le développement social et la diversité montréalaise,Consultation publique,Oui,Non,2015-10-08,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-10-14,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le développement social et la diversité montréalaise,Consultation publique,Oui,Non,2015-10-15,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,,2015-10-21,07:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-10-21,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Extraordinaire,Oui,,2015-10-21,14:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Extraordinaire,Oui,,2015-10-22,14:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,,2015-10-23,12:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-10-23,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-10-26,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-10-28,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2015-10-29,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-10-30,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-11-02,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-11-03,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-11-04,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-11-05,13:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-11-06,11:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-11-11,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le développement économique et urbain et l'habitation,Consultation publique,Oui,Non,2015-11-12,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-11-18,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-11-23,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-11-25,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2015-11-26,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-11-27,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-11-30,08:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-12-01,08:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-12-02,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-12-02,08:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur la sécurité publique,Consultation publique,Oui,Non,2015-12-02,13:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-12-03,08:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-12-04,08:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2015-12-07,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur la sécurité publique,Consultation publique,Oui,Non,2015-12-07,11:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2015-12-08,14:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-12-09,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-12-14,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-12-16,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2015-12-17,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-01-06,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-01-13,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-01-20,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2016-01-25,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-01-27,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2016-01-28,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-02-03,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-02-10,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le transport et les travaux publics,Consultation publique,Oui,Non,2016-02-15,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-02-17,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,Non,2016-02-22,10:45:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2016-02-22,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-02-24,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2016-02-25,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-03-02,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-03-09,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le transport et les travaux publics,Consultation publique,Oui,Non,2016-03-10,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le transport et les travaux publics,Consultation publique,Oui,Non,2016-03-15,14:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-03-16,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le transport et les travaux publics,Consultation publique,Oui,Non,2016-03-16,19:00:00,Mairie d'arrondissement de Verdun,Salle du conseil,de Verdun,4555
Commission sur le transport et les travaux publics,Consultation publique,Oui,Non,2016-03-17,19:00:00,Mairie d'arrondissement de Villeray - Saint-Michel - Parc-Extension,Salle du conseil,avenue Ogilvy,405
Conseil municipal,Régulière,Oui,Oui,2016-03-21,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-03-23,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2016-03-24,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-03-30,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-04-06,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-04-13,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,Non,2016-04-14,09:00:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le transport et les travaux publics,Consultation publique,Oui,Non,2016-04-14,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2016-04-18,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-04-20,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2016-04-21,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-04-27,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-05-04,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-05-11,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2016-05-16,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-05-18,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2016-05-19,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-05-25,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-05-31,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-06-01,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-06-08,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-06-08,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-06-15,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission de la présidence du conseil,Consultation publique,Oui,Non,2016-06-15,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,Non,2016-06-16,09:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le développement économique et urbain et l'habitation,Consultation publique,Oui,Non,2016-06-16,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2016-06-20,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-06-22,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2016-06-22,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-06-29,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-07-06,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-08-03,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-08-10,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-08-17,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-08-21,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2016-08-22,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-08-24,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2016-08-25,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-09-07,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-09-14,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission de la présidence du conseil,Consultation publique,Oui,Non,2016-09-14,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le développement économique et urbain et l'habitation,Consultation publique,Oui,Non,2016-09-15,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le développement économique et urbain et l'habitation,Consultation publique,Oui,Non,2016-09-19,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-09-21,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le schéma d'aménagement et de développement de Montréal,Consultation publique,Oui,Non,2016-09-21,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2016-09-26,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-09-28,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2016-09-29,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-10-05,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-10-12,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le développement économique et urbain et l'habitation,Consultation publique,Oui,Non,2016-10-18,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-10-19,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2016-10-20,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2016-10-24,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-10-26,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2016-10-27,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le schéma d'aménagement et de développement de Montréal,Consultation publique,Oui,Non,2016-11-01,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,Non,2016-11-02,07:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-11-02,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Extraordinaire,Oui,Non,2016-11-02,14:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Extraordinaire,Oui,Non,2016-11-02,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-11-04,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-11-07,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-11-08,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-11-09,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-11-09,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-11-10,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-11-11,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-11-14,11:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2016-11-14,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2016-11-15,09:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le développement social et la diversité montréalaise,Consultation publique,Oui,Non,2016-11-15,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-11-16,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2016-11-18,09:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2016-11-21,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-11-23,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2016-11-24,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Extraordinaire,Oui,Non,2016-11-28,14:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Extraordinaire,Oui,Non,2016-11-29,09:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le schéma d'aménagement et de développement de Montréal,Consultation publique,Oui,Non,2016-11-29,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,Non,2016-11-30,07:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-11-30,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Extraordinaire,Oui,Non,2016-11-30,14:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Extraordinaire,Oui,Non,2016-11-30,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le schéma d'aménagement et de développement de Montréal,Consultation publique,Oui,Non,2016-12-01,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-12-02,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-12-05,08:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-12-06,08:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-12-07,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
"Commission sur la culture, le patrimoine et les sports",Consultation publique,Oui,Non,2016-12-07,19:00:00,Édifice Lucien-Saulnier,Salle 202,Notre-Dame est,155
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-12-07,08:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-12-07,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur la sécurité publique,Consultation publique,Oui,Non,2016-12-07,13:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-12-08,13:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-12-09,08:30:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le développement économique et urbain et l'habitation,Consultation publique,Oui,Non,2016-12-12,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2016-12-12,09:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur la sécurité publique,Consultation publique,Oui,Non,2016-12-12,11:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2016-12-14,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Extraordinaire,Oui,Non,2016-12-14,14:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le schéma d'aménagement et de développement de Montréal,Consultation publique,Oui,Non,2016-12-15,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
