Instance,Type_assemblee,Publique,Diffusion_web,Date,Heure,Endroit,Salle,Rue,No_civique
Conseil municipal,Régulière,Oui,Oui,2014-02-24,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-02-26,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2014-02-27,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-03-05,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-03-12,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-03-19,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,Non,2014-03-24,11:15:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2014-03-24,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-03-26,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2014-03-27,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-04-02,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-04-09,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-04-16,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-04-23,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,Non,2014-04-28,11:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2014-04-28,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-04-30,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2014-05-01,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-05-07,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les transports et les travaux publics,Consultation publique,Oui,Non,2014-05-07,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les transports et les travaux publics,Consultation publique,Oui,Non,2014-05-12,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission de la sécurité publique,Consultation publique,Oui,Non,2014-05-13,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-05-14,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-05-21,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les transports et les travaux publics,Consultation publique,Oui,Non,2014-05-21,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2014-05-26,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-05-28,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2014-05-29,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-06-04,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-06-11,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le schéma d’aménagement et de développement de Montréal,Consultation publique,Oui,Non,2014-06-11,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,Non,2014-06-16,11:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2014-06-16,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-06-18,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-06-18,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
