OBJECTID,MUNICIPALITE,DESIGNATION,CODE_LIEN,VOIE,NOM_VOIE,INTERSECTION,CLASSIFICATION,LONGUEUR,GEOM
6961,10043,Chemin,du,3e-Rang-du-Bic,Chemin du 3e-Rang-du-Bic,Montée Joseph-D'Astous / Privé,Locale,1321.68779727153,Ligne
6962,10043,,, ,Privé,Chemin du 3e-Rang-du-Bic,Privée,1560.05214212279,Ligne
6963,10043,Montée,,Joseph-D'Astous,Montée Joseph-D'Astous,Chemin du 3e-Rang-du-Bic,Locale,1393.46493505347,Ligne
6964,10043,Rue,,Brisson,Rue Brisson,Chemin Saint-Gérard / Rue Morneau,Locale,229.203100573084,Ligne
6965,10043,Rue,,Saint-Eugène,Rue Saint-Eugène,Avenue Léonidas Sud / Rue Saint-Albert,Locale,69.3100618150785,Ligne
6966,10043,Boulevard,,Jessop,Boulevard Jessop,Avenue Léonidas Nord / Avenue Léonidas Sud / Rampe d'accès,Nationale,62.381812879797,Ligne
6967,10043,Montée,,Industrielle-et-Commerciale,Montée Industrielle-et-Commerciale,Boulevard Arthur-Buies Est,Nationale,12.3746472551746,Ligne
6968,10043,Rampe d'accès,, ,Autoroute Jean-Lesage (rampe d'accès),Autoroute Jean-Lesage / Boulevard Arthur-Buies Ouest / Chemin Sainte-Odile,Autoroute,529.481397071968,Ligne
6969,10043,Chemin,,Sainte-Odile,Chemin Sainte-Odile,Autoroute Jean-Lesage (rampe d'accès) / Boulevard Arthur-Buies Ouest / Montée Sainte-Odile,Régionale,5.73146504220343,Ligne
6970,10043,Rampe d'accès,, ,Autoroute Jean-Lesage (rampe d'accès),Autoroute Jean-Lesage / Boulevard Arthur-Buies Ouest / Montée Sainte-Odile,Autoroute,666.246873310495,Ligne
6971,10043,Rue,des,Blés,Rue des Blés,Chemin du Grand-Macpès Ouest,Locale,136.373322127904,Ligne
6972,10043,Rue,,Alcide-C.-Horth,Rue Alcide-C.-Horth,Boulevard Arthur-Buies Est / Rue Fernand-Seguin,Locale,77.0033797088154,Ligne
6973,10043,,, ,Rampe d'accès,Boulevard René-Lepage Est,Locale,85.7577424389953,Ligne
6974,10043,Rue,,Talbot,Rue Talbot,Rue Desrosiers / Rue Taché,Locale,133.399754353672,Ligne
6975,10043,Avenue,de la,Cathédrale,Avenue de la Cathédrale,Rue Saint-Germain Est / Rue Saint-Germain Ouest / Rue Saint-Paul,Collectrice municipale,62.5082796881486,Ligne
6976,10043,Rue,,Saint-Paul,Rue Saint-Paul,Avenue de la Cathédrale / Rue Saint-Édouard,Locale,85.4832181708784,Ligne
6977,10043,Avenue,,Belzile,Avenue Belzile,Rue Legaré / Rue Saint-Pierre,Collectrice municipale,31.6157520814181,Ligne
6978,10043,Avenue,,Sirois,Avenue Sirois,Boulevard Arthur-Buies Ouest / Rue Monseigneur-Plessis,Locale,71.8867571427945,Ligne
