ï»¿objectid,zones,adresse,coin_rue,abri_bus,no_embarquement
44,1,"2080, 10e Rue",10e Rue / 21e Avenue,OUI,1014C
47,1,"1701, 15e Rue",17e Avenue / 15e Rue,NON,1016C
49,1,"450, 21e Avenue Est",21e Avenue Est / Rue Hanna,NON,1012C
51,1, ,Avenue de Grand-MÃ¨re / 8e Rue,NON,1000
52,1, ,Avenue de Grand-MÃ¨re / 17e Rue,NON,1500
54,2,"6500, chemin de Sainte-Flore", ,NON,2061B
56,2,"1184, chemin des Pommiers",Chemin des Pommiers / Chemin des Pruniers,NON,2081B
57,2,"1190, chemin des Pommiers",Chemin des Pommiers / Chemin des Plaines,NON,2082B
58,2,"40, rue du Mont-Joye",Chemin des Bouleaux / Rue du Mont-Joye,NON,2101A
59,2,"300, rue du Lac-Marchand",Rue des MÃ»riers / Rue du Lac-Marchand,NON,2102A
60,2,"370, chemin des Bouleaux",Rue des MÃ»riers / Rue du Lac-Marchand,NON,2103A
61,2,"505, chemin des Bouleaux", ,NON,2093A
62,2,"705, chemin des Bouleaux",Chemin des Bouleaux / Rue des Merisiers,NON,2092A
63,2,"801, chemin des Bouleaux",Chemin des Bouleaux / Rue des Lilas,NON,2091A
64,2,"1600, chemin des Pommiers",Chemin des Pommiers / Chemin Principal,OUI,2085A
65,2,411 chemin des Saules,Chemin des Saules / Chemin Principal,NON,2083A
66,2,"1370, chemin Principal", ,NON,2082A
67,2,"511, chemin des Saules",Chemin des Saules / Chemin des Magnolias,NON,2084A
68,2,"530, rue des Merisiers",Chemin de la Petite-RIviÃ¨re / Rue des Merisiers,NON,2104A
70,2,"470, chemin des GÃ©nÃ©vriers",Chemin des GenÃ©vriers / Chemin des FrÃªnes,NON,2081A
71,2, ,Chemin de Saint-GÃ©rard / Chemin des FrÃªnes,NON,2074A
73,2,"1160, chemin de Saint-GÃ©rard", ,NON,2072A
75,2,"201, rue des Cornouillers", ,NON,2067A
76,2,"7, rue des Cornouillers",Rue des Cournouillers / Chemin de Saint-GÃ©rard,NON,2066A
79,2,"460, rue Deschamps",Rue Deschamps / Chemin Richard,NON,2054A
80,2, ,Rue Deschamps / Chemin de Saint-GÃ©rard,OUI,2055A
81,2,"501, rue Deschamps",Rue Deschamps / Chemin Laverdure,NON,2063A
82,2,"408, chemin des Sapins",Chemin des Sapins / Rue LaforÃªt,NON,2062A
83,2,"720, chemin Juneau",Chemin Juneau / Chemin Bellefeuille,NON,2061A
86,2,"581, chemin de Saint-GÃ©rard",Chemin des Ãrables / Chemin Juneau,NON,2051A
90,2,"439, rue des Laurentides",Rue des Laurentides / Rue de Fontainebleau,NON,2032A
91,2,"161, chemin de Saint-GÃ©rard",Chemin de Saint-GÃ©rard / Rue des Peupliers,NON,2025A
92,2,"511, rue des Peupliers",Rue des Peupliers / Rue de Fontainebleau,NON,2031A
93,2,"4263, rue du PÃ¨re-Marquette",Rue du PÃ¨re-Marquette / Chemin de Saint-GÃ©rard,NON,2022A
95,2,"1832, avenue de la Montagne",Avenue de la Montagne / Rue l'Heureux,NON,2024A
96,2,3973 rue Trudel,Rue Trudel / Avenue de la Montagne,NON,2021A
97,2,"3662, rue Trudel",Rue Trudel / Avenue Carier,NON,2022B
98,2,"2392, avenue des Ormeaux",Avenue des Ormeaux / Rue DomrÃ©my,NON,2023B
99,2,"3313, place Garnier",Place Garnier / Avenue du Moulin,NON,2021B
100,2,"3643, rue Bellevue",Avenue Carier / Rue Bellevue,NON,2024B
101,2,"2302, avenue de la Montagne",Avenue de la Montagne / Rue Roy,NON,2026B
102,2,"2552, avenue de la Montagne",Avenue de la Montagne / Rue Bellevue,NON,2031B
103,2, ,Avenue LaflÃ¨che / Rue Bellevue,NON,2025B
104,2,"3063, avenue BeauprÃ©",Avenue BeauprÃ© / Rue Thibaudeau,NON,2034B
105,2, ,Avenue BeauprÃ© / Rue Gouin,NON,2035B
106,2, ,Avenue de la Montagne / Rue Thibaudeau,NON,2033B
107,2,"3712, avenue de la Montagne",Avenue de la Montagne / avenue BeauprÃ©,NON,2036B
110,2,"4995, avenue BeauprÃ©",Avenue BeauprÃ© / Rue Oscar-Houde,NON,2041B
111,2,"5083, rue EugÃ¨ne-Dumas",Rue EugÃ¨ne-Dumas / Avenue Maurice-Pellerin,NON,2042B
112,2,"10000, chemin de la VallÃ©e-du-Parc",Centre de ski VallÃ©e du Parc,NON,2093B
113,2, ,Boulevard Royal / Rue Saint-Joseph,OUI,2000
114,2,"2263, avenue du CollÃ¨ge",CEGEP,NON,2100
115,2,"6842, boulevard des HÃªtres",Boulevard des HÃªtres / Boulevard Hubert-Biermans,NON,2400
116,2,"2093, avenue Champlain",MarchÃ© municipal,NON,2500
117,2,"1940, chemin Principal", ,NON,2105A
119,2,"3000, rue Burrill", ,NON,2037A
120,3, ,rang Saint-Mathieu / Rue du CurÃ©-MÃ©lanÃ§on,NON,3045B
121,3, ,rang Saint-Mathieu / Rue du CurÃ©-Boulay,NON,3042B
123,3, ,Rue du Lac-Lafontaine,NON,3043B
124,3,"420, chemin de la Vigilance",Chemin de la Vigilance,NON,3037B
125,3,"83, rue Simard",Rue Simard / Rue des Tours,NON,3036B
127,3,"4180, avenue du Tour-du-Lac", ,NON,3072A
130,3,"4670, avenue du Tour-du-Lac", ,NON,3061A
131,3, ,Avenue du Tour-du-Lac / Rue de l'Envol,NON,3051A
132,3,"5110, avenue du Tour-du-Lac",Camping Rouillard,NON,3042A
133,3,"5280, avenue du Tour-du-Lac",Avenue du Tour-du-Lac / Rue Savignac,NON,3041A
134,3,"5520, avenue du Tour-du-Lac",Avenue du Tour-du-Lac / Rue du Dragueur,NON,3033A
135,3,"5640, avenue du Tour-du-Lac",Avenue du Tour-du-Lac / Rue Dostaler,NON,3032A
136,3,"440, rue du Village",Avenue du Tour-du-Lac / Rue du Village,OUI,3031A
137,3,"630, rue du Village",Rue Brunelle / Rue du Village,NON,3026A
138,3, ,Chemin de la Vigilance,NON,3022A
139,3,"900, chemin de la Vigilance",Chemin de la Vigilance / Rue Jeanne-Fortin,NON,3027A
140,3, ,Chemin des Dubois / Rue Jeanne-Fortin,NON,3023A
141,3,"991, route de Lac-Ã -la-Tortue",Rue Maurier / Route de Lac-Ã -la-Tortue,NON,3021A
142,3, ,Rue Lefebvre (face Ã  rue Caldwell),NON,3025A
143,3,"1151, chemin de la Vigilance",Chemin de la Vigilance / Rue Lupien,NON,3024A
146,3,"1831, chemin de la Vigilance",Chemin de la Vigilance / Rue Jarvis,NON,3047A
147,3,"2020, chemin de la Vigilance", ,NON,3056A
149,3,"2130, rue Preston",Rue Pronovost / Rue Preston,NON,3057A
154,3,"460, rue de l'Alouette",Chemin des Daniel / Rue de l'Alouette,NON,3069A
155,3,"310, rue de l'Alouette",Rue de l'Alouette / Rue de la Voltige,NON,3076A
158,3,"1003, 206e Avenue",206e Avenue / Rue de Clova,NON,3012D
159,3,"141, rue du Triage",Chemin des Cheminots / Rue du Triage,NON,3013D
160,3,"1341, avenue de Saint-Georges",Avenue de Saint-Georges / Chemin des Chalands,NON,3021D
166,3,"130, rue Lacroix",Rue Lacroix / Rue Courchesne,NON,3013C
167,3,"200, chemin des Dubois",Chemin des Dubois / Inconnu,NON,3019C
170,3,"40, rue des Loisirs",Rue des Loisirs / Rue Tousignant,NON,3012C
171,3E,"1803, rang Saint-Mathieu",rang Saint-Mathieu,NON,3021E
172,3E,"2250, rang Saint-Mathieu",rang Saint-Mathieu / Chemin Lamothe,NON,3031E
174,3E,"3925, rang Saint-Mathieu",rang Saint-Mathieu,NON,3041E
175,3E,"4005, rang Saint-Mathieu",rang Saint-Mathieu,NON,3051E
176,3E,"4400, rang Saint-Mathieu",rang Saint-Mathieu,NON,3061E
177,3E, ,rang Saint-Mathieu / Rue de la PoudriÃ¨re,NON,3071E
178,3E,"6400, rang Saint-Mathieu",rang Saint-Mathieu / Chemin du Lac-Pratte,OUI,3091E
180,3E, ,rang Saint-Mathieu / Rue du Lac-Lafontaine,NON,3121E
181,3E,"1082, chemin de la Vigilance",Chemin de la Vigilance / Rue du Village,NON,3151E
182,3,"1291, route des DÃ©fricheurs", ,NON,3022D
185,4,"11, rue de Belgoville",Rue de Belgoville,NON,4023A
186,4,"143, rue de Belgoville",Chemin de la RÃ©serve / Rue de Belgoville,NON,4021A
187,4, ,Rue FranÃ§oise-Rousseau / Boulevard Pie-XII,NON,4024A
189,4,"511, 4e rue de la Pointe", ,NON,4000
191,5,"3605, rang Saint-Michel", ,NON,5031C
195,5,"2590, rang Saint-Pierre",125e Rue / rang Saint-Pierre,NON,5021D
199,5,"445, 125e Rue", ,NON,5500
200,5,"3955, 105e Avenue", ,NON,5000
203,1,,Avenue du Panorama / Rue de la Colline,NON,1103A
204,1,,Chemin des Pionniers / Chemin du Lac-ChrÃ©tien,NON,1062B
205,3E,"1520, rang Saint-Mathieu",rang Saint-Mathieu,NON,3020E
206,2,"5352, rue Burrill",,NON,2056A
207,3,"3763, rue Burrill",,NON,2038A
208,3,"7385, rang Saint-Mathieu",,NON,3101 E
209,2,"Face au 485, chemin Richard",,NON,2064A
