ï»¿NOM,CATEG,ID_CARTE,WKT
Maison Pierre-ParÃ©,Sans aire de protection,15,POINT  ( 291538.35400391 5055232.88505859)
Maison Therrien,Avec aire de protection,13,POINT  ( 300318.16669922 5062107.96386719)
Maison Charbonneau,Avec aire de protection,11,POINT  ( 298625.11474609 5061469.80224609)
Ãglise Sainte-Rose,Sans aire de protection,14,POINT  ( 282412.51621094 5052712.04853516)
Maison Joseph-Labelle,Avec aire de protection,12,POINT  ( 286067.21679688 5058101.07451172)
Maison AndrÃ©-Benjamin-Papineau,Avec aire de protection,10,POINT  ( 282033.90205078 5044547.70820313)
