"Arrondissement","Organisme",2008,"2009 1e appel","2009 2e appel","2010 1er appel","2010 2e appel","2011 1er appel","2011 2e appel","2012 1er appel","2012 2e appel","2013 1er appel","2013 2e appel","2014 1er appel","2014 2e appel","TOTAL"
"(organisme montréalais)","Corpuscule danse",5000,6697,,,,,,,,13935,,,,25632
"(organisme montréalais)","Théâtre aphasique",,15000,,,,,,,,,,,,15000
"(organisme montréalais)","Société Élisabeth fry du Québec",,,11000,,,,,,,,,,,11000
"(organisme montréalais)","Société pour les enfants handicapés du Québec",,,15000,,,,,,,,,,,15000
"(organisme montréalais)","Société pour la promotion de la danse traditionnelle québécoise",,,,9000,,,12000,,,,,,15000,36000
"(organisme montréalais)","Visions sur l'art (Québec) inc.",,,,2993,,3000,,,,,,,,5993
"(organisme montréalais)","Société du patrimoine d'expression du Québec",,,,,13000,,,,,,,,,13000
"(organisme montréalais)","Engrenage noir",,,,,,18000,,,,,,,,18000
"(organisme montréalais)","Compagnons de Montréal",,,,,,13167,,,,12526,,8203,,33896
"(organisme montréalais)","Destins croisés",,,,,,,,,14250,,,,,14250
"(organisme montréalais)","Coopérative de Solidarité Mosaïques",,,,,,,,,,12900,,9990,,22890
"(organisme montréalais)","Événements Prima Danse",,,,,,,,,,10000,8500,,,18500
"(organisme montréalais)","Projet LOVE : vivre sans violence",,,,,,,,,,10000,,,,10000
"(organisme montréalais)","Société pour la promotion des bienfaits de l'apprentissage de la musique (SOBAM)",,,,,,,,,,15000,,,,15000
"(organisme montréalais)","Cactus Montréal (Cirque Hors Piste)",,,,,,,,,,14000,,,,14000
"(organisme montréalais)","Le regroupement pour la Trisomie 21",,,,,,,,,,,,15000,,15000
"(organisme montréalais)","Centre communautaire Radisson",,,,,,,,,,,,,8000,8000
"(organisme montréalais)","Y des femmes de Montréal",,,,,,,,,,,,,5000,5000
"Ahuntsic-Cartierville","Maison des jeunes d'Ahuntsic Le Squatt",15750,,,,,3500,,,3356,,,,,22606
"Ahuntsic-Cartierville","Carrefour d'aide aux nouveaux arrivants (CANA)",,,,,,8836,,,,,,,,8836
"Ahuntsic-Cartierville","Association Multifamiliale Meunier-Tolhurst",,,,,,,,,,,2175,,,2175
"Anjou","Service d'aide communautaire Anjou inc.",,,,,,,,,,,2186,,,2186
"Côte-des-Neiges-Notre-Dame-de-Grâce","Centre communautaire de loisir de la Côte-des-Neiges",,,,,,,20967,,,,,,,20967
