Nom Bibliothèque	Secteur	Titre	Nombre de prêt	Nombre de document	Lien URL
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	1967.1,L'âme soeur :roman historique /Jean-Pierre Charland.	9	8	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2487578?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Documentaires	Guide de la route /[publication réalisée par la Société de l'assurance automobile du Québec].	8	13	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2448995?lang=frc
Bibliothèque d'Ahuntsic	Adultes - DVD	Tom à la ferme[enregistrement vidéo] =Tom at the farm /réalisation, Xavier Dolan ; scénario, Xavier Dolan, Michel Marc Bouchard.	8	4	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2474670?lang=frc
Bibliothèque d'Ahuntsic	Adultes - DVD	Matchs mémorables dans l'histoire des Canadiens[enregistrement vidéo].	8	20	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1771041?lang=frc
Bibliothèque d'Ahuntsic	Adultes - DVD	Fury (Film : 2014)	7	3	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2488582?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	L'élixir d'amour :roman /Eric-Emmanuel Schmitt.	7	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2450559?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Romans québécois	La grande mêlée :roman intercalaire /Michel Tremblay.	7	7	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2265976?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - Nouveautés	Nelson.15,Exécrable par nature /Bertschy.	7	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2493294?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - DVD	Le coq de St-Victor[enregistrement vidéo] =The rooster of St-Victor /réalisation, Pierre Greco ; scénario, Johanne Mercier, Pierre Greco.	7	4	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2459040?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	La veuve du boulanger :roman /Denis Monette.	7	7	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2466496?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Le siècle.3,Aux portes de l'éternité :roman /Ken Follett ; traduit de l'anglais par Jean-Daniel Brèque ... [et al.].	7	8	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2467415?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Les années de plomb.4,Amours de guerre :roman historique /Jean-Pierre Charland.	7	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2469365?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Les héritiers du fleuve.4,1931-1939 /Louise Tremblay-D'Essiambre.	7	9	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2476200?lang=frc
Bibliothèque d'Ahuntsic	Adultes - DVD	Hunger games[enregistrement vidéo] :l'embrasement = The Hunger games : catching fire /réalisation, Francis Lawrence ; scénario, Simon Beaufoy, Michael de Bruyn.	7	3	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2440675?lang=frc
Bibliothèque d'Ahuntsic	Adultes - DVD	X-Men.Jours d'un avenir passé[enregistrement vidéo] =X-Men.Days of future past /réalisation, Bryan Singer ; histoire de Jane Goldman, Simon Kinberg, Matthew Vaughn ; scénario, Simon Kinberg.	7	3	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2475231?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Croquette à la grimace /Jim Davis ; [traduction, Fanny Soubiran].	7	4	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2359484?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - DVD	Monster High.Deux films déments[enregistrement vidéo] =Monster High.Clawesome double feature.	7	4	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2460837?lang=frc
