Nom Bibliothèque	Secteur	Titre	Nombre de prêt	Nombre de document	Lien URL
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Nelson.11,Fléau sans frontière /Bertschy.	9	6	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2186075?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Soumission /Michel Houellebecq.	8	10	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2488049?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Le pardon :roman /Danielle Steel ; traduit de l'anglais (États-Unis) par Hélène Colombeau.	8	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2453044?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - DVD	Les aventures de Tintin[enregistrement vidéo] /réalisation, Stéphane Bernasconi.	8	9	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1393483?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Les héritiers du fleuve.4,1931-1939 /Louise Tremblay-D'Essiambre.	8	9	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2476200?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - Mangas	Naruto.58,Naruto vs Itachi!! /Masashi Kishimoto ; [traduit et adapté en français par Frédéric Malet].	8	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2390200?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - Documentaires	Tout sur les produits laitiers /Vic Parker ; texte français d'Ann Lamontagne.	8	4	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1922013?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - DVD	Monster High.Deux films déments[enregistrement vidéo] =Monster High.Clawesome double feature.	8	4	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2460837?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Les nombrils.5,Un couple d'enfer /[illustrations de] Delaf ; [texte de] Dubuc.	8	6	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2267803?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Kid Paddle.13,Slime project /scénario et dessin, Midam.	7	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2359512?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Nelson.10,Cyclone destroy /Bertschy.	7	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2075278?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - Mangas	Naruto.62,Fissure /Masashi Kishimoto ; [traduit et adapté en français par Sébastien Bigini].	7	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2451700?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Les légendaires.1,La pierre de Jovénia /Patrick Sobral.	7	4	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1378024?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Jean-François Lépine :sur la ligne de feu.	7	7	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2475761?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Le bleu de tes yeux :roman /Mary Higgins Clark ; traduit de l'anglais (États-Unis) par Anne Damour.	7	7	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2450741?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Romans SF	Le seigneur des anneaux /J. R. R. Tolkien ; traduit de l'anglais par F. Ledoux.	7	9	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1184956?lang=frc
Bibliothèque d'Ahuntsic	Adultes - DVD	L'écume des jours[enregistrement vidéo] =Mood indigo /réalisation, Michel Gondry ; scénario, Michel Gondry, Luc Bossi.	7	3	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2465951?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - Romans pré-ado	New York, New York! /Téa Stilton ; [illustrations de Alessandro Battan ... et al. ; traduction de Lili Plumederat].	7	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1825108?lang=frc
