quest,q2b,q2c,q33,q4,q4a,q4c,q4d,q4e,q4f,q4g,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q9a,q9b,q9c,q9d,q9e,q9f,q9g,q9h,q9i,q9j,q10,q11,q12a,q12b,q12c,q12d,q12e,q12f,q12g,q12h,q13a,q13b,q13c,q13d,q14,q15,q16,q17b,q17a,q18,q19a,q19b,q19c,q19d,q19e,q19f,q20,q21_m1,q21_m2,q21_m3,q21_m4,q21_m5,q21_m6,q21_m7,q21_m8,q21_m9,q21_m10,q22,q24,q25_m1,q25_m2,q25_m3,q25_m4,q25_m5,q26,q27_m1,q27_m2,q27_m3,q28,q29a,q29b,q29c,q29d,q29e,q29f,q29g,q29h,q30,q31,q34,q35,q36,q36b,q36c,q37,pondm
17,H3V,"17,00","6,00","1,00","9,00","2,00","2,00","2,00","9,00","1,00","2,00","3,00","4,00","2,00","2,00","3,00","2,00","4,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","3,00","2,00","2,00","3,00","2,00","2,00","3,00","2,00","2,00","2,00","9,00","9,00","2,00","2,00","9,00","9,00","1,00","2,00","9,00","2,00","99,00","2,00","4,00","2,00","2,00","2,00","9,00","9,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","5,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","2,00","1,00","3,00","1,00","2,00","0,38"
21,H2A,"3,00","5,00","1,00","3,00","3,00","2,00","9,00","2,00","9,00","1,00","1,00","1,00","2,00","3,00","3,00","2,00","4,00","4,00","3,00","3,00","3,00","3,00","2,00","3,00","3,00","2,00","4,00","3,00","2,00","3,00","2,00","2,00","3,00","2,00","3,00","1,00","1,00","1,00","1,00","2,00","3,00","2,00","2,00","2,00","2,00","1,00","98,00","1,00","3,00","1,00","2,00","1,00","9,00","1,00","2,00","2,00","3,00","2,00","3,00","3,00","2,00","2,00","2,00","8,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","4,00","1,00","1,00","2,00","1,36"
27,H1E,"19,00","5,00","1,00","2,00","2,00","2,00","2,00","3,00","2,00","3,00","3,00","4,00","3,00","4,00","3,00","3,00","3,00","4,00","3,00","1,00","2,00","3,00","1,00","2,00","2,00","2,00","3,00","3,00","2,00","3,00","2,00","3,00","3,00","2,00","3,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","1,00","34,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","1,00","4,00","1,00","1,00","2,00","1,20"
29,H4C,"13,00","4,00","1,00","2,00","1,00","2,00","2,00","2,00","4,00","4,00","4,00","4,00","4,00","4,00","4,00","4,00","4,00","4,00","4,00","1,00","4,00","4,00","2,00","2,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","4,00","1,00","1,00","1,00","3,00","4,00","4,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","4,00","4,00","3,00","3,00","3,00","5,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"3,00","2,00","3,00","1,00","1,00","2,00","0,69"
39,H3M,"7,00","4,00","1,00","4,00","4,00","9,00","1,00","1,00","9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","9,00","9,00","9,00","9,00","9,00","9,00","9,00","9,00","9,00","9,00","1,00","1,00","1,00","9,00","3,00","3,00","4,00","1,00","1,00","9,00","9,00","9,00","9,00","9,00","1,00","3,00","1,00","9,00","9,00","1,00","98,00","1,00","2,00","9,00","2,00","1,00","9,00","9,00","9,00","2,00","2,00","1,00","3,00","2,00","2,00","2,00","99,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","2,00","2,00","1,00","97,00","1,00","0,84"
42,H3W,"1,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","2,00","4,00","2,00","2,00","2,00","2,00","1,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","4,00","8,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","1,00","4,00","1,00","1,00","1,00","1,37"
45,H1S,"3,00","6,00","1,00","4,00","4,00","4,00","4,00","4,00","4,00","3,00","3,00","4,00","3,00","4,00","4,00","4,00","4,00","4,00","4,00","4,00","2,00","2,00","4,00","3,00","2,00","3,00","3,00","3,00","2,00","3,00","2,00","3,00","3,00","3,00","1,00","2,00","2,00","2,00","2,00","3,00","9,00","9,00","1,00","2,00","2,00","2,00","98,00","2,00","3,00","2,00","9,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","10,00","12,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","1,00","3,00","3,00","1,00","2,00","1,34"
66,H1G,"16,00","4,00","1,00","2,00","1,00","9,00","1,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","3,00","1,00","1,00","9,00","1,00","1,00","1,00","3,00","2,00","2,00","9,00","9,00","3,00","2,00","1,00","1,00","1,00","9,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","2,00","2,00","12,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","3,00","3,00","3,00","3,00","2,00","99,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","3,00","5,00","9,00","2,00","0,74"
67,H8N,"10,00","6,00","1,00","2,00","2,00","1,00","1,00","2,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","20,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","2,00","1,00","1,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","1,00","2,00","3,00","1,00","1,00","0,98"
71,H8N,"5,00","4,00","1,00","1,00","2,00","1,00","1,00","2,00","1,00","4,00","2,00","3,00","3,00","3,00","3,00","3,00","4,00","4,00","3,00","3,00","3,00","2,00","3,00","3,00","2,00","2,00","3,00","4,00","1,00","2,00","1,00","3,00","2,00","2,00","1,00","2,00","3,00","3,00","1,00","1,00","2,00","1,00","2,00","2,00","2,00","2,00","98,00","3,00","4,00","3,00","3,00","2,00","2,00","2,00","1,00","3,00","3,00","3,00","4,00","3,00","3,00","3,00","5,00","1,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","1,00",,,,,"1,00","1,00",,,"4,00","4,00","2,00","2,00","2,00","1,00","2,00","2,00","3,00","3,00","3,00","4,00","1,00","3,00","1,00","1,00","1,00","1,10"
74,H1A,"5,00","5,00","1,00","1,00","1,00","1,00","4,00","3,00","4,00","4,00","4,00","4,00","4,00","4,00","4,00","1,00","3,00","4,00","4,00","1,00","4,00","4,00","1,00","1,00","1,00","4,00","4,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","1,00","1,00","1,00","4,00","1,00","1,00","1,00","4,00","2,00","1,00","2,00","12,00","4,00","4,00","3,00","2,00","2,00","2,00","2,00","2,00","1,00","3,00","3,00","9,00","3,00","2,00","2,00","99,00","3,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","2,00","1,00","2,00","2,00","0,59"
82,H2V,"13,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","4,00","4,00","1,00","1,00","4,00","1,00","1,00","2,00","98,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","6,00","4,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","2,00","2,00","1,00","2,00","0,69"
