"Lauréats du prix Paul Buissonneau en théâtre amateur",
2014,"Troupe «Atout-coeur»"
2013,"Les Entre’Parleurs"
2012,"Théâtre RousScène"
2011,"Pierre Vaillant"
2011,"Récipiendaire d’une mention honorifique : Ana Gloria Blanch"
2010," La troupe TAMALOU (parrainée par la FADOQ Région Île de Montréal)"
2009,"Le projet CoOpéra (Les Arts de la scène) de l’Opéra de Montréal"
2008,"La Gang à Rambrou"
2007," Le Théâtre Aphasique"
2006,"Robert Maurac"
2005,"La troupe de théâtre L’Avant-Scène de LaSalle"
