ï»¿OBJECTID,MUNICIPALITE,IDRTE,TOPRESCYC,TYPEREVT,TYPEVOIECYC,LARGCYC,LONGUEUR,SHAPE.STLength()
401,86042,1,Axe voie de contournement,A,7,,1824.9200131,1824.9200130976
402,86042,2,Axe voie de contournement,A,7,,1313.13372348,1313.13372347879
403,86042,3,Sentier polyvalent Osisko,A,7,,5621.25798646,5621.25798645557
404,86042,4,Sentier polyvalent Osisko,A,7,,2216.60988791,2216.60988790825
405,86042,5,Axe Rouyn-Sud,A,7,,1387.91222191,1387.91222190708
406,86042,6,Axe Du-Sourire,A,1,,802.53187522,802.531875220223
407,86042,7,Axe Marie-Voctorin,A,4,,913.12856248,913.128562476752
408,86042,8,Axe LalibertÃ©,A,3,,320.30843093,320.308430925374
409,86042,9,Axe De-l'UniversitÃ©,A,3,,1254.35075369,1254.35075369266
410,86042,10,Axe Iberville,A,3,,959.52804241,959.528042414076
411,86042,11,Axe Dallaire,A,3,,303.20408518,303.204085178134
412,86042,12,Axe Dallaire,A,3,,102.17140796,102.171407959184
413,86042,13,Axe Dallaire,A,1,,259.115547,259.115546996393
414,86042,14,Axe Dallaire,A,3,,305.35311062,305.353110615373
415,86042,15,Axe Dallaire,A,3,,1840.7174045,1840.71740449565
416,86042,16,Axe Tremoy,A,1,,166.30268168,166.302681676454
417,86042,17,Axe Tremoy,A,1,,305.16544937,305.165449369855
418,86042,18,Axe Murdoch,A,1,,215.6660431,215.666043096154
419,86042,19,Axe Murdoch,A,4,,302.15122078,302.151220781257
420,86042,20,Axe Murdoch,A,3,,849.92554264,849.925542641202
421,86042,21,Axe 15iÃ¨me rue,A,3,,961.29645083,961.296450833039
422,86042,22,Axe Richelieu,A,1,,700.21675754,700.216757543996
423,86042,23,Axe Saguenay,A,3,,1010.96817304,1010.96817304232
424,86042,24,Route Verte,A,3,,3625.44912239,3625.44912238507
425,86042,25,Route Verte,A,2,,1669.69305654,1669.69305653749
426,86042,26,Route Verte,A,2,,4091.76111231,4091.76111231494
427,86042,27,Route Verte,A,2,,3427.91432339,3427.91432338741
428,86042,28,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,16354.47150588,16354.4715058781
429,86042,29,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,1288.92776825,1288.92776824775
430,86042,30,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,1562.56766761,1562.56766760564
431,86042,31,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,448.05851722,448.058517221006
432,86042,32,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,2833.45208168,2833.45208168443
433,86042,33,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,622.95734633,622.957346327522
434,86042,34,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,2915.6058843,2915.60588429892
435,86042,35,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,3550.6466648,3550.64666479711
436,86042,36,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,880.39046449,880.390464487502
437,86042,37,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,1378.72770803,1378.72770802664
438,86042,38,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,2059.96916445,2059.96916444876
439,86042,39,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,1492.62207014,1492.62207013506
440,86042,40,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,456.39932509,456.399325089193
441,86042,41,Parc linÃ©aire-Cyclo-Voie du Partage des Eaux,G,5,,1785.85165933,1785.85165932905
442,86042,42,Route Verte,A,2,,47848.93104844,47848.9310484399
443,86042,43,Axe Lafontaine,A,3,,685.17192335,685.171923347088
444,86042,44,Axe voie de contournement,A,3,,363.07925144,363.07925143643
445,86042,45,Axe Rouyn-Sud,A,7,,742.38360783,742.383607828031
446,86042,46,Axe voie de contournement,A,7,,997.69252203,997.692522025809
447,86042,47,Axe voie de contournement,A,7,,617.78675161,617.786751610699
448,86042,48,Axe Gamble,A,3,,326.22328216,326.223282159702
449,86042,49,Axe Dallaire,A,3,,66.31164108,66.311641082166
450,86042,50,Avenue QuÃ©bec,A,3,,1042.49123837,1042.49123837144
451,86042,51,Avenue QuÃ©bec,A,3,,1586.18826013,1586.18826012611
452,86042,52,Avenue QuÃ©bec,A,3,,106.75178765,106.751787649146
453,86042,53,Avenue QuÃ©bec,A,3,,744.74940118,744.749401183149
454,86042,54,Avenue QuÃ©bec,A,3,,800.7945995,800.794599504756
455,86042,55,Axe Tardif,A,1,,952.37676153,952.376761531292
456,86042,56,Rue Lapointe,A,3,,799.75241426,799.7524142609
457,86042,57,Saite-Bernadette,A,1,,518.76138324,518.761383238185
458,86042,58,Axe St-Luc,A,3,,733.63937691,733.639376908569
459,86042,59,Boulevard TÃ©micamingue,A,3,,1001.28252796,1001.28252795586
460,86042,60,Route Verte,A,2,,8288.79742496,8288.79742495536
461,86042,61,Route Verte,A,2,,418.26262319,418.262623186677
462,86042,62,Route Verte,A,2,,423.57388118,423.573881177304
463,86042,63,Route Verte,A,2,,3486.88795048,3486.88795047831
464,86042,64,Route Verte,A,2,,4.59063697,4.59063696778563
465,86042,65,Route Verte,A,2,,0.00659697,0.00659696900098826
466,86042,66,Route Verte,A,3,,1485.61536254,1485.61536253838
467,86042,67,Axe Murdoch,A,4,,553.89331747,553.893317468136
468,86042,68,Senator,A,3,,616.51458832,616.514588320354
469,86042,69,Axe Murdoch,A,3,,590.40453569,590.404535694572
470,86042,70,Axe Murdoch,A,4,,226.03136642,226.031366415426
