Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,6527,2131,21303,83400,123678,16702,46835,46.746728286,204.02361429
Situation familiale,Couples sans enfants,1577,1116,3096,8291,8267,273,3726,54.317188066,217.02186254
Situation familiale,Familles monoparentales,1182,766,5421,23378,2916,2236,9007,38.206967369,123.32208869
Situation familiale,Couples avec enfants,2823,1540,5944,8486,8438,662,5969,41.832368234,121.98741432
Situation familiale,Conjoint d'étudiant,2,60,86,131,78,18,105,37.765550239,76.985645933
Sexe,Hommes,6479,2029,16826,0,143377,10944,36313,45.960858436,188.29064634
Sexe,Femmes,5632,3584,19024,123686,0,8947,29329,46.168127355,195.40560775
Âge,Moins de 20 ans,371,99,189,1474,1920,3394,3303,18.564230996,10.829404832
Âge,De 20 à 24 ans,1320,375,991,7473,9024,16497,6710,22.191792447,39.065769534
Âge,De 25 à 29 ans,1716,403,1537,10203,11449,0,8064,27.057408092,69.576205431
Âge,De 30 à 34 ans,1970,561,2157,10504,11965,0,7980,31.995682941,96.74556055
Âge,De 35 à 39 ans,1970,708,2931,11355,13269,0,7863,37.051738142,129.85205491
Âge,De 40 à 44 ans,1520,623,3656,11988,14277,0,7049,41.983856844,166.04538359
Âge,De 45 à 49 ans,1035,411,4314,11947,13897,0,5876,47.0442269,205.37718619
Âge,De 50 à 54 ans,693,326,5328,14746,17506,0,5782,52.097141263,243.6877713
Âge,55 ans et plus,1516,2107,14747,43996,50070,0,13015,60.118448749,277.23277273
Âge,35 ans et moins,5794,1568,5400,31863,36826,19891,27641,27.62535486,71.366157609
Âge,36 ans et plus,6317,4045,30450,91823,106551,0,38001,52.438943612,233.21310252
Scolarité,Primaire,38,833,3814,9167,10533,2210,3543,46.588274112,227.63989848
Scolarité,Secondaire I à IV,37,492,7879,43529,55353,7781,22037,45.087326308,212.47517243
Scolarité,Secondaire V,58,504,7405,25721,28117,1601,13050,48.567963149,190.09881496
Scolarité,Collégiale,21,176,3086,8270,8571,246,4267,49.042634048,173.16145122
Scolarité,Universitaire,70,698,4657,5877,6650,20,3502,51.168835316,151.74886246
Scolarité,Inconnue,11887,2910,9009,31122,34153,8033,19243,43.542642666,162.68556109
Diplôme maximum obtenu,Aucun diplôme,119,1591,15417,58992,72811,10473,28288,45.811726592,213.09879897
Diplôme maximum obtenu,Secondaire - DES,14,234,3608,16955,17870,1152,8918,47.277616655,180.285542
Diplôme maximum obtenu,Secondaire - DEP,1,26,752,4791,5740,98,2632,50.080903998,208.2550565
Diplôme maximum obtenu,Secondaire - ASP,0,0,69,357,606,6,212,50.780893043,220.07372793
Diplôme maximum obtenu,Collégial - AEC,2,25,472,1455,1473,12,865,49.708333333,160.24590164
Diplôme maximum obtenu,Collégial - DEC général,0,13,410,1252,1462,23,616,49.693441415,181.23286662
Diplôme maximum obtenu,Collégial - DEC professionnel,2,32,561,1900,1758,17,978,49.890377255,154.79579005
Diplôme maximum obtenu,Universitaire - Certificat,1,14,343,649,626,0,280,52.004705882,170.05568627
Diplôme maximum obtenu,Universitaire - Baccalauréat,12,264,1781,2418,2538,6,1466,50.988498789,139.0554883
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,6,86,614,524,649,0,380,51.118499574,115.68456948
Diplôme maximum obtenu,Inconnu,11954,3328,11823,34393,37844,8104,21007,44.261680302,163.7101347
Durée cumulative,Premier mois,186,55,60,294,323,237,617,33.823338736,1
