Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,5882,2253,23232,89939,134999,19445,57951,46.373582943,196.65832363
Situation familiale,Couples sans enfants,1667,1062,3363,9334,9310,335,4864,53.587052135,213.17812701
Situation familiale,Familles monoparentales,1202,843,6189,26389,3438,2692,11161,38.011901968,121.32423643
Situation familiale,Couples avec enfants,3193,2056,7053,10307,10263,943,7983,41.138454059,115.9110841
Situation familiale,Conjoint d'étudiant,0,126,117,198,126,28,172,38.101851852,60.234567901
Sexe,Hommes,6455,2460,18922,0,158136,12759,45503,45.525629838,180.15765544
Sexe,Femmes,5489,3880,21032,136167,0,10684,36628,45.70388567,189.05870732
Âge,Moins de 20 ans,380,93,194,1741,2171,3912,3783,18.615286299,11.88599182
Âge,De 20 à 24 ans,1187,536,1189,8943,10588,19531,8385,22.174082228,38.138241769
Âge,De 25 à 29 ans,1710,534,1878,11629,13118,0,10375,27.052854892,65.821271265
Âge,De 30 à 34 ans,2142,750,2569,11667,13375,0,9986,32.036578548,92.674986023
Âge,De 35 à 39 ans,2160,900,3523,12819,15243,0,10083,37.061007769,125.69043546
Âge,De 40 à 44 ans,1556,705,4143,12990,15323,0,8653,41.981033448,161.06361036
Âge,De 45 à 49 ans,942,507,5054,13289,15591,0,7426,47.094944598,200.26658587
Âge,De 50 à 54 ans,600,374,5882,16903,20336,0,7723,52.147694621,240.27068396
Âge,55 ans et plus,1267,1941,15522,46186,52391,0,15717,59.996905972,270.58530895
Âge,35 ans et moins,5861,2111,6444,36428,42105,23443,34537,27.544815555,67.934791744
Âge,36 ans et plus,6083,4229,33510,99739,116031,0,47594,52.182532326,226.62022061
Scolarité,Primaire,60,965,4133,10066,11510,2442,4386,46.611188357,223.31609195
Scolarité,Secondaire I à IV,75,649,8712,48389,61540,10083,28350,44.33890966,202.24592237
Scolarité,Secondaire V,126,664,8345,28831,31790,2150,17935,47.834446809,179.77036011
Scolarité,Collégiale,49,274,3461,9185,9609,385,5775,48.254070448,163.39432798
Scolarité,Universitaire,155,957,5341,6782,7850,54,5031,50.275423729,141.00676599
Scolarité,Inconnue,11479,2831,9962,32914,35837,8329,20654,43.642972466,162.18098646
Diplôme maximum obtenu,Aucun diplôme,246,1983,17096,65702,80926,13125,36552,45.195412882,203.63519928
Diplôme maximum obtenu,Secondaire - DES,17,302,3994,18761,20103,1554,12113,46.581746604,170.25355084
Diplôme maximum obtenu,Secondaire - DEP,3,28,856,5386,6538,184,3682,49.037151962,195.76283126
Diplôme maximum obtenu,Secondaire - ASP,0,4,82,424,703,20,305,49.523513753,205.90150843
Diplôme maximum obtenu,Collégial - AEC,1,24,527,1610,1646,18,1181,49.057125307,152.08292383
Diplôme maximum obtenu,Collégial - DEC général,1,19,464,1349,1662,41,846,49.219860511,175.55363667
Diplôme maximum obtenu,Collégial - DEC professionnel,4,65,657,2152,1963,40,1343,48.916160389,144.33487242
Diplôme maximum obtenu,Universitaire - Certificat,0,27,437,812,759,4,523,50.731381286,153.89178867
Diplôme maximum obtenu,Universitaire - Baccalauréat,20,397,2020,2783,2989,13,2049,50.1495149,129.36347886
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,12,131,727,609,810,0,609,50.389711064,103.29457364
Diplôme maximum obtenu,Inconnu,11640,3360,13094,36579,40037,8444,22928,44.310822805,162.34922209
Durée cumulative,Premier mois,935,78,94,774,854,480,1628,34.383292383,1
Durée cumulative,De 2 à 5 mois,3428,226,374,2886,3327,1706,6213,33.935940769,3.4912280702
Durée cumulative,De 6 à 11 mois,4173,497,632,4188,4587,2231,8775,34.94951567,8.387008547
Durée cumulative,De 12 à 23 mois,2864,1764,1759,7542,8092,4743,15634,34.869643086,17.59927082
Durée cumulative,De 24 à 47 mois,332,3296,3766,12060,13968,7643,11050,35.772437375,35.108882742
Durée cumulative,De 48 à 119 mois,141,479,12332,27982,34748,6639,18695,39.707221425,81.880137095
Durée cumulative,120 mois et plus,71,0,20997,80735,92560,1,20136,51.253809977,275.89227041
Types de contraintes,Sans contraintes,9931,3482,17086,42432,62533,9875,45512,40.100681179,124.88116039
Types de contraintes,Contraintes temporaires,1772,2014,11121,33558,24253,4048,20677,50.063430835,160.28357925
Types de contraintes,Contraintes sévères,210,605,10631,57188,68707,9434,14977,47.888740617,243.14989475
Types de contraintes,Conjoints sans contraintes sévères,31,239,1116,2989,2643,86,965,51.538352273,221.46786222
Région,01 - Bas-Saint-Laurent,0,22,52,3196,3929,478,1639,47.739368421,226.24252632
Région,02 - Saguenay - Lac-St-Jean,0,2,66,4586,5272,752,2334,46.199229053,219.35423007
Région,03 - Capitale-Nationale,1,464,1101,8101,10473,1303,4550,46.732098632,208.14154194
Région,04 - Mauricie,0,110,289,6196,7421,1162,3069,45.566350885,210.68789014
Région,05 - Estrie,3,395,796,5709,6918,1151,3135,45.252554051,191.87479211
Région,06 - Île-de-Montréal,11915,3175,28647,44101,50814,6602,32224,45.695148291,156.79148712
Région,07 - Outaouais,3,304,1085,6702,7428,1241,3467,44.491932059,174.61450814
Région,08 - Abitibi-Témiscamingue,0,1,30,2059,2378,335,1193,46.388325445,210.80211855
Région,09 - Côte-Nord,0,0,23,1105,1334,190,642,46.243542435,216.90405904
Région,10 - Nord-du-Québec,0,0,6,489,616,162,528,39.956561086,134.39819005
Région,11 - Gaspésie - Îles-de-la-Madeleine,0,0,20,1842,2186,263,849,47.808093347,236.94240318
Région,12 - Chaudières-Appalaches,0,7,150,4270,5018,708,2264,46.20251938,204.74752369
Région,13 - Laval,8,898,2857,5152,5303,866,2782,46.605451937,154.44112865
Région,14 - Lanaudière,1,114,504,7265,7814,1491,3957,44.63671331,184.77903044
Région,15 - Laurentides,0,104,599,8195,9456,1602,4854,44.919664608,180.67293638
Région,16 - Montérégie,3,573,3037,19926,22136,3906,10432,44.559697589,183.11409348
Région,17 - Centre-du-Québec,0,158,214,4141,4888,805,2245,45.117399491,193.3177539
Région,99 - Central,10,13,478,3132,4752,426,1967,48.453069508,310.13026383
