Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,4949,2467,23878,91739,136802,20671,58307,46.246826609,194.74829462
Situation familiale,Couples sans enfants,1466,1039,3538,9596,9572,373,4951,53.361696578,213.72641903
Situation familiale,Familles monoparentales,1349,909,6632,28037,3623,2888,12020,37.884870499,119.22125711
Situation familiale,Couples avec enfants,2934,2517,7639,11027,10977,1060,8759,40.909516452,113.15215415
Situation familiale,Conjoint d'étudiant,3,146,139,232,146,34,207,37.642857143,52.616402116
Sexe,Hommes,5593,2819,19807,0,161120,13560,45895,45.383273337,177.96479643
Sexe,Femmes,5108,4259,22019,140631,0,11466,38349,45.465203262,186.41141711
Âge,Moins de 20 ans,265,157,230,2007,2502,4509,4368,18.615879352,11.927256598
Âge,De 20 à 24 ans,927,595,1315,9459,11058,20517,8799,22.158990106,37.45035824
Âge,De 25 à 29 ans,1431,635,1983,11987,13127,0,10370,27.032890022,64.893804253
Âge,De 30 à 34 ans,1981,943,2797,12216,13588,0,10352,32.052860022,91.830413889
Âge,De 35 à 39 ans,2077,1066,3785,13416,15631,0,10318,37.044032086,124.39084931
Âge,De 40 à 44 ans,1433,882,4432,13372,15276,0,8874,41.968409662,159.97800894
Âge,De 45 à 49 ans,892,558,5383,13838,16245,0,7677,47.08300369,198.20819067
Âge,De 50 à 54 ans,591,408,6128,17852,21295,0,7937,52.142233121,239.44113214
Âge,55 ans et plus,1104,1834,15773,46484,52398,0,15549,59.924556542,268.35114581
Âge,35 ans et moins,5064,2562,7025,38239,43245,25026,35976,27.471294978,66.637008492
Âge,36 ans et plus,5637,4516,34801,102392,117875,0,48268,52.061811347,224.54140657
Scolarité,Primaire,85,1011,4286,10424,11795,2513,4603,46.635087088,221.90836671
Scolarité,Secondaire I à IV,109,717,9072,50178,62866,11269,29155,43.999593079,198.59456495
Scolarité,Secondaire V,188,747,8776,29886,32444,2392,18666,47.573527996,176.456249
Scolarité,Collégiale,48,369,3579,9427,9842,409,6067,48.01292231,160.48388603
Scolarité,Universitaire,217,1242,5692,7208,8325,78,5667,49.702568725,135.63432692
Scolarité,Inconnue,10054,2992,10421,33508,35848,8365,20086,43.737326259,163.08201165
Diplôme maximum obtenu,Aucun diplôme,358,2141,17910,68313,82950,14434,38093,44.914830461,200.01574741
Diplôme maximum obtenu,Secondaire - DES,23,341,4130,19190,20370,1729,12415,46.323786653,167.50270475
Diplôme maximum obtenu,Secondaire - DEP,3,46,881,5592,6574,210,3688,48.861663653,193.57249712
Diplôme maximum obtenu,Secondaire - ASP,0,6,88,459,723,23,308,49.297800338,202.34179357
Diplôme maximum obtenu,Collégial - AEC,1,24,520,1611,1662,28,1174,48.921478766,150.06507791
Diplôme maximum obtenu,Collégial - DEC général,0,29,468,1415,1645,38,871,49.014052288,174.57745098
Diplôme maximum obtenu,Collégial - DEC professionnel,4,110,702,2220,2023,42,1444,48.615837851,140.68489276
Diplôme maximum obtenu,Universitaire - Certificat,1,51,463,864,796,10,593,50.118072289,147.16927711
Diplôme maximum obtenu,Universitaire - Baccalauréat,23,575,2199,2991,3238,25,2380,49.422058115,122.87253171
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,17,160,762,640,869,1,699,50.124585818,99.674618953
Diplôme maximum obtenu,Inconnu,10271,3595,13703,37336,40270,8486,22579,44.373682447,162.75768626
Durée cumulative,Premier mois,1303,46,93,880,1018,452,1898,34.998419389,1
Durée cumulative,De 2 à 5 mois,3735,254,352,3049,3320,1542,6369,34.931229392,3.4189040666
Durée cumulative,De 6 à 11 mois,3092,830,901,4619,4964,2833,9583,34.123760826,8.535844725
Durée cumulative,De 12 à 23 mois,2122,2874,2024,8331,8822,5327,17153,34.946773159,17.192910861
Durée cumulative,De 24 à 47 mois,216,2600,3999,12271,14219,8167,11210,34.992865232,35.197168743
Durée cumulative,De 48 à 119 mois,161,474,13196,28973,35361,6705,18491,39.79786738,81.670252122
Durée cumulative,120 mois et plus,72,0,21261,82508,93416,0,19540,51.177207203,274.56164594
Types de contraintes,Sans contraintes,8842,4342,18763,46330,65272,11337,48201,39.903926453,122.65333955
Types de contraintes,Contraintes temporaires,1678,1966,11254,33595,24282,4087,20469,50.161566771,160.32510324
Types de contraintes,Contraintes sévères,160,550,10669,57644,68850,9513,14587,47.850158901,242.27679574
Types de contraintes,Conjoints sans contraintes sévères,21,220,1140,3062,2716,89,987,51.341813776,220.63984078
Région,01 - Bas-Saint-Laurent,0,29,54,3298,3985,503,1584,47.739667719,225.89866813
Région,02 - Saguenay - Lac-St-Jean,0,4,69,4769,5338,844,2374,45.880083111,217.01246661
Région,03 - Capitale-Nationale,1,569,1148,8359,10688,1403,4705,46.521814459,205.18102588
Région,04 - Mauricie,0,137,283,6412,7604,1272,3069,45.465539384,208.6334903
Région,05 - Estrie,2,420,828,5831,7084,1214,3248,45.167092528,189.83910182
Région,06 - Île-de-Montréal,10673,3596,30107,45705,51843,6890,33163,45.577900111,155.3613093
Région,07 - Outaouais,3,357,1140,6935,7594,1366,3721,44.216188313,171.14598389
Région,08 - Abitibi-Témiscamingue,0,2,25,2189,2454,372,1208,46.226793022,209.24531553
Région,09 - Côte-Nord,0,0,20,1144,1342,205,654,45.954947707,213.54424779
Région,10 - Nord-du-Québec,0,0,5,492,582,157,497,39.806331471,134.7132216
