Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,5602,2305,23402,90714,135907,19954,58524,46.318421506,195.8766928
Situation familiale,Couples sans enfants,1608,1016,3455,9506,9476,328,5013,53.550784954,213.790275
Situation familiale,Familles monoparentales,1226,882,6326,26975,3521,2791,11548,37.932155037,120.0896511
Situation familiale,Couples avec enfants,3169,2233,7249,10620,10578,1050,8343,40.932682329,114.1629399
Situation familiale,Conjoint d'étudiant,1,141,108,209,133,34,201,37.552631579,56.201754386
Sexe,Hommes,6219,2558,19185,0,159615,13172,46041,45.446630956,179.11518968
Sexe,Femmes,5387,4019,21355,138024,0,10985,37588,45.61943575,188.0830073
Âge,Moins de 20 ans,335,112,214,1844,2282,4126,3990,18.625060591,12.080707707
Âge,De 20 à 24 ans,1122,568,1241,9141,10890,20031,8621,22.175378164,37.925465528
Âge,De 25 à 29 ans,1602,575,1884,11732,13132,0,10471,27.054416023,65.208132239
Âge,De 30 à 34 ans,2138,825,2674,11921,13480,0,10238,32.047399709,92.190937365
Âge,De 35 à 39 ans,2156,954,3574,13041,15487,0,10291,37.058503926,124.88926669
Âge,De 40 à 44 ans,1499,766,4243,13142,15300,0,8791,41.973173476,160.7045918
Âge,De 45 à 49 ans,937,514,5157,13515,15907,0,7557,47.087145673,199.64689688
Âge,De 50 à 54 ans,599,388,5964,17337,20780,0,7919,52.147021014,239.72070205
Âge,55 ans et plus,1218,1875,15589,46351,52357,0,15751,59.961603923,269.80373425
Âge,35 ans et moins,5632,2288,6654,37107,42697,24157,35370,27.519034134,67.279685229
Âge,36 ans et plus,5974,4289,33886,100917,116918,0,48259,52.123910299,225.76836597
Scolarité,Primaire,65,987,4150,10208,11615,2458,4460,46.653576502,223.3053659
Scolarité,Secondaire I à IV,82,690,8838,49079,62177,10625,28926,44.189427986,200.48951068
Scolarité,Secondaire V,145,679,8500,29285,32132,2248,18444,47.722829184,178.25395249
Scolarité,Collégiale,45,309,3500,9294,9686,389,5925,48.132455216,162.16712329
Scolarité,Universitaire,161,1070,5426,6959,7962,52,5222,50.074592856,139.66168487
Scolarité,Inconnue,11108,2842,10126,33199,36043,8385,20652,43.678273302,162.63162531
Diplôme maximum obtenu,Aucun diplôme,270,2055,17349,66697,81866,13705,37457,45.07748228,202.09073592
Diplôme maximum obtenu,Secondaire - DES,21,307,4046,18976,20235,1598,12393,46.484149856,168.87312234
Diplôme maximum obtenu,Secondaire - DEP,4,34,858,5495,6555,212,3720,48.889294606,194.26896266
Diplôme maximum obtenu,Secondaire - ASP,0,5,88,438,724,22,318,49.449225473,202.36574871
Diplôme maximum obtenu,Collégial - AEC,1,18,515,1612,1643,23,1177,49.021812596,151.6390169
Diplôme maximum obtenu,Collégial - DEC général,0,26,467,1370,1662,43,858,49.121701847,175.59564644
Diplôme maximum obtenu,Collégial - DEC professionnel,4,85,657,2182,1985,38,1376,48.8562515,142.78521718
Diplôme maximum obtenu,Universitaire - Certificat,0,41,444,847,771,4,556,50.472187886,149.85537701
Diplôme maximum obtenu,Universitaire - Baccalauréat,21,458,2085,2856,3073,15,2152,49.872322483,127.72204419
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,9,148,738,629,828,0,637,50.226492793,101.95332876
Diplôme maximum obtenu,Inconnu,11276,3400,13293,36922,40273,8497,22985,44.326769869,162.69456571
Durée cumulative,Premier mois,872,53,90,709,795,412,1504,34.275265957,1
Durée cumulative,De 2 à 5 mois,4137,270,382,3234,3744,1773,6978,34.354686156,3.5882774434
Durée cumulative,De 6 à 11 mois,3662,470,606,4002,4246,2121,8248,35.092264791,8.3768186227
Durée cumulative,De 12 à 23 mois,2455,2204,1996,8030,8707,5278,16737,34.543347075,17.259126486
Durée cumulative,De 24 à 47 mois,271,3106,3750,12084,14119,7809,11150,35.545815365,34.999923673
Durée cumulative,De 48 à 119 mois,136,474,12678,28434,35084,6763,18801,39.743899367,81.711987153
Durée cumulative,120 mois et plus,73,0,21038,81531,92920,1,20211,51.222469347,275.4793839
Types de contraintes,Sans contraintes,9668,3797,17625,43943,63716,10560,46778,39.993535143,123.69041139
Types de contraintes,Contraintes temporaires,1722,1983,11152,33531,24285,4023,20728,50.090978276,160.0041511
Types de contraintes,Contraintes sévères,188,563,10635,57505,68907,9486,15099,47.880588868,242.93231655
Types de contraintes,Conjoints sans contraintes sévères,28,234,1128,3045,2707,88,1024,51.484005563,221.26112656
Région,01 - Bas-Saint-Laurent,0,27,47,3235,3989,510,1685,47.638704319,224.85188261
Région,02 - Saguenay - Lac-St-Jean,0,2,69,4674,5321,791,2358,46.083441721,218.12286143
Région,03 - Capitale-Nationale,1,505,1126,8216,10583,1378,4641,46.590137773,206.59327624
Région,04 - Mauricie,0,123,286,6264,7467,1222,3060,45.539217828,210.04551744
Région,05 - Estrie,3,408,822,5791,6974,1190,3273,45.213396005,190.67959264
Région,06 - Île-de-Montréal,11574,3279,29125,44692,51187,6696,32709,45.650225805,156.15231698
Région,07 - Outaouais,4,322,1103,6808,7497,1330,3598,44.32261447,172.88269836
Région,08 - Abitibi-Témiscamingue,0,1,28,2083,2402,350,1172,46.414046823,211.07670011
Région,09 - Côte-Nord,0,0,19,1129,1316,190,636,46.128834356,215.8609407
Région,10 - Nord-du-Québec,0,0,6,499,608,160,533,39.925925926,133.14634146
