Caracteristique,Valeur,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,7477,2319,22432,87825,131115,18121,56353,46.475180415,198.04317621
Situation familiale,Couples sans enfants,1796,1173,3248,9038,9008,288,4595,53.846226311,212.61786545
Situation familiale,Familles monoparentales,1413,846,5819,25194,3222,2501,11062,38.013196791,119.48933699
Situation familiale,Couples avec enfants,3811,1713,6542,9753,9703,790,7965,41.294356497,113.94089227
Situation familiale,Conjoint d'étudiant,1,75,92,147,82,18,115,37.777292576,67.786026201
Sexe,Hommes,7833,2304,17944,0,153130,11893,44266,45.647449879,181.57108992
Sexe,Femmes,6665,3822,20189,131957,0,9825,35824,45.842569928,189.60919087
Âge,Moins de 20 ans,491,74,177,1604,2037,3641,3535,18.592694315,10.437517166
Âge,De 20 à 24 ans,1508,429,1063,8221,9856,18077,7772,22.185207723,37.986336228
Âge,De 25 à 29 ans,2034,487,1729,11295,12696,0,10146,27.054812221,66.144720937
Âge,De 30 à 34 ans,2562,682,2424,11408,13105,0,10128,32.013176682,91.676946926
Âge,De 35 à 39 ans,2511,803,3275,12456,14619,0,9963,37.045133887,124.44949215
Âge,De 40 à 44 ans,1915,670,3936,12823,15225,0,8738,41.978358528,160.39706931
Âge,De 45 à 49 ans,1258,484,4664,12798,15031,0,7338,47.078371483,200.17320062
Âge,De 50 à 54 ans,726,369,5656,15983,18913,0,7229,52.136032783,240.18632508
Âge,55 ans et plus,1493,2128,15209,45369,51648,0,15241,60.059618417,272.5806302
Âge,35 ans et moins,7145,1847,5970,34974,40470,21718,33624,27.640620858,68.069892901
Âge,36 ans et plus,7353,4279,32163,96983,112660,0,46466,52.250363714,227.47611893
Scolarité,Primaire,45,920,3930,9644,11014,2340,4117,46.532820215,224.80322393
Scolarité,Secondaire I à IV,43,577,8380,46290,58968,8779,26670,44.68612362,206.24443748
Scolarité,Secondaire V,78,577,7965,27669,30352,1843,16620,48.123007187,183.27400424
Scolarité,Collégiale,35,227,3361,8901,9249,340,5369,48.55030303,166.48418733
Scolarité,Universitaire,105,829,5081,6464,7345,31,4542,50.645810703,144.57723224
Scolarité,Inconnue,14192,2996,9416,32989,36202,8385,22772,43.382723187,156.37124771
Diplôme maximum obtenu,Aucun diplôme,154,1805,16323,62727,77405,11641,34171,45.475323267,207.40478977
Diplôme maximum obtenu,Secondaire - DES,14,268,3895,18215,19283,1351,11360,46.841298203,173.10885914
Diplôme maximum obtenu,Secondaire - DEP,0,30,816,5201,6252,144,3451,49.36453331,199.54937571
Diplôme maximum obtenu,Secondaire - ASP,0,1,80,380,685,9,288,50.045070423,210.4741784
Diplôme maximum obtenu,Collégial - AEC,2,32,529,1587,1612,17,1140,49.273835574,153.51641138
Diplôme maximum obtenu,Collégial - DEC général,1,15,448,1322,1578,42,771,49.341034483,177.24103448
Diplôme maximum obtenu,Collégial - DEC professionnel,2,49,605,2049,1911,32,1241,49.367171717,148.28560606
Diplôme maximum obtenu,Universitaire - Certificat,0,21,394,746,704,0,445,51.357931034,158.83586207
Diplôme maximum obtenu,Universitaire - Baccalauréat,14,340,1949,2660,2807,7,1867,50.479056155,132.44082678
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,10,95,688,580,730,0,520,50.571755725,107.53129771
Diplôme maximum obtenu,Inconnu,14301,3470,12406,36490,40163,8475,24836,44.077492075,157.48662153
Durée cumulative,Premier mois,1441,90,79,967,1182,572,2149,34.004187994,0.9995346673
Durée cumulative,De 2 à 5 mois,4794,426,467,3855,4329,2055,8184,34.698435973,3.4765395894
Durée cumulative,De 6 à 11 mois,3983,560,601,4233,4615,2397,8848,34.597988246,8.2411844485
Durée cumulative,De 12 à 23 mois,3277,1312,1420,6354,6748,3506,13102,35.728591055,17.397496565
Durée cumulative,De 24 à 47 mois,804,3144,3547,11548,12976,6912,10273,36.462281846,35.060634481
Durée cumulative,De 48 à 119 mois,134,594,11341,26676,33019,6275,17859,39.627003937,81.976681464
Durée cumulative,120 mois et plus,65,0,20678,78324,90261,1,19675,51.298875938,277.24504553
Types de contraintes,Sans contraintes,12301,3058,15813,41205,59332,8775,44676,40.167759133,123.88135711
Types de contraintes,Contraintes temporaires,1939,2151,10667,31768,23616,3704,20006,50.420374115,162.01496822
Types de contraintes,Contraintes sévères,224,665,10562,56156,67698,9167,14540,47.908916951,243.98552328
Types de contraintes,Conjoints sans contraintes sévères,34,252,1091,2828,2484,72,868,51.713667169,221.75470633
Région,01 - Bas-Saint-Laurent,0,19,53,3041,3733,436,1461,47.944936522,230.63950399
Région,02 - Saguenay - Lac-St-Jean,0,2,68,4326,4991,643,2126,46.508747451,223.95384781
Région,03 - Capitale-Nationale,4,361,1083,7703,9927,1141,4113,46.960635281,211.28808849
Région,04 - Mauricie,0,77,275,5909,7110,1038,2928,45.738843229,214.41339581
Région,05 - Estrie,4,338,743,5508,6638,1022,2975,45.430923761,194.43355837
Région,06 - Île-de-Montréal,14462,3200,27228,43470,50057,6540,33129,45.657072289,154.32657949
Région,07 - Outaouais,5,289,1026,6491,7074,1068,3174,44.811279027,177.86155547
Région,08 - Abitibi-Témiscamingue,0,2,22,2002,2355,322,1205,46.167775993,208.57447785
Région,09 - Côte-Nord,0,0,20,1037,1224,166,576,46.586908448,223.24944715
Région,10 - Nord-du-Québec,0,0,6,475,566,141,453,40.654178674,142.21998079
Région,11 - Gaspésie - Îles-de-la-Madeleine,0,0,20,1746,2085,241,790,48.015661707,238.16340381
Région,12 - Chaudières-Appalaches,0,11,139,4097,4850,649,2148,46.275176037,207.16284788
Région,13 - Laval,10,883,2705,4961,5029,780,2597,47.121521522,158.75475475
Région,14 - Lanaudière,1,96,536,7042,7534,1379,3806,44.799670692,187.93907794
Région,15 - Laurentides,0,115,606,7849,9102,1424,4472,45.101586927,183.48445519
Région,16 - Montérégie,5,605,2945,19287,21515,3585,9939,44.79304936,185.68996618
Région,17 - Centre-du-Québec,1,117,199,3970,4689,739,2103,45.279708973,196.82919506
Région,99 - Central,6,11,459,3043,4651,404,2095,48.498830257,312.83233689
